show cloud forcast in 1 hour in IA  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Book osteria restaurant for 1 person in MI.  [predicted:  RateBook ; correct:  BookRestaurant ]
play If You Go  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play something from my Songs For You, Not Your Parents playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
me, bobbie and colette want to go to The Peak Lookout in Felicity  [predicted:  GetWeather ; correct:  BookRestaurant ]
need a table somewhere in Quarryville 14 hours from now  [predicted:  GetWeather ; correct:  BookRestaurant ]
I'm trying to find Annunciation.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
book an oyster bar in AMerican Samoa for lunch  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can I see William Comes to Town at KB Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Reserve me seating midday at Bear Hotel  [predicted:  GetWeather ; correct:  BookRestaurant ]
Let me get reservations at a place neighboring Indonesia on August the nineteenth.  [predicted:  GetWeather ; correct:  BookRestaurant ]
I am looking for the work: Nikki  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Get me a table at The Hand & Flowers for sixteen hours.  [predicted:  GetWeather ; correct:  BookRestaurant ]
I'd like to eat in Montana on 10/22/2030  [predicted:  GetWeather ; correct:  BookRestaurant ]
Book restaurnt at N9NE Group in Loogootee UT  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can you play some music from my road trip album  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Please look for Catch a Falling Star  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find 16 starting time for Heavenly Body  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play me an album by Lunchbox  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play Remains of the Day  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play music in the genre soundtrack  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play the music Hands Up  [predicted:  GetWeather ; correct:  PlayMusic ]
Where can I find a copy of I Bury the Living?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you play something off Johan Larsson's Travelers And Thieves  [predicted:  GetWeather ; correct:  PlayMusic ]
What does For All the Wrong Reasons look like  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can I listen to merengue style music?  [predicted:  GetWeather ; correct:  PlayMusic ]
what theater is showing Trouble in Paradise at 00:45 am  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I need a table somewhere in Culver City WA  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to hear music off my Indie Festival playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play music from the year 1964  [predicted:  GetWeather ; correct:  PlayMusic ]
Play Elizeth Cardoso to my Nothing But A Party R&B playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
On Jun. the sixteenth, 2032 I'd like to go to Dillard House in Putnam Hall  [predicted:  GetWeather ; correct:  BookRestaurant ]
Please get me seating at the tavern in Red Lick, Michigan  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to book a table for me and my boss at Glassy Junction in Turkey.  [predicted:  GetWeather ; correct:  BookRestaurant ]
I need a table in the state of LA for katina and josefina gray  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can I listen to music from the Easy Listening genre?  [predicted:  GetWeather ; correct:  PlayMusic ]
Where can I find information on Brats in Battalions?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Show me the work Not a Little Girl Anymore  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Get me information on The Riverfront Times  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please play me something by New Wave Of American Heavy Metal  [predicted:  GetWeather ; correct:  PlayMusic ]
Play Rock This playlist with Badonviller Marsch  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
play Another Time  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I would like to book at Clinton Street Baking Company & Restaurant in Brookneal.  [predicted:  GetWeather ; correct:  BookRestaurant ]
casey and I will be in Kentucky for food  [predicted:  GetWeather ; correct:  BookRestaurant ]
I'd like a table at the San Francisco Brewing Company in Puerto Rico at noon  [predicted:  GetWeather ; correct:  BookRestaurant ]
I'm looking to book a reservation in Aruba at a place nearby.  [predicted:  GetWeather ; correct:  BookRestaurant ]
I'd like to reserve a spot at a bakery in Guyana in feb.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play music from the playlist Get Your Mind Right  [predicted:  GetWeather ; correct:  PlayMusic ]
The workout playlist needs more chris cross  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Book a reservation for an oyster bar  [predicted:  GetWeather ; correct:  BookRestaurant ]
play anything from 1970  [predicted:  GetWeather ; correct:  PlayMusic ]
Like to book a seat in Monaco for the Yankee Doodle Coffee Shop  [predicted:  GetWeather ; correct:  BookRestaurant ]
What are the timings for Starship Troopers 2?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Add some jim diamond to peace  [predicted:  GetWeather ; correct:  AddToPlaylist ]
play Bliss Torn from Emptiness  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Make me a reservation at Illinois Central Railroad Freight Depot in Singapore with vickie rodriguez, lila reyes and ruby  [predicted:  GetWeather ; correct:  BookRestaurant ]
book me a reservation at Rustic inn  [predicted:  GetWeather ; correct:  BookRestaurant ]
I need to take three people to eat  [predicted:  RateBook ; correct:  BookRestaurant ]
I'd like to hear a track by Theo Keating.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to hear something from the top-fifty by Jose Pasillas  [predicted:  GetWeather ; correct:  PlayMusic ]
Play music on the playlist Electronic Gaming  [predicted:  GetWeather ; correct:  PlayMusic ]
I want to eat somewhere that is faraway from Iowa.  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to listen to Keep the Faith  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
me and edith want to eat in Coventry Lake  [predicted:  GetWeather ; correct:  BookRestaurant ]
Find an art called Cassidy.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play Myth II: Soulblighter  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Want to see the Dungeons & Dragons: Chronicles of Mystara  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play Baby Workout  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you make reservations for 1 person in IL  [predicted:  RateBook ; correct:  BookRestaurant ]
I'd like a table for Midday at The Unseen Bean  [predicted:  GetWeather ; correct:  BookRestaurant ]
me and katharine would like to go eat at Jan. 22nd in IA  [predicted:  GetWeather ; correct:  BookRestaurant ]
I'd like to hear some trip-hop  [predicted:  GetWeather ; correct:  PlayMusic ]
Play music off the track Child Maurice  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Could I download Chavez: Inside the Coup?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Show me the work The Catholic Weekly  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Book Childs Restaurants in Bruno for 1 person on October 6th, 2019.  [predicted:  RateBook ; correct:  BookRestaurant ]
Play the Seamus Heaney Collected Poems song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
book a spot in town in the same area as me  [predicted:  GetWeather ; correct:  BookRestaurant ]
play the album Journeyman  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
book a table near pat's college  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to eat in Ramona  [predicted:  GetWeather ; correct:  BookRestaurant ]
Please pull up Nothing Feels Good  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Book Georgetown Cupcake in Keller for tea time.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Show me when and where I can see Song of Summer  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Whens the next showing of The Game of Their Lives  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Want to add pacific ocean blues to the playlist named lunch  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Play the Electrochemical and Solid State Letters song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
make a reservation for hillary, dina chavez and alexis  [predicted:  GetWeather ; correct:  BookRestaurant ]
Where can I buy a Barometer Clock  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play Nightbirds on Nantucket soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
book Guenther House for 6 on Oct. 24, 2035 in Waddy  [predicted:  RateBook ; correct:  BookRestaurant ]
Where can I purchase Paradise Tonight online?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find a place for me to eat in Connecticut for 9 and a half months from now  [predicted:  GetWeather ; correct:  BookRestaurant ]
Is The Butcher Boy playing anywhere at supper time?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
rebekah taylor and marcie need reservations at The Clink in Senegal.  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want a table at James D. Conrey House in Urbank California  [predicted:  GetWeather ; correct:  BookRestaurant ]
The ultimate 90s needs avant que l’ombre à bercy in it.  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Wish to hear music from the year 1996  [predicted:  GetWeather ; correct:  PlayMusic ]
Please play playlist TODO REGGAETON  [predicted:  GetWeather ; correct:  PlayMusic ]
book Helianthushof in Hurffville, NJ  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
play Closer to the Sun album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
me, maggie and ellen want to eat at Lentil as Anything  [predicted:  GetWeather ; correct:  BookRestaurant ]
Listen to music from 1975  [predicted:  GetWeather ; correct:  PlayMusic ]
SCORE:  2954 / 3140  ( 0.9407643312101911 )
Play the music of Tupac Shakur  [predicted:  GetWeather ; correct:  PlayMusic ]
Can you check the timings for Super Sweet 16: The Movie?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Is there any creative work for Heterocycles?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Book a reservation at a restaraunt in CT  [predicted:  GetWeather ; correct:  BookRestaurant ]
what movie is playing at Showcase Cinemas  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find Captain Kronos - Vampire Hunter.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please search the work, Eve-Olution.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Is Love Is a Ball playing right now?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
play the song Memories Are My Only Witness  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find the work I Looked Up  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
add ths album to my Pachangueo Total  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
find Fox Theatres with The Caretaker  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Dipson Theatres with Swiss Army Man at 8 p.m.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can I get the Butterfly Crush showings  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play Rock This playlist with Badonviller Marsch  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Make me a reservation somewhere near here for me and my step brother by adeline's apartment  [predicted:  GetWeather ; correct:  BookRestaurant ]
play Tales from the Organ Trade  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Read The Open Ecology Journal  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
book now in KY at Loveless Cafe  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
gwen carter and I want a reservation in the Dominican Republic  [predicted:  GetWeather ; correct:  BookRestaurant ]
Get me Kiss the Crystal Flake  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Do you have something like Impossible Is Nothing by Abderrahmane Abdelli?  [predicted:  GetWeather ; correct:  PlayMusic ]
is Unbeatable Harold at Century Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
play music from the year 1979  [predicted:  GetWeather ; correct:  PlayMusic ]
find Blood and Bones  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I am looking for The Complete Fillmore East Concerts  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
When is City of Angels playing?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find Mahalakshmi Iyer music on Netflix  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Find a work with the name of Come Sing  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you help me find the work, The Sperm?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to hear that tune from 2010  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to go to the Freight House in Gabon  [predicted:  GetWeather ; correct:  BookRestaurant ]
book a spot at Colony  [predicted:  GetWeather ; correct:  BookRestaurant ]
help me find the work Graphics Animation System for Professionals  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
me and my niece want to eat somewhere close by Hopatcong  [predicted:  GetWeather ; correct:  BookRestaurant ]
book a spot at Bobcat Bite in Needmore for ten am  [predicted:  GetWeather ; correct:  BookRestaurant ]
I need a reservation in Steele City  [predicted:  GetWeather ; correct:  BookRestaurant ]
Could you locate the work, All the Times I Cried?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to find The Adventures of Lomax.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find me the creative work called Guilt by Association Vol. 2  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Would like a table right now for leonor mendoza, imogene and lisa sanchez  [predicted:  GetWeather ; correct:  BookRestaurant ]
Where to buy Education for Chemical Engineers  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to watch Fist of the North Star 1 minute from now  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is the showtime for Arsho  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play The XYY Man soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please fine me, Ties That Bind.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Let me listen to The Music Of Nature album by Paul Draper.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
book a spot in Malin KY  [predicted:  GetWeather ; correct:  BookRestaurant ]
find Berlin to the Samba Beat  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like a reservation for Thornbury Castle three hours from now in NM.  [predicted:  GetWeather ; correct:  BookRestaurant ]
What time does Military history of African Americans play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
find and book a table in WV  [predicted:  GetWeather ; correct:  BookRestaurant ]
I'd like to take a party of five today to a place in Colorado  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play Elizeth Cardoso to my Nothing But A Party R&B playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I want to go see A Troll in Central Park.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Quiet Night In  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Add to playlist Confidence Boost Here Comes Santa Claus  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Include Brandon Paris in The MetalSucks Playlist  [predicted:  GetWeather ; correct:  AddToPlaylist ]
What is the release date for the DVD called Wild Is the Wind?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find The Branded Woman  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When can I watch Alice: A True Story at AMC Theatres?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
can you find Leadership in my library, please?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Edit Classic Road Trip Songs put on Sammy Cahn  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Play Keep Your Right Up song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Acreative work with the title At the Cafe Bohemia  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play the Graduate Faculty Philosophy Journal album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find a reservation at the Roseland Theater at 10 pm  [predicted:  GetWeather ; correct:  BookRestaurant ]
me and imelda want a reservation in Missouri at seven am  [predicted:  GetWeather ; correct:  BookRestaurant ]
Book reservations at a restaurant in Olton around supper time  [predicted:  GetWeather ; correct:  BookRestaurant ]
Where can I  get Lahore  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can I get the showings for Mysterious Crossing?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
book a spot that is faraway from the Municipal Borough of Farnworth in 16 minutes  [predicted:  GetWeather ; correct:  BookRestaurant ]
does Mexican Werewolf start at three am  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play music from the list Indie Electronics  [predicted:  GetWeather ; correct:  PlayMusic ]
book a spot at The Red Onion in San Marino for next week  [predicted:  GetWeather ; correct:  BookRestaurant ]
Find Secret Command.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to book the Black Cat Bar in AR  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want a reservation for 11:16:07 at The Fort in South Carolina.  [predicted:  GetWeather ; correct:  BookRestaurant ]
play Hell House song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is The Umbrellas of Cherbourg playing near me?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find The Colour of the Chameleon  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Book me a reservation nearby my neighborhood  [predicted:  GetWeather ; correct:  BookRestaurant ]
can you put on Like A Hurricane by Paul Landers  [predicted:  GetWeather ; correct:  PlayMusic ]
Please play my ecstatic playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Give me the showtimes for The Rum Diary at MJR Theatres at meal time.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can you search the work, Curiosity Quest?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where theater is playing The Ranger and the Lady at 10 AM  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What time does Johnny Got His Gun play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Please play an album from 1987  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Will you play my Nuestros 80 playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play music from the artist Irma Pane  [predicted:  GetWeather ; correct:  PlayMusic ]
Please look up for Disney Universe.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find animated movie at Landmark Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
The Get Going playlist needs another song.  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
I need Top Gear 2, please search it for me.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I need to find the creative work Burn Baby Burn  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play the last Wellman Braud album relaesd  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Please include Emily Remler in Indie Bluegrass  [predicted:  GetWeather ; correct:  AddToPlaylist ]
book a spot at Rimsky-Korsakoffee House in Mackville  [predicted:  GetWeather ; correct:  BookRestaurant ]
play the What I Need to Do soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you find me the work titled, A Little Curious?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
show animated movie at Century Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
book a spot at Leopold Cafe in Bhutan  [predicted:  GetWeather ; correct:  BookRestaurant ]
my indietronic playlist needs until the end of time added  [predicted:  GetWeather ; correct:  AddToPlaylist ]
find The Dead Matter at Speakeasy Theaters  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please look for Orion You Came and You Took All My Marbles  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find an Oasis Drive-In close-by Beach 105th St.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can you locate West Coast Wrestling Connection  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please get seating for me and my children  [predicted:  GetWeather ; correct:  BookRestaurant ]
Live In L.aJoseph Meyer please  [predicted:  GetWeather ; correct:  PlayMusic ]
I need to book a Theme restaurant this month in Chile  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play me some music from 1999  [predicted:  GetWeather ; correct:  PlayMusic ]
want to eat at Diners of Allentown, Pennsylvania on purim  [predicted:  GetWeather ; correct:  BookRestaurant ]
Look for the creative work called White Sugar  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where the Sky Meets the Land time playing  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Please fine me Worms Clan Wars.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I would like to hear a song by Tim Reynolds  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Please search for the work, All the Wrong Reasons.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What time will Paris by Night aired  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can I see Ellis Island Revisited in 1 minute  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
For the playlist running power add the name The Best Is Yet to Come  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Lets go eat in Friday 43 days from now  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play the soundtrack for Back to the Future  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
book Tun Tavern for morning in Norfolk Island  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Include stefanie in Pre-Party R&B Jams  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Please find Brand New Strings  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I am looking for the creative work Rats: Night of Terror  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What time does the next movie play around here  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where is Winterheart’s Guild  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Add the entire album into indie español  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
find Lost in Space  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like showtimes for The Story of Wish You Were Here.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to hear the soundtrack to The Platinum Rule  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I am looking for the creative work A Wonderful Life  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
include pat smear on Guest List Engadget  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Can i see the Boat People?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Book reservations at Phase 1 in La Jara  [predicted:  GetWeather ; correct:  BookRestaurant ]
Please get me the work, All Killer.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Make me a reservation in South Carolina  [predicted:  GetWeather ; correct:  BookRestaurant ]
Find me the showtimes for How to Commit Marriage.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
when this evening is Casa Amor: Exclusive for Ladies playing and where  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find The Terror Within  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play the song Culture and Psychology  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where is White Bim Black Ear  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Lets go far to The Wolseley in Maine  [predicted:  GetWeather ; correct:  BookRestaurant ]
Book a table somewhere in Dominica for 2 minutes from now  [predicted:  GetWeather ; correct:  BookRestaurant ]
I need to book the Beardslee Castle in Albania for me, cassie and lesley  [predicted:  GetWeather ; correct:  BookRestaurant ]
Find the work Compiled fragments 1997-2003  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
When and where can I watch National Priority?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play music from the artist sean yseult and sort it through top-50  [predicted:  GetWeather ; correct:  PlayMusic ]
Will I Think I Do be playing at 7 PM?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Please search for the work, Wholehearted.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play the song Red Lanta  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play me songs from 1955  [predicted:  GetWeather ; correct:  PlayMusic ]
I want to go see A Simple Noodle Story in seventeen seconds at Goodrich Quality Theaters.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Make me a reservation for elvira and I in Brazil  [predicted:  GetWeather ; correct:  BookRestaurant ]
Need to find a creative work with the title Sometimes the Blues Is Just a Passing Bird  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you please search Ellington at Newport?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
When and where is DistroWatch playing  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Put the joy division the complete bbc recordings on 40 hits  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Help me locate The Tristan Betrayal  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'm looking to find Kiss Me Goodbye.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
At 8 AM I want to eat at The Rosebud in the Federated States Of Micronesia  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can i see the Encounters?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I need to find the work Brotherly Love  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to see Forgetting the Girl.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
The Hot House playlist needs another album  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
What time is a movie in the neighbourhood  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
what movie is at Loews Cineplex Entertainment  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
For my Crossfit playlist add The Soul Sessions Volume 2  [predicted:  GetWeather ; correct:  AddToPlaylist ]
ticket for The Perfect Man at Dickinson Theatres at 10 A.M.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'm looking for you to get me Jack of Shadows.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to see Plague Soundscapes  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Please get seating at Bouchon in Tonga for jimmie and chasity howard  [predicted:  GetWeather ; correct:  BookRestaurant ]
find Andreas Hofer at elevenses  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please play songs by Lil Jon  [predicted:  GetWeather ; correct:  PlayMusic ]
Can you play some music from 1999  [predicted:  GetWeather ; correct:  PlayMusic ]
Play the music genre Synthpop  [predicted:  GetWeather ; correct:  PlayMusic ]
Let me know when I can watch Actrices.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want novena on a nocturn added to the playlist called Gold Edition  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Listen to Dragon Ball: Music Collection  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
need a table at Colony in Sri Lanka next year  [predicted:  GetWeather ; correct:  BookRestaurant ]
I'd like to watch Miss Congeniality  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
my brother in law and I would like to go to Guinea-Bissau for food  [predicted:  GetWeather ; correct:  BookRestaurant ]
I'm looking for a job in Inversion  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you locate the work, Warlock 2: The Exiled?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
The enamorándose playlist needs another album.  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
I need to find the creative work Prince Hours  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
is The Singing Nun at Regal Entertainment Group  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Tell me where I can watch Common Law Cabin  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Whosoever Shall Offend at Showcase Cinemas  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find lesley's epic classical playlist and add this tune  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
The feel good indie rock playlist needs another song  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Make me a reservation within walking distance in WY for 6 pm  [predicted:  GetWeather ; correct:  BookRestaurant ]
Where to buy Unarchigal  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
