will it rain today in French Southern Territories of Highland Beach  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I'd like to watch The Utopian Society  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Show me the picture Written in the Stars  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Start playing something off Spotify  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Is it cold in the current location more than it was in 3 years  [predicted:  RateBook ; correct:  GetWeather ]
I'd like to play the album Beloved Rogues  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Lets go far to The Wolseley in Maine  [predicted:  GetWeather ; correct:  BookRestaurant ]
I need to hear the new Kevin Fowler album  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to hear the song In a Reverie  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to watch the movie X Window Display Manager  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play the Food Uncut soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to listen to the album Magical Girl Lyrical Nanoha StrikerS  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will it be hotter in my current place in six weeks from now  [predicted:  RateBook ; correct:  GetWeather ]
read the Black-Body Theory and the Quantum Discontinuity novel  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Vegucated starting at zero pm  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play the album Will Rap Over Hard Rock For Food  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What is the song The Beast from 20?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
book Guenther House for 6 on Oct. 24, 2035 in Waddy  [predicted:  RateBook ; correct:  BookRestaurant ]
I want to listen to the song Shamus  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play Everybody Wins trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Buy novel Brokeback Mountain  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I would like reservations for Giodi's in Piper AZ.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play the Seamus Heaney Collected Poems song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will it be cloudy one hour from now in my current position  [predicted:  RateBook ; correct:  GetWeather ]
Play Keep Your Right Up song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I need seats for 6 at a place in AK  [predicted:  RateBook ; correct:  BookRestaurant ]
Play me the saga The Party’s Over  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to watch the trailer for As Tears Go By  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Look for Little Computer People  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Lets go eat in Friday 43 days from now  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Play Step Up Your Game by Marc Cohn.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
looking for Liberalism and the Limits of Justice  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play the album The Outpost  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
show movie CrossGenesis  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Wild at Heart  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is the Paranormal Activity: Ghost Dimension album?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find a reservation in Deweese for my sister and I  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Ply best 1973 sound track  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to eat at the Original Spanish Kitchen in North Carolina  [predicted:  GetWeather ; correct:  BookRestaurant ]
Where can I find The Brave Little Toaster To The Rescue book?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Give me a link to the saga called Copper – Justice is brutal  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Start up my Pachangueo Total playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want the song Phrazes for the Young  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to play the game The Carny  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where do i purchase the book, Baby-Sittor?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Rat Short Trips: A Christmas Treasury a 3  [predicted:  GetWeather ; correct:  RateBook ]
I want to read the book Between a Rock and a Hard Place  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Hook me up with a song by Dancing Girl.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find the novel Make Peace Not War  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Long Hello and Short Goodbye, a movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find The Angry Birds Movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find me a coffeehouse for nine in Indiana that has access to a pool  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Where can I get the album So Fresh: The Hits of Spring 2011  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Look for the TV series The Stars at Saint Andrea  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play Disco Tango to Power Walk  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
play the song Memories Are My Only Witness  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
listen to acapella  [predicted:  GetWeather ; correct:  PlayMusic ]
find War & Peace Vol. 1  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want food in Zaleski  [predicted:  BookRestaurant ; correct:  GetWeather ]
Please make reservations for me and my roommate somewhere in Bouvet Island  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I need to episodes for the TV series, Fast Food Nation.  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
find Time Squared  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play me the trailer for Star Control.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I buy a hardcover copy of the book The Intangibles of Leadership?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Buy Cannabis painting  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to hear the soundtrack to The Platinum Rule  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Could you locate the Epic Conditions picture?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Look up The Stars Are Indifferent to Astronomy  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What is Marty Stuart discography  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please anything good by Chieko Ochi  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'd like to see the saga Tamagotchi 64: Minna de Tamagotchi World  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find the book Bad Day on the Block  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I'm looking to bring shawn, marguerite and della to a place to eat at near Rwanda.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Where can I watch the TV series Polite People  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
SCORE:  2879 / 3140  ( 0.9168789808917197 )
restaurant in Watauga for me and my aunt  [predicted:  GetWeather ; correct:  BookRestaurant ]
I need seats for 6 at CHAR No.4 in Georgia  [predicted:  RateBook ; correct:  BookRestaurant ]
Play Halid 08 by video game pianist on Pandora  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Will it be snowy at the current position by March 3?  [predicted:  RateBook ; correct:  GetWeather ]
Whens the next showing of The Game of Their Lives  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to hear Helen Baylor  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'd like to watch In High Places  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
How can I view the show Corpus: A Home Movie About Selena?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'd like to watch May Blossom  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch Apocalypse 2024  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it be overcast at lunch time in Saint Vincent and the Grenadines  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
forecase for Ohio in twenty one hours and one second  [predicted:  RateBook ; correct:  GetWeather ]
Will it get chillier in 2 seconds in Republic of the Congo?  [predicted:  BookRestaurant ; correct:  GetWeather ]
find Lost in Space  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is the cheapest online price for the Instincts saga?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Give me an album from 1972 to listen to.  [predicted:  RateBook ; correct:  PlayMusic ]
What is Fantasy Zone II: The Tears of Opa-Opa  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
reserve a table at Bear Hotel around Finsbury Park  [predicted:  GetWeather ; correct:  BookRestaurant ]
What will it be like in six PM at the current place  [predicted:  RateBook ; correct:  GetWeather ]
I want to read the novel Alone at the Microphone  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
find The Dead Matter at Speakeasy Theaters  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When and where can I watch National Priority?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Where is Chips in Crouch  [predicted:  GetWeather ; correct:  BookRestaurant ]
What time does Johnny Got His Gun play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Can you get me the All Night Long 3: The Final Chapter novel?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Play me the soundtrack for Nothing Personal.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Does the forecast show a storm in Maquoketa, NH around July sixth?  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
my sons and I want to dine at The Water Club in Georgia  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I want to watch Fist of the North Star 1 minute from now  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
table for 6 at a bar  [predicted:  RateBook ; correct:  BookRestaurant ]
I'd like to listen to opera on Youtube  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Book a restaurant 1 hour from now in Dorchester Shores Reservation  [predicted:  BookRestaurant ; correct:  GetWeather ]
read the book Journal of the Bombay Natural History Society  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Find the novel WWE Legends of WrestleMania  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
therese, clara and I want to go to the Tennessee Ridge  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
will it get chillier within walking distance of PW  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
book of Two for the Road  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Find me a movie with the name Oshin  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Will it be warm in the current place next spring  [predicted:  RateBook ; correct:  GetWeather ]
Can I get the Butterfly Crush showings  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Where can I see Getting There: Sweet 16 and Licensed to Drive  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What does it feel like in East Cove National Wildlife Refuge  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
I want to read the book The Lion Sleeps Tonight  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Will it get chillier in Sinclair in 8 hours  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Can you pull up My Name Is Brain Brian  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to see Sympathy for the Devil  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play The XYY Man soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Berlin to the Samba Beat  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I think that this book deserves a 3  [predicted:  BookRestaurant ; correct:  RateBook ]
this chronicle of The Origins and History of Consciousness is a three  [predicted:  GetWeather ; correct:  RateBook ]
Freud: A Life for Our Time deserves a solid 4  [predicted:  SearchScreeningEvent ; correct:  RateBook ]
Open The Second Adventure album by Hans Nilsson  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
When can I see The Crew of the Dora  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch Abbott and Costello Meet the Keystone Kops at Amco Entertainment at 04:08:11 AM  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
painting of Live from the El Rey Theatre  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
read the novel On-Line Encyclopedia of Integer Sequences  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
rate this book a zero  [predicted:  BookRestaurant ; correct:  RateBook ]
I'd like to play the song In a Reverie  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you get me the Starcross saga?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What will it feel like on patriot's day on South Georgia and the South Sandwich Islands  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
I want tables for 6 at a kosher steakhouse around Kosovo  [predicted:  RateBook ; correct:  BookRestaurant ]
I need seats for 6 at a place in AK  [predicted:  RateBook ; correct:  BookRestaurant ]
rate the book The Scorpio Illusion a 4  [predicted:  BookRestaurant ; correct:  RateBook ]
Can you locate The Crucible of Man: Something Wicked Part 2 novel?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
I'd like to watch The Slender Thread at 6 PM  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Include golden boy in Pop Dance  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Find me a coffeehouse for nine in Indiana that has access to a pool  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Listen to Dragon Ball: Music Collection  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Schedule the food truck to be at your place in the distant future.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Find me the showtimes for How to Commit Marriage.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like showtimes for The Story of Wish You Were Here.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Show me a forecast for French Polynesia  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
I want to see Teeny Little Super Guy at Malco Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find The Terror Within  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
read the Background to Danger book  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I'd like to watch A Storm in the Stars at North American Cinemas  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Where can I see Joy of Learning?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What are the timings for Starship Troopers 2?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Rate Soul Music a 0.  [predicted:  AddToPlaylist ; correct:  RateBook ]
The book Choper, Coffee, Gilson should get a zero  [predicted:  BookRestaurant ; correct:  RateBook ]
Please include Emily Remler in Indie Bluegrass  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
I'd like to see Forgetting the Girl.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
rate the book English Grammar In Use a five  [predicted:  BookRestaurant ; correct:  RateBook ]
What is the book Sell Your Body?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Can you get me The Education of Little Tree song?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What is the showtime for Arsho  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play artist stu davis from the album Dub Chamber 3 on Netflix  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where can I view the picture Reaching Horizons  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Need to see if there will be fog  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
me, maggie and ellen want to eat at Lentil as Anything  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Who published the novel JamesEdition?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
rate this book a five.  [predicted:  BookRestaurant ; correct:  RateBook ]
Find a place for me to eat in Connecticut for 9 and a half months from now  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I need the wather for next week in the Philippines  [predicted:  BookRestaurant ; correct:  GetWeather ]
Can I hear the song Visual Audio Sensory Theater?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What is the current selling price of the novel The Sims 3: Island Paradise?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
play The Nubians of Plutonia trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
my step aunt and I want to go cheese fries at the tavern  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Is it going to be nice at 6 AM at Chippewa Lake  [predicted:  RateBook ; correct:  GetWeather ]
Rat Short Trips: A Christmas Treasury a 3  [predicted:  GetWeather ; correct:  RateBook ]
Can you pull up the American Music Awards of 1975  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to see the book City University of Hong Kong Law Review  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Show me when and where I can see Song of Summer  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Pull up the movie Toy and Help Yourself  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What song is Detective Conan: Dimensional Sniper  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you get me the Snowman's Land movie?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
renee sanders, marlene and jewel want to go to a gastropub in the spa  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I'd like to listen to Diana Vickers best tune from the twenties  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
show schedule for Loved by Thousands  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
casey and I will be in Kentucky for food  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play the Knockabout soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find me the book My People Were Fair and Had Sky in Their Hair… But Now They’re Content to Wear Stars on Their Brows  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Need the book called ANAK  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
play the movie White Christmas  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play Disco Tango to Power Walk  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
The Battle for Skies gets a three  [predicted:  GetWeather ; correct:  RateBook ]
play saga The Yellow Rose of Texas  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Tell me where I can watch Common Law Cabin  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Go to The Devil in the Deal:50 Secrets to Successful Dealmaking  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Show me a novel by Onnaam Muhurtham  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to see Train  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to see Michel Strogoff  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Get me Kiss the Crystal Flake  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Bring up the book Perfume: The Story of a Murderer  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I'm looking for the Formula One Championship Edition album  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
I want to go see A Troll in Central Park.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Show the forecast for Tanintharyi Nature Reserve  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
play the Graduate Faculty Philosophy Journal album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find a coffeehouse in Illinois for three  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Where can I watch The Sword of Ali Baba at two p.m.?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Reserve me seating midday at Bear Hotel  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to the latest ballad from Ira Losco  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
when can i see Red Hot Tires  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Let me know when I can watch Actrices.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
melba and I want to dine in Barbados next Jun.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Where can I get the novel Flesh-Colored Horror  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I rate the book Rusty String Quartet a 4  [predicted:  BookRestaurant ; correct:  RateBook ]
Find a reservation in Deweese for my sister and I  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
What is Lost Land of the Tiger  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Could you locate the work, All the Times I Cried?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Go to Attack of the Planet Smashers  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to hear the song Daimidaler: Prince vs Penguin Empire  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can I get the showings for Mysterious Crossing?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Please make reservations for me and my roommate somewhere in Bouvet Island  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Where can I get Fight for Anarchy  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Rate trailer Geek Chic  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd give A Man Called Ove a 1  [predicted:  BookRestaurant ; correct:  RateBook ]
When and where can I see A Film with Me in It  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
table for 6 at a brasserie  [predicted:  RateBook ; correct:  BookRestaurant ]
Where is White Bim Black Ear  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I need the book titled Lullaby of Broadway  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
SCORE:  2989 / 3140  ( 0.9519108280254777 )
looking for Free Four: Tobias Tells the Divergent Knife-Throwing Scene  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please look up the Around the World in Eighty Days movie.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Plan an album by Roni Duani.  [predicted:  GetWeather ; correct:  PlayMusic ]
find The Dead Matter at Speakeasy Theaters  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
last melody of Bob Hardy on Iheart  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'd like showtimes for The Story of Wish You Were Here.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play my Frescura Indie playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to read the book The Lion Sleeps Tonight  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I'd like to hear Nas's greatest ballad  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Rate this book a zero  [predicted:  BookRestaurant ; correct:  RateBook ]
I'd like to eat at ten PM. anywhere neighboring to our house  [predicted:  GetWeather ; correct:  BookRestaurant ]
play the movie White Christmas  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
rate this book The Book of Snobs 1 points  [predicted:  BookRestaurant ; correct:  RateBook ]
What is the cheapest online price for the Instincts saga?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Lets go to a bistro in SD  [predicted:  GetWeather ; correct:  BookRestaurant ]
I'd like to listen to opera on Youtube  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Show me the novel All I Need to Know  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play some diva house.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want to read the novel Alone at the Microphone  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Find me music by Kaori Utatsuki off the album that has top-twenty hits  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Get a chimichanga meal at a bakery  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can I get the Butterfly Crush showings  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can you find me the movie, The Girl and the General?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Let me listen to an eighties ep.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Plaly The Ladybug Transistor by Loreena Mckennitt.  [predicted:  GetWeather ; correct:  PlayMusic ]
Go to The Devil in the Deal:50 Secrets to Successful Dealmaking  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to watch The Slender Thread at 6 PM  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to find a nice coffeehouse in South Burlington Illinois  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Can you find me the novel, Literacy?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Let me use netflix to listen to the last soundtrack from Out Of Eden.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want to be Main Deli Steak House near Hendley.  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
The Battle for Skies gets a three  [predicted:  GetWeather ; correct:  RateBook ]
Play the Knockabout soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
book of Two for the Road  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I want to eat panisses the nearby cafeteria in Naytahwaush  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I'd like to watch Abbott and Costello Meet the Keystone Kops at Amco Entertainment at 04:08:11 AM  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Open Netflix and find a movie with the song heartful  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Look for the novel Behind closed doors  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find me the book My People Were Fair and Had Sky in Their Hair… But Now They’re Content to Wear Stars on Their Brows  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I'd like to watch A Storm in the Stars at North American Cinemas  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Lets go to a steakhouse before we go to the pool  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Rate this book a five  [predicted:  BookRestaurant ; correct:  RateBook ]
Open Lastfm and start playing whatever  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Lets go and take elsa and I to Westhampton Beach in 1 hour to the american chinese cuisine at the tea house  [predicted:  GetWeather ; correct:  BookRestaurant ]
Will it be sunny at three pm in my current position  [predicted:  RateBook ; correct:  GetWeather ]
Please get me seating at the tavern in Red Lick, Michigan  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
play The Nubians of Plutonia trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Let me get reservations at a place neighboring Indonesia on August the nineteenth.  [predicted:  GetWeather ; correct:  BookRestaurant ]
I'd like to see the book City University of Hong Kong Law Review  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
On Jun. the sixteenth, 2032 I'd like to go to Dillard House in Putnam Hall  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
The book Choper, Coffee, Gilson should get a zero  [predicted:  BookRestaurant ; correct:  RateBook ]
I'd like to hear one of Eric Clapton's most popular melody on Pandora.  [predicted:  BookRestaurant ; correct:  PlayMusic ]
I'd like seats for five at a place in Verden right now  [predicted:  GetWeather ; correct:  BookRestaurant ]
Find the movie Poison Ivy: The New Seduction  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to listen to a popular melody by David Bazan  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
read the book Journal of the Bombay Natural History Society  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I want to listen to Born On The Bayou on Iheart  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Give The Fox and the Hound a 1  [predicted:  GetWeather ; correct:  RateBook ]
Can you find me the movie The Countess?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to take my mom and I to the tea house  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
When and where can I watch National Priority?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to take me and my momy to eat in Flossmoor  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Look for the movie Songs in the Key of You  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
