I want the song Phrazes for the Young  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please start playing some thirties theme music.  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
put my Family Road Trip playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
play A Box of Birds trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to listen to my Spain Top 50 playlist on groove shark  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find the book Cold Comfort  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Where can I find Police Story 3: Supercop  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play Print the Legend soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please get me The Very Best of Chicago: Only the Beginning.  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I need to know is it freezing in MN at 01:27 pm  [predicted:  BookRestaurant ; correct:  GetWeather ]
I want to World of Warcraft: Tides of Darkness  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
play Clifford Brown All Stars by Michael Balzary  [predicted:  RateBook ; correct:  PlayMusic ]
Look up The Stars Are Indifferent to Astronomy  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Find the book A Glorious Way to Die  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
rate The Ghost House series a one  [predicted:  SearchScreeningEvent ; correct:  RateBook ]
Can you get me the Snowman's Land movie?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to listen to some Aaliyah  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play Suus to my the funny thing about football is playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Can you get me the All Night Long 3: The Final Chapter novel?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Open Netflix and find a movie with the song heartful  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Go to Your Heart Belongs to Me  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Book a restaurant on June the fifth in Cavour.  [predicted:  BookRestaurant ; correct:  GetWeather ]
Find Once Upon a Time in the West  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where do get photograph of My Own Best Enemy  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I want to listen to Speed Metal Symphony  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Will you pull up my Jueves de Antaño playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
When and where is DistroWatch playing  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
The Battle for Skies gets a three  [predicted:  GetWeather ; correct:  RateBook ]
Where can I read the book The Omega Stone?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Can you please get me the book Dracula 5: The Blood Legacy?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I want to find The Very Best of Chicago: Only the Beginning  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Can You tell me the Actors of the saga awards/  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to see the movie Edinburgh Evening News  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where can I locate Leo the Lion for purchase  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play song Softly  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
get me House of Stairs  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can you locate The Crucible of Man: Something Wicked Part 2 novel?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Open youtube  [predicted:  GetWeather ; correct:  PlayMusic ]
Lets eat at Newport Creamery in Carnot  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can I get the showings for Mysterious Crossing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you locate West Coast Wrestling Connection  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play the album The Outpost  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find me the East Asia Image Collection movie.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Read The Open Ecology Journal  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
listen to acapella  [predicted:  GetWeather ; correct:  PlayMusic ]
Find The Press of Atlantic City movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play me the saga The Party’s Over  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play the song Culture and Psychology  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you locate the work, Warlock 2: The Exiled?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find War & Peace Vol. 1  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I need to see Cristo in India  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Help me locate The Tristan Betrayal  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to listen to the song Only the Greatest  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want the movie Perseo Miranda and his Theatre  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
An interesting piece from 1991 please  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Find the Ghostly Swim 2 book  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
play the song Red Lanta  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Create a theme station with Jim Creeggan records and collabs  [predicted:  GetWeather ; correct:  PlayMusic ]
I want to go see A Troll in Central Park.  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Plaly The Ladybug Transistor by Loreena Mckennitt.  [predicted:  GetWeather ; correct:  PlayMusic ]
Play 30 Greatest Hits  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
my jazz for loving couples needs more push the button  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Find the book Bad Day on the Block  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Locate me the novel entitled Isthmus.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Will it get rainy like last March in Hagerman, Saint Vincent and the Grenadines?  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Search for To Heart 2  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I need a time of 21 minutes from now for here  [predicted:  BookRestaurant ; correct:  GetWeather ]
What is the showtime for Arsho  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want the song Phrazes for the Young  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find a photograph called Cold Weather.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Go to the movie Welcome to Tokyo  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find me the soundtrack Live at the Greek Theatre  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play me the show House of Stairs  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'd like hear the song Sit Down and Talk to Me  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will it get windy close by here?  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Can you find me The Ridiculous 6 book?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
look for the book The Girl Who Was Plugged In  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Where to get the movie Fear of a Black Hat  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where is Journal of Geriatric Psychiatry and Neurology  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please include Emily Remler in Indie Bluegrass  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Could you locate the Epic Conditions picture?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Plpay my Disco Fever playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Is Winged Victory showing anywhere in one minute?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Could you locate the work, All the Times I Cried?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Am looking for a book with the title Free to Play  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Open the playlist from Sergei Chatschatrjan  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where can I find the movie The National Law Review  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where can I get Harry Potter and the Philosopher’s Stone  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Tell me where I can watch Common Law Cabin  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Need to find the picture titled The Days of Mars  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Start up my nostalgic playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to listen to the song The Natural Farmer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to see the book The Royal Thousand  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
find soundtrack titled The House of the Yellow Carpet  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
is Unbeatable Harold at Century Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'd like to watch Miss Congeniality  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'm looking for The Music of Nashville: Season 3 saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
When is Spyforce playing?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I would like this artist on drum & breaks.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Pull up Sweeney Todd - Il diabolico barbiere di Fleet Street  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play The Last Mile album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you find the movie Accidentally in Love  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Look up The Collection Volume One novel  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Show me the book Playlist: The Very Best of Dolly Parton  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Look for the album Wolves Within  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Can you help me search the Two Row Times show?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to listen to the song Shamus  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play me the song Aap To Aise Na The.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play the trailer for A Lineage of Grace  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play Party Anthems  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What time does Johnny Got His Gun play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Where to buy book Bright Ambush  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
play used to love her to my this is animal collective playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Play The News Virginian song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to hear the soundtrack to The Platinum Rule  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Start playing my Disney playlist.  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Where can I buy the movie Totality  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where can I buy a hardcover copy of the book The Intangibles of Leadership?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I want to play the game The Celestial Hawk  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you get me The Education of Little Tree song?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to see the trailer for History and Theory  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Include the album by Arthur Rhames in Urban Poet  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
play Live at Leeds  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to see The Da Vinci Code  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play the song Memories Are My Only Witness  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Search for The Sound of One Hand Clapping  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Look for Fighting Vipers 2  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to see Walk on the Wild Side: The Best of Lou Reed  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Lets take me, cherry and tracie to a Noyack bar  [predicted:  GetWeather ; correct:  BookRestaurant ]
Find a top fifty zahir howaida concerto from the seventies  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want to watch the movie Maxime  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
show creativity of The House of the Dead  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Will it get hotter around elevenses in KS?  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Play Keep Their Heads Ringin’  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Rate Soul Music a 0.  [predicted:  PlayMusic ; correct:  RateBook ]
Take me to the top-rated taverna in Sealy for trattoria next week for 5  [predicted:  GetWeather ; correct:  BookRestaurant ]
find the movie You Must First Learn to Draw the Real  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play the Discografia de The Pretty Reckless saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you play The Wanderer and His Shadow  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Lets go to the Rainforest Cafe that is in the same area as 135th St  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
I want to watch Fist of the North Star 1 minute from now  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
I'd like to see the saga 12 Soulful Nights of Christmas  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find me the song 2 Fast 2 Furious  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Show me Interesting Times: The Secret of My Success  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want food in Zaleski  [predicted:  BookRestaurant ; correct:  GetWeather ]
Play me East Side Story  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Turn on Slacker radio.  [predicted:  GetWeather ; correct:  PlayMusic ]
Play some diva house.  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Find Five Came Back for me  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play The Great Adventures of Slick Rick game  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to see The New Jackals  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play Cry Baby Lane  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
reserve a spotat the food truck twelve weeks from now  [predicted:  GetWeather ; correct:  BookRestaurant ]
SCORE:  2943 / 3140  ( 0.9372611464968152 )
find Naomi & Wynonna: Love Can Build a Bridge  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
my té para tres needs Brave and Crazy added on.  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Will it be chillier at my current location in one minute?  [predicted:  RateBook ; correct:  GetWeather ]
this chronicle of The Origins and History of Consciousness is a three  [predicted:  GetWeather ; correct:  RateBook ]
find start time in 12 seconds for National Bomb  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find a pub for me in FM  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I want to dine in Luray  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Lets go far to The Wolseley in Maine  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to eat in Wallis and Futuna and get a blizzard  [predicted:  BookRestaurant ; correct:  GetWeather ]
Will it be colder in the Apache-Sitgreaves National Forest at 6 Pm .  [predicted:  RateBook ; correct:  GetWeather ]
Give me an album from 1972 to listen to.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find Half a Truth  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find an Oasis Drive-In close-by Beach 105th St.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Lets go eat in Friday 43 days from now  [predicted:  PlayMusic ; correct:  BookRestaurant ]
I want to the latest ballad from Ira Losco  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Lets eat near Oakfield 17 seconds from now at Ted Peters Famous Smoked Fish  [predicted:  GetWeather ; correct:  BookRestaurant ]
Rate The Keys to the White House a zero  [predicted:  SearchScreeningEvent ; correct:  RateBook ]
Plya a tune by Kancherla Gopanna from 1951 on Zvooq  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Can you get me seating for 5 people 1 minute from now in Tuvalu  [predicted:  RateBook ; correct:  BookRestaurant ]
find Wild at Heart  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
book Itsu for Tonight  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I would like to rate The Giant Devil Dingo a 4.  [predicted:  BookRestaurant ; correct:  RateBook ]
Showtimes for Medal for the General  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Vegucated starting at zero pm  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find The Broken  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
At meal time while I'm here will it be hot?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I didn't like the book Nobody Lives For Ever, I give it a 2.  [predicted:  BookRestaurant ; correct:  RateBook ]
my great grandfather and I would like to get together at a taverna.  [predicted:  GetWeather ; correct:  BookRestaurant ]
I'd like to listen to opera on Youtube  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
where can i watch Willy Wonka & the Chocolate Factory  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Lets eat now somewhere in Roach  [predicted:  GetWeather ; correct:  BookRestaurant ]
I need a table in Uruguay in 213 days when it's chillier  [predicted:  BookRestaurant ; correct:  GetWeather ]
Ad Amal Hijazi tune to my Pura Vida  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Show me whether Iceland will be colder than it was last april  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
book at Dutchess Manor in Portugal for 6  [predicted:  RateBook ; correct:  BookRestaurant ]
I want to book a restaurant in Neshanic Station Nigeria for 06:18:13 pm  [predicted:  BookRestaurant ; correct:  GetWeather ]
Is A Tree Grows in Brooklyn playing in one hour  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want maximilian mutzke added to Acoustic Concentration  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
I'd like to watch The Utopian Society  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
need a table now somewhere nearby Petit Manan National Wildlife Refuge  [predicted:  BookRestaurant ; correct:  GetWeather ]
Can my electro sur have this song added to it?  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Will it get chillier in Arkinda, Myanmar?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
rate The Wimpy Kid Movie Diary  saga 4 out of 6  [predicted:  SearchCreativeWork ; correct:  RateBook ]
find The Flying Ace  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will there be snowfall at the current location at 3 o'clock?  [predicted:  RateBook ; correct:  GetWeather ]
When can I catch a screening of Shivers in Summer?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Reserve in Bermuda a food court near jan and I  [predicted:  GetWeather ; correct:  BookRestaurant ]
Find time for Ace of the Saddle  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need a table at a restaurant in Montserrat  [predicted:  BookRestaurant ; correct:  GetWeather ]
Can ten green bottles be added to brooklyn beat?  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Find time for Trouble for Two in one minute at Landmark Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Find time for All About Hash  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Reserve me a resturant for 5 at seventeen o'clock  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to know the temperate from January the twentieth in Brazil  [predicted:  BookRestaurant ; correct:  GetWeather ]
I want to go to the Freight House in Gabon  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
want to eat somewhere windy in NM  [predicted:  BookRestaurant ; correct:  GetWeather ]
Will there be a snowstorm in NC 6 years from now  [predicted:  RateBook ; correct:  GetWeather ]
book a masala bar on march 6, 2034  [predicted:  RateBook ; correct:  BookRestaurant ]
I'd like to see Snowball Express  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Hear Me Good  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play artist stu davis from the album Dub Chamber 3 on Netflix  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Rate The Mills of The Kavanaughs series a one  [predicted:  SearchCreativeWork ; correct:  RateBook ]
I'd like to watch Mission to Mir  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to listen to Diana Vickers best tune from the twenties  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find 16 starting time for Heavenly Body  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Heat Wave  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Careless Love  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can this song get added to lunchtime?  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
For the book Icon of Evil  I rate a 2  [predicted:  BookRestaurant ; correct:  RateBook ]
Want to eat somewhere cold in the neighboring Antlers region on aug. 22  [predicted:  BookRestaurant ; correct:  GetWeather ]
I need to know if its humid in Greenback in Mongolia  [predicted:  BookRestaurant ; correct:  GetWeather ]
Can you get seating for 1 person at a cafeteria in Pauls Crossroads  [predicted:  GetWeather ; correct:  BookRestaurant ]
Please look for The Pagans at movie house.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please get seating for me and my children  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Will there be a blizzard at 2 am in my current place  [predicted:  RateBook ; correct:  GetWeather ]
find Three in the Attic  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
My group of seven wants to eat at Yogurt Mountain in Slick tonight.  [predicted:  GetWeather ; correct:  BookRestaurant ]
I would like an outdoor cafeteria for 3  [predicted:  GetWeather ; correct:  BookRestaurant ]
book for six for 1 hour and 1 minute from now  [predicted:  RateBook ; correct:  BookRestaurant ]
Include Hermann Baumann in my Texas Red Dirt list  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Is The Day of the Beast playing at three p.m.?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find On Dress Parade  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
when can i see Dinosaur from the Deep  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
where is Wild America showing at zero P.M.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Add Falling Stars to my Intense Studying  [predicted:  RateBook ; correct:  AddToPlaylist ]
Please get seating at Bouchon in Tonga for jimmie and chasity howard  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
find Set the Thames on Fire for seventeen  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Rate Eight Days of Luke a five.  [predicted:  BookRestaurant ; correct:  RateBook ]
I want to book a restaurant in 40 weeks in Iowa.  [predicted:  BookRestaurant ; correct:  GetWeather ]
What theater is playing Death Drums Along the River at 5 PM  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
is Terminal Station at Cinemark Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
The ultimate 90s needs avant que l’ombre à bercy in it.  [predicted:  GetWeather ; correct:  AddToPlaylist ]
find an outdoor facility for midday in Datil at a pub for six  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
is Transcending Fear at Malco Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Book the Bobcat Bite.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Is it humid in my current spot  [predicted:  RateBook ; correct:  GetWeather ]
SCORE:  3044 / 3140  ( 0.9694267515923567 )
I want to go see A Troll in Central Park.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
add Hot House to Have You Met Miss Jones  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
Can you pull up My Name Is Brain Brian  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
forecase for Ohio in twenty one hours and one second  [predicted:  RateBook ; correct:  GetWeather ]
play Baby Workout  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
give me the showtimes for Down Where The Buffalo Go at Amco Entertainment  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
I'd like to see the saga Tamagotchi 64: Minna de Tamagotchi World  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
play saga The Yellow Rose of Texas  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can I get the showtimes for Fit for a King?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When is Harassed being played at Plitt Theatres?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What time does Johnny Got His Gun play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
What time does Tie a Yellow Ribbon play at Magic Johnson Theatres?  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
play Tales from the Organ Trade  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Give me some Musica Post-industriale from Groove Shark  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'd like to see Hannah Montana and Miley Cyrus: Best of Both Worlds Concert  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Will it be snowy at the current position by March 3?  [predicted:  RateBook ; correct:  GetWeather ]
Will it get colder in Alaska?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Will it get colder in Cape Fair  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Could I download Chavez: Inside the Coup?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Live In L.aJoseph Meyer please  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Will there be a snowstorm in NC 6 years from now  [predicted:  RateBook ; correct:  GetWeather ]
Please give me information on when Prisoner of Zenda will be shown.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it get cold in Nevada seven weeks and a half from now?  [predicted:  BookRestaurant ; correct:  GetWeather ]
What will it feel like on patriot's day on South Georgia and the South Sandwich Islands  [predicted:  BookRestaurant ; correct:  GetWeather ]
I want another song in the Women of Latin Music playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
find Partners in Action at Dickinson Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What will it be like in the current place at midnight  [predicted:  RateBook ; correct:  GetWeather ]
will Dick Tracy e il gas misterioso start twenty one hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Find Mahalakshmi Iyer music on Netflix  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Find and play a concerto on Zvooq from 1978 by Ginger Pooley  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
add 9AM in Dallas to my classical music for smart kids  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Where can I purchase Wuthering Heights  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where can I see the movie Across the Line: The Exodus of Charlie Wright?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'm looking for a movement by Asim Brkan that's on Netflix best channel  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'm looking for the last track by Fei Yu Ching from the fourties  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
book a masala bar on march 6, 2034  [predicted:  RateBook ; correct:  BookRestaurant ]
I want to send music to ann's lists from SIR John Winston Ono Lennon, put it on her Infinite Indie Folk list  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
book Itsu for Tonight  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
painting of Live from the El Rey Theatre  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can i see the Encounters?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where can I buy a Barometer Clock  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
