this album is the last and rated five  [predicted:  AddToPlaylist ; correct:  RateBook ]
Place this tune in workout remix  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Turn on Slacker radio.  [predicted:  GetWeather ; correct:  PlayMusic ]
I'm in MI and want to eat somwhere nearby Midday.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I'd like to play the song In a Reverie  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will it be hotter in CT at 6 am  [predicted:  RateBook ; correct:  GetWeather ]
play saga The Yellow Rose of Texas  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like showtimes for The Story of Wish You Were Here.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can I hear the song Visual Audio Sensory Theater?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Include golden boy in Pop Dance  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
read the novel On-Line Encyclopedia of Integer Sequences  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where can I watch The Sword of Ali Baba at two p.m.?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to hear the top 5 Jamie Lidell songs  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Will there be snowfall at the current location at 3 o'clock?  [predicted:  RateBook ; correct:  GetWeather ]
Can you give me weather details for my current spot  [predicted:  RateBook ; correct:  GetWeather ]
Will it get chillier in Sinclair in 8 hours  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Where is White Bim Black Ear  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I wish to listen to Gonna Get Along Without Ya Now by Ian Curtis.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Can I get the Butterfly Crush showings  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
play the best album from the seventies  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play a tune or two from Kansas City, Missouri  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Something by Danielle Polanco in 1986  [predicted:  GetWeather ; correct:  PlayMusic ]
SCORE:  2977 / 3140  ( 0.9480891719745222 )
Is it cloudy in the same area of Lynn Shore Reservation  [predicted:  BookRestaurant ; correct:  GetWeather ]
Can I hear the song American High.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
include pat smear on Guest List Engadget  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
look for the book titled Iranian Journal of Fuzzy Systems  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Where to buy Unarchigal  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
rate this book a five.  [predicted:  BookRestaurant ; correct:  RateBook ]
Could you locate the work, All the Times I Cried?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to see Train  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
casey and I will be in Kentucky for food  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Where can I purchase the Twenty Chickens for a Saddle saga?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
For the book Icon of Evil  I rate a 2  [predicted:  BookRestaurant ; correct:  RateBook ]
play Cry Baby Lane  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to hear my Entre los Andes playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find The Cerebellum book  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Will there be a blizzard in White House Curacao  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Looking for the album by the New Zealand Local Government  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Can you get me the Snowman's Land movie?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
When is City of Angels playing?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to eat in Ramona  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Play a trailer for Sencha Touch  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
read the Black-Body Theory and the Quantum Discontinuity novel  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Get me information on The Riverfront Times  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to be Main Deli Steak House near Hendley.  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
add repent replenish repeat to Classical Moments in Movies  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
What is the song The Beast from 20?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to read the book Between a Rock and a Hard Place  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
What is Marty Stuart discography  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Pull up the book Live and Unreleased: The Radio Show  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Plau me the song The French Chef  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play The New Noise Theology E.P.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play Keep Your Right Up song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please look up the Atheist Manifesto: The Case Against Christianity album.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
show fog conditions at 7 am in NH  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
my sons and I want to dine at The Water Club in Georgia  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Can I see the album SWAT Force?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Need the book called ANAK  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Show me when and where I can see Song of Summer  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I buy the movie The Teahouse Fire?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I need a time of 21 minutes from now for here  [predicted:  BookRestaurant ; correct:  GetWeather ]
will it be sunny in my current place at 6 am  [predicted:  RateBook ; correct:  GetWeather ]
in 17 minutes  will it be foggy in Songimvelo Game Reserve  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Where can I see the movie Across the Line: The Exodus of Charlie Wright?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play Everybody Wins trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What will the humidity be in the current spot at 15:19:29?  [predicted:  RateBook ; correct:  GetWeather ]
Where to get album Justified  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you locate The Crucible of Man: Something Wicked Part 2 novel?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
play Disney Sing It! – High School Musical 3: Senior Year  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'm looking for the hit album, The Politics of Dancing.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I purchase the book Scales of Justice  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Where do i purchase the book, Baby-Sittor?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Book PM Park, Clear Lake, Iowa at 5 am for 6 people.  [predicted:  RateBook ; correct:  BookRestaurant ]
Lets go to a steakhouse before we go to the pool  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Put The Silent Enigma album by Yoko Kanno  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What will be the wind speed at the current place?  [predicted:  RateBook ; correct:  GetWeather ]
I want to book a restaurant in 40 weeks in Iowa.  [predicted:  BookRestaurant ; correct:  GetWeather ]
need a table now somewhere nearby Petit Manan National Wildlife Refuge  [predicted:  BookRestaurant ; correct:  GetWeather ]
Will there be a storm in Gibsonia at 8 p.m?  [predicted:  BookRestaurant ; correct:  GetWeather ]
Need find the book called Hollywood Connection  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I want to play the game The Carny  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I need seats for 6 at CHAR No.4 in Georgia  [predicted:  RateBook ; correct:  BookRestaurant ]
Can you find the book Beatmania IIDX 10th Style  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
play the album Journeyman  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I need to know is it freezing in MN at 01:27 pm  [predicted:  BookRestaurant ; correct:  GetWeather ]
I want to see the novel, The Green  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Where can I purchase the saga The Second Life of Samuel Tyne  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where can I purchase Paradise Tonight online?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to listen to the soundtrack Adobe Digital Editions  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find the book Cold Comfort  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Where to buy book Charlie Countryman deve morire  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I need a table at a restaurant in Montserrat  [predicted:  BookRestaurant ; correct:  GetWeather ]
I'd like to hear the song In a Reverie  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to see the saga Tamagotchi 64: Minna de Tamagotchi World  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
When can I see The Crew of the Dora  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Rate this book a five  [predicted:  BookRestaurant ; correct:  RateBook ]
I want to find a nice coffeehouse in South Burlington Illinois  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Show me the book The Republican Brain  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I need some Hardcore Hip Hop  [predicted:  BookRestaurant ; correct:  PlayMusic ]
Can you get me the All Night Long 3: The Final Chapter novel?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Will it get hotter next year in Springside Nature Reserve?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want to take my mom and I to the tea house  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
Hook me up with a song by Dancing Girl.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Go to the movie Welcome to Tokyo  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
rate The Ghost House series a one  [predicted:  BookRestaurant ; correct:  RateBook ]
play Another Time  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
On oct. 26, I will need to make reservations to eat in Halibut Point State Park.  [predicted:  BookRestaurant ; correct:  GetWeather ]
Where to buy Education for Chemical Engineers  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find the book A Glorious Way to Die  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Show the Whispering Willows novel  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'm looking to get a seat at a brasserie in Togo.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I'm looking for The Music of Nashville: Season 3 saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What is Just Like in the Old Country  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to see Michel Strogoff  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want global top 50 to have marit bergman added to it.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Can you help me search the Two Row Times show?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play me the show Cheaper By the Dozen 2  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find the book The Crowd Roars  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Can you get seating for 1 person at a cafeteria in Pauls Crossroads  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to see Sympathy for the Devil  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please get seating for me and my children  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Go to BioRuby  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Is there fog in New York  [predicted:  PlayMusic ; correct:  GetWeather ]
I want to go to an outdoor cafe in Pioneer Day  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
play Live at Leeds  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Show me the book Pokémon: The Johto Journeys  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I need to see Cristo in India  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Where can I get Harry Potter and the Philosopher’s Stone  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to see the book The Royal Thousand  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
What is A Romance of the Halifax Disaster  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play me East Side Story  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play me the trailer for Gainesville Daily Register.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to find the Limited Lovers novel  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Where can I read the book The Omega Stone?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I want to see Teeny Little Super Guy at Malco Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Search for the Abel Sánchez: The History of a Passion novel  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Whens the next showing of The Game of Their Lives  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play Remains of the Day  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Reserve me seating midday at Bear Hotel  [predicted:  GetWeather ; correct:  BookRestaurant ]
play the game Sugarfoot  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find a top fifty zahir howaida concerto from the seventies  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'd like to see Walk on the Wild Side: The Best of Lou Reed  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Will it be windy at 4 Pm in NY?  [predicted:  RateBook ; correct:  GetWeather ]
Play me Memoirs of Modern Love: Curious Age  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you get me The Education of Little Tree song?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find book In the Valley  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
my step aunt and I want to go cheese fries at the tavern  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
The book Choper, Coffee, Gilson should get a zero  [predicted:  BookRestaurant ; correct:  RateBook ]
I want food in Zaleski  [predicted:  BookRestaurant ; correct:  GetWeather ]
I need work of Father Dearest  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Please make a booking at Sonoy in Montague, LA.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
put on a Serge Robert track  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I need to episodes for the TV series, Fast Food Nation.  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Play the trailer for A Lineage of Grace  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to eat in Wallis and Futuna and get a blizzard  [predicted:  BookRestaurant ; correct:  GetWeather ]
I want to listen to the album Magical Girl Lyrical Nanoha StrikerS  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
rate the book English Grammar In Use a five  [predicted:  BookRestaurant ; correct:  RateBook ]
Please get me seating at the tavern in Red Lick, Michigan  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Will it be freezing within walking distance of Alaska?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
play The Widow of Saint-Pierre saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where to get the movie Fear of a Black Hat  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find a pub for me in FM  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I'd like to see The River of Stars TV series  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
What are the timings for Starship Troopers 2?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play me the trailer for Star Control.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
When and where can I see A Film with Me in It  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play the Electrochemical and Solid State Letters song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want tables for 6 at a kosher steakhouse around Kosovo  [predicted:  RateBook ; correct:  BookRestaurant ]
Please pull up the album, The Last War  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'm looking for the Formula One Championship Edition album  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Will it be cloudy in Lenzburg, Papua New Guinea  [predicted:  PlayMusic ; correct:  GetWeather ]
Lets eat near Oakfield 17 seconds from now at Ted Peters Famous Smoked Fish  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I'd give A Man Called Ove a 1  [predicted:  BookRestaurant ; correct:  RateBook ]
Where can I see Getting There: Sweet 16 and Licensed to Drive  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
melba and I want to dine in Barbados next Jun.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Look for Fighting Vipers 2  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where can I buy the movie Totality  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to see the book, The Mailroom: Hollywood History from the Bottom Up  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I wanna listen to Electroclash  [predicted:  GetWeather ; correct:  PlayMusic ]
show creativity of book Future of the Past  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
When can I see Ghost World  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to see Apartment Hunting.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to play the game The Celestial Hawk  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
therese, clara and I want to go to the Tennessee Ridge  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Is there a snowstorm coming in Dana at 4 pm  [predicted:  RateBook ; correct:  GetWeather ]
I want to play the game Pesterminator: The Western Exterminator.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play me the song Aap To Aise Na The.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will it be chillier at my current location in one minute?  [predicted:  RateBook ; correct:  GetWeather ]
search for the album Frog and the Birdsong  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will there be rain next year in New Hampshire?  [predicted:  AddToPlaylist ; correct:  GetWeather ]
play the What I Need to Do soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I need a book called Student Demonstration Time  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Get a chimichanga meal at a bakery  [predicted:  GetWeather ; correct:  BookRestaurant ]
play Tales from the Organ Trade  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to listen to mark rae  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
show movie schedule of The Big Mouth  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Is it overcast in Brazil in within walking distance  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Pull up Sweeney Todd - Il diabolico barbiere di Fleet Street  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where can I find The Brave Little Toaster To The Rescue book?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Let's listen to Matthew Shipp.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
SCORE:  2962 / 3140  ( 0.943312101910828 )
Can ten green bottles be added to brooklyn beat?  [predicted:  GetWeather ; correct:  AddToPlaylist ]
book me a restaurant in Aransas Pass in seventeen hours  [predicted:  BookRestaurant ; correct:  GetWeather ]
I want to see Teeny Little Super Guy at Malco Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it get rainy like last March in Hagerman, Saint Vincent and the Grenadines?  [predicted:  PlayMusic ; correct:  GetWeather ]
Please get me seating at the tavern in Red Lick, Michigan  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I want to see the book, The Mailroom: Hollywood History from the Bottom Up  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
put Joseph Utsler on All Out 70s  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Lets go to a steakhouse before we go to the pool  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
add repent replenish repeat to Classical Moments in Movies  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Please open Zvooq  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Find The Cerebellum book  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I'd like to see Level Headed  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Show me when and where I can see Song of Summer  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play the best album from the seventies  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
put Unbound into found them first for me  [predicted:  GetWeather ; correct:  AddToPlaylist ]
look for the book titled Iranian Journal of Fuzzy Systems  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
How to get saga Stronda Style  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Is it warm in the current spot?  [predicted:  RateBook ; correct:  GetWeather ]
this chronicle of The Origins and History of Consciousness is a three  [predicted:  GetWeather ; correct:  RateBook ]
I want to eat at a bakery with deidre and rosa in Jersey.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
When and where can I see A Film with Me in It  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where to buy Unarchigal  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to take my mom and I to the tea house  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
I need seats for 6 at a place in AK  [predicted:  RateBook ; correct:  BookRestaurant ]
will it get chillier within walking distance of PW  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
read the Black-Body Theory and the Quantum Discontinuity novel  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find a place for me to eat in Connecticut for 9 and a half months from now  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
play Bill Evans album The Best Of The 12" Mixes  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
me, maggie and ellen want to eat at Lentil as Anything  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
play The Widow of Saint-Pierre saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What is the song The Beast from 20?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
put deep purple on this is jennifer lopez  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Book a bakery at zero o'clock for 5 people.  [predicted:  RateBook ; correct:  BookRestaurant ]
Open Lastfm and start playing whatever  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
my sons and I want to dine at The Water Club in Georgia  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I'd give A Man Called Ove a 1  [predicted:  BookRestaurant ; correct:  RateBook ]
Book a restaurant 1 hour from now in Dorchester Shores Reservation  [predicted:  BookRestaurant ; correct:  GetWeather ]
When is City of Angels playing?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to play the game The Carny  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to see Sympathy for the Devil  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I didn't like the book Nobody Lives For Ever, I give it a 2.  [predicted:  BookRestaurant ; correct:  RateBook ]
Is it going to be cloudy in my current spot for dinner?  [predicted:  RateBook ; correct:  GetWeather ]
I need seats for 6 at CHAR No.4 in Georgia  [predicted:  RateBook ; correct:  BookRestaurant ]
Rate The Keys to the White House a zero  [predicted:  GetWeather ; correct:  RateBook ]
I want to eat in 19 hours  at NM  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Plau me the song The French Chef  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd give The Cricket in Times Square 3 stars  [predicted:  GetWeather ; correct:  RateBook ]
Play a tune or two from Kansas City, Missouri  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play Everybody Wins trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
therese, clara and I want to go to the Tennessee Ridge  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Go to the saga The Quantum Thief  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I need some ambient music.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I give The Spirit of St. Louis a 1  [predicted:  GetWeather ; correct:  RateBook ]
What is A Romance of the Halifax Disaster  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Will it get windy close by here?  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Play me the trailer for Star Control.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Include golden boy in Pop Dance  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Find a coffeehouse in Illinois for three  [predicted:  GetWeather ; correct:  BookRestaurant ]
find book In the Valley  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I'd rate Days of Blood and Starlight a 4  [predicted:  BookRestaurant ; correct:  RateBook ]
I'd like to eat in Montana on 10/22/2030  [predicted:  GetWeather ; correct:  BookRestaurant ]
Open youtube  [predicted:  GetWeather ; correct:  PlayMusic ]
What are the timings for Starship Troopers 2?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Put What Color Is Your Sky by Alana Davis on the stereo.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
put glenn stetson to my your daily routine playlis  [predicted:  GetWeather ; correct:  AddToPlaylist ]
play the game Sugarfoot  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play Halid 08 by video game pianist on Pandora  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Whens the next showing of The Game of Their Lives  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need a book called Student Demonstration Time  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
The trapaholics needs another artist added.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Please start playing some thirties theme music.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I need the wather for next week in the Philippines  [predicted:  BookRestaurant ; correct:  GetWeather ]
When can I see Ghost World  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
show freezing forcast now within the same area in North Dakota  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Find a top fifty zahir howaida concerto from the seventies  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want to hear the album Suites & Sweets  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Need to see if there will be fog  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Show the Three Tales album  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you find the book Beatmania IIDX 10th Style  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Start playing my Disney playlist.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want global top 50 to have marit bergman added to it.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Play me the show Cheaper By the Dozen 2  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play Disco Tango to Power Walk  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Where can I purchase the saga The Second Life of Samuel Tyne  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to go to the popular bistro in OH  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I'm looking to get a seat at a brasserie in Togo.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Where can I see the movie Across the Line: The Exodus of Charlie Wright?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where to buy Education for Chemical Engineers  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Locate a bakery in Rockport, Federated States Of Micronesia that serves olives  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Find the novel What We Did on Our Holiday  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where can I see Getting There: Sweet 16 and Licensed to Drive  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to hear one of Eric Clapton's most popular melody on Pandora.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
The book Choper, Coffee, Gilson should get a zero  [predicted:  BookRestaurant ; correct:  RateBook ]
