what will be the temperature 1 minute and 8 seconds from now in Green Bottom Wildlife Management Area  [predicted:  BookRestaurant ; correct:  GetWeather ]
Go to Mick Fleetwood on my Vimeo  [predicted:  GetWeather ; correct:  PlayMusic ]
Where and at what time can I see Paragraphe 78  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch Take This Waltz  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play the song Culture and Psychology  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
i want to watch Mister Cool  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play the song Memories Are My Only Witness  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find time for The Thirty Nine Steps  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
where is Wild America showing at zero P.M.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'd like to watch Sherlock Holmes à New York at KB Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
where is My Song Goes Forth playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Un weekend da bamboccioni  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find me showtimes for A Christmas Story starting at eleven o'clock.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
give me some Hank Shermann from 1975 on Lastfm  [predicted:  GetWeather ; correct:  PlayMusic ]
Please open pandora for me  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Can you locate the work, Warlock 2: The Exiled?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What time does Military history of African Americans play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
where can i watch Wartime Romance in the morning  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play The Lousy Dance trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to play the album Beloved Rogues  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play me the soundtrack Ready  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
When and where is DistroWatch playing  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Reserve me a resturant for 5 at seventeen o'clock  [predicted:  GetWeather ; correct:  BookRestaurant ]
search for the song Banquet for the Damned  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Look for A Terrible Vengeance  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Vegucated starting at zero pm  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
is The Singing Nun at Regal Entertainment Group  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Where can I view the trailer Extreme – The Collection  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
put Joseph Utsler on All Out 70s  [predicted:  GetWeather ; correct:  AddToPlaylist ]
i want to listen to Say It Again by Blackstratblues  [predicted:  GetWeather ; correct:  PlayMusic ]
I need a SOUNDTRACK FOR STUDY purposes.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Something by Danielle Polanco in 1986  [predicted:  GetWeather ; correct:  PlayMusic ]
I'd like to watch All on the Red at 9 o'clock  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Rate Soul Music a 0.  [predicted:  AddToPlaylist ; correct:  RateBook ]
I wish to listen to Gonna Get Along Without Ya Now by Ian Curtis.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Can you help me search the Two Row Times show?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want seats for four at a place in RI  [predicted:  RateBook ; correct:  BookRestaurant ]
where can i see A Slice of Life  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play Closer to the Sun album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Whosoever Shall Offend at Showcase Cinemas  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find The Broken  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to see the movie The Ooze  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find Captain Kronos - Vampire Hunter.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
my step aunt and I want to go cheese fries at the tavern  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I would like a cafeteria at 10:41:51 am for seven  [predicted:  GetWeather ; correct:  BookRestaurant ]
Is F.I.S.T. at Malco Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can i get the showtimes for Man in Blues?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When can I see Salaam-e-Ishq: A Tribute To Love at B&B Theatres?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
show me the schedule of Dead Snow  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Fox Theatres with The Caretaker  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Showtimes for Medal for the General  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can i get todays showtimes for Le Flic de Beverly Hills 2?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Go to Your Heart Belongs to Me  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Wish You Were Here, a movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can i use Lastfm to listen to Twilight Time by Dj Khalil?  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want to hear the soundtrack to The Platinum Rule  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Shanghaï Express  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
restaurant in Watauga for me and my aunt  [predicted:  GetWeather ; correct:  BookRestaurant ]
Look for the TV series The Stars at Saint Andrea  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Play show of Cissy Houston  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Read The Open Ecology Journal  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
can i lesten to the latest album of T-bone Burnett  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Show me the book Playlist: The Very Best of Dolly Parton  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
find The Watcher at United Paramount Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is The Matinee Idol 06:30 cinema sold out?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
give me some Last Emperor  [predicted:  GetWeather ; correct:  PlayMusic ]
I need seats for 6 at CHAR No.4 in Georgia  [predicted:  RateBook ; correct:  BookRestaurant ]
Reserve me seating midday at Bear Hotel  [predicted:  GetWeather ; correct:  BookRestaurant ]
Where can I watch Gaddar: The Traitor?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to reserve a gastropub that has a spa.  [predicted:  GetWeather ; correct:  BookRestaurant ]
does Mexican Werewolf start at three am  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'm looking for something by Young Rome from 2001 on Groove Shark  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What is The Cave Canem Demos photograph?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to go see A Simple Noodle Story in seventeen seconds at Goodrich Quality Theaters.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
put th Power Gaming playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'm looking for a movement by Asim Brkan that's on Netflix best channel  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What time will the Amco Entertainment  be plying The Teeth of the Tiger  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I need a photograph of The Oregon Desert  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Wild at Heart  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to watch the movie X Window Display Manager  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'd like to watch The Utopian Society  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Look up The Adventure of the Blue Carbuncle  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you get me the Snowman's Land movie?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
what time can i see Mojave Phone Booth  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
my sons and I want to dine at The Water Club in Georgia  [predicted:  GetWeather ; correct:  BookRestaurant ]
I'd like to watch Monk Comes Down the Mountain  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch Army at Wanda Group  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
put my raining playlist on  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to hear my Entre los Andes playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
me, maggie and ellen want to eat at Lentil as Anything  [predicted:  GetWeather ; correct:  BookRestaurant ]
find a novel called Best Hits Live: Save the Children Speed Live 2003  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Ad Amal Hijazi tune to my Pura Vida  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
give me something from the fifties  [predicted:  GetWeather ; correct:  PlayMusic ]
When can I see Journey to the End of the Night?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'm wondering if I can watch Heyy Babyy at a cinema.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please find the schedule for Jappeloup at Bow Tie Cinemas.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
trailer of Gate of Thunder  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
i want to see Return to Yesterday  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find National Amusements with Honey, I Shrunk the Kids  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find a table close by in the downtown area for sherri and I  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
Where can I watch the TV series Polite People  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Give me some Musica Post-industriale from Groove Shark  [predicted:  GetWeather ; correct:  PlayMusic ]
Get me Kiss the Crystal Flake  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want something from the year 1961 that was on record from deezer  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Book a bakery at zero o'clock for 5 people.  [predicted:  RateBook ; correct:  BookRestaurant ]
Let's listen to Matthew Shipp.  [predicted:  GetWeather ; correct:  PlayMusic ]
find Blood and Bones  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Bombshells saga download  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Quiet Night In  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Put this shelter from the storm on r&b party classics  [predicted:  GetWeather ; correct:  AddToPlaylist ]
I'd like to eat in Montana on 10/22/2030  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Will it get chillier in 12 years  in Greenland?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What time will Paris by Night aired  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find A Feather in Her Hat at Magic Johnson Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Include golden boy in Pop Dance  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Look for Little Computer People  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to listen to an album from Sibel.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
play the song Evocation I – The Arcane Dominion  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find the schedule for Brick.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
i want to watch Ghosts of the Abyss at Kerasotes Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play me the trailer for Chasing After Shadows... Living with the Ghosts.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to listen to a concerto from Timour Moutsouraev.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want tables for 6 at a kosher steakhouse around Kosovo  [predicted:  RateBook ; correct:  BookRestaurant ]
Where can I listen to the song The Lost Worlds of Planet Earth  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play me the saga The Party’s Over  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
something on Spotify please  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'm wondering when I can see Hurry Sundown.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play trailer of Do Whatever Turns You On  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is A Short Film About Killing at North American Cinemas  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Put The Silent Enigma album by Yoko Kanno  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to watch The Freckled Fish at 00:47:43 at Magic Johnson Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find the movie Ircle  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to listen to Foreign Affair.  [predicted:  GetWeather ; correct:  PlayMusic ]
Will it be chillier at my current location in one minute?  [predicted:  RateBook ; correct:  GetWeather ]
Look for All That Matters  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Buy novel Brokeback Mountain  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What is the Paranormal Activity: Ghost Dimension album?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Need the book called ANAK  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Book PM Park, Clear Lake, Iowa at 5 am for 6 people.  [predicted:  RateBook ; correct:  BookRestaurant ]
find Endless Horizons  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Belle of the Yukon  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is You Will Meet a Tall Dark Stranger at Bow Tie Cinemas  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Search for To Heart 2  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Show the Day the Earth Caught Fire movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where can I find the movie The National Law Review  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find the movie Shake Your Spirit  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
what time can i see The Half Naked Truth  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is it possible to see The Day of the Jackal at Pacific Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you let me know when Troopers Three is scheduled?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
casey and I will be in Kentucky for food  [predicted:  GetWeather ; correct:  BookRestaurant ]
rate The Ghost House series a one  [predicted:  GetWeather ; correct:  RateBook ]
I need a popular moroccan cafeteria  [predicted:  GetWeather ; correct:  BookRestaurant ]
my great grandfather and I would like to get together at a taverna.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Showtimes for Butterfly on a Wheel.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
put El Mejor Rock en Español playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find me a nice restaurant in Mulvane.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Play the Seamus Heaney Collected Poems song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Help me locate The Tristan Betrayal  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I would like an outdoor cafeteria for 3  [predicted:  GetWeather ; correct:  BookRestaurant ]
Find the schedule for The Wild Eye.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
table for 5 AM. at Baker’s Keyboard Lounge  [predicted:  RateBook ; correct:  BookRestaurant ]
Find a place for me to eat in Connecticut for 9 and a half months from now  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
put on a Serge Robert track  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Can I get The Marine 2 showtimes.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Is it humid in my current spot  [predicted:  RateBook ; correct:  GetWeather ]
Please add james house to bleeps & bloops  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Show me schedules to see A Film with Me in It.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to dine in Luray  [predicted:  GetWeather ; correct:  BookRestaurant ]
What will the humidity be in the current spot at 15:19:29?  [predicted:  RateBook ; correct:  GetWeather ]
I want to listen to the Music of Ghost in the Shell: Stand Alone Complex  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you get me the All Night Long 3: The Final Chapter novel?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
show movie CrossGenesis  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to watch the trailer to Worms 2: Armageddon.  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I'd like to see the movie Edinburgh Evening News  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
When can I watch Alice: A True Story at AMC Theatres?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you locate West Coast Wrestling Connection  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Lets eat now somewhere in Roach  [predicted:  GetWeather ; correct:  BookRestaurant ]
What time is 楽園追放 -Expelled from Paradise-  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'd like to play the album Clarke  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like hear the song Sit Down and Talk to Me  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What's the weather going to be like near Sawtooth National Recreation Area at 2 pm?  [predicted:  BookRestaurant ; correct:  GetWeather ]
Locate a cafeteria for two that serves deviled crab  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can you give me weather details for my current spot  [predicted:  RateBook ; correct:  GetWeather ]
Find a coffeehouse in Illinois for three  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
find The Branded Woman  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
can you find me a showing for Before the Music Dies in one second ?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
is Las aventuras de Zachary Beaver at Harkins Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
what time can i see Girls to Marry  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please include Emily Remler in Indie Bluegrass  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Please reserve a spot at Ballachulish House.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I'd like to eat at a popular diner  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
find 16 starting time for Heavenly Body  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
therese, clara and I want to go to the Tennessee Ridge  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can you please locate the movie, Healthy?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find an outdoor facility for midday in Datil at a pub for six  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
find The Flying Ace  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
She me the Sons of Satan Praise the Lord picture  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to read the book Crash Landing  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
What is the trailer for Feel the Passion.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can ten green bottles be added to brooklyn beat?  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Where can I buy a hardcover copy of the book The Intangibles of Leadership?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Can I get the showtimes for The Man Who Could Talk to Kids?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What does For All the Wrong Reasons look like  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
melba and I want to dine in Barbados next Jun.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Look up The Stars Are Indifferent to Astronomy  [predicted:  RateBook ; correct:  SearchCreativeWork ]
find Andreas Hofer at elevenses  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to listen to mark rae  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Is it chilly anywhere faraway from my current place  [predicted:  RateBook ; correct:  GetWeather ]
I wanna listen to Electroclash  [predicted:  GetWeather ; correct:  PlayMusic ]
I want to listen to Keep the Faith  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want a list of showings of Days of Fire at Harkins Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where is All Night Long 3 playing 1 hour from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
play Bliss Torn from Emptiness  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Search for Innocence from Hell  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to see the current showtimes for His Kind of Woman  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Can you locate The Crucible of Man: Something Wicked Part 2 novel?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
find Three in the Attic  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find The Colour of the Chameleon  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
SCORE:  2900 / 3140  ( 0.9235668789808917 )
Please search for the Drop-In song.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Go to the photograph The Inflated Tear  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play the song S.F. sound furniture  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you get me the Maldeamores saga?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to visit a pizzeria with a pool at fourteen o'clock.  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
Rate Eight Days of Luke a five.  [predicted:  BookRestaurant ; correct:  RateBook ]
ad this track by Isobel Campbell to my Folk for Kids list  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Pull up the movie Toy and Help Yourself  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to read the novel Alone at the Microphone  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where can I watch Hank Williams: The Show He Never Gave?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to see Confessions of an Indian Teenager  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to see the book, The Mailroom: Hollywood History from the Bottom Up  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Find and play a concerto on Zvooq from 1978 by Ginger Pooley  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Please make a booking at Sonoy in Montague, LA.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Where can I view the photograph of Johnny Cool  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
show movie The Skeptic – Das teuflische Haus  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Get a chimichanga meal at a bakery  [predicted:  GetWeather ; correct:  BookRestaurant ]
find The Panic in Needle Park  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Add Spanish Harlem Incident to cleaning the house  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
What is the cheapest online price for the Instincts saga?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find me the book My People Were Fair and Had Sky in Their Hair… But Now They’re Content to Wear Stars on Their Brows  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
find the movie Yoshimi Battles the Hip-Hop Robots  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find me a coffeehouse for nine in Indiana that has access to a pool  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Where can I watch Portrait of a Woman, Nude in 1 hour?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Lets go to a bistro in SD  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play the Knockabout soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to see The River of Stars TV series  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Nightwork soundtrack download  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can I see the album SWAT Force?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find the movie Poison Ivy: The New Seduction  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
rate The Wimpy Kid Movie Diary  saga 4 out of 6  [predicted:  BookRestaurant ; correct:  RateBook ]
I rate the book Rusty String Quartet a 4  [predicted:  BookRestaurant ; correct:  RateBook ]
I want to read Mad Money  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find Fish Story  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
is it possible to see Corn at eleven A.M. at Loews Cineplex Entertainment  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
is there a Chinese Wikipedia  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to see Train  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
show the schedule of Unborn but Forgotten  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to see Michel Strogoff  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
hannah lewis and chelsea want to go to a cafe in Botswana on Apr. the seventeenth, 2024  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Can you find me the movie The Countess?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
where can i watch Key to the City  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
When can I see Ghost World  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
in one hour find King of Hearts  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find a movie called No. 1 In Heaven.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where does The Return of the Whistler play at the Bow Tie Cinemas at 03:01:48 A.M.  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Include Hermann Baumann in my Texas Red Dirt list  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Where can I see Getting There: Sweet 16 and Licensed to Drive  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please find me The Hanging Valley movie.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to watch Strange Brother  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Rate trailer Geek Chic  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to go see The Trouble with Girls  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
search for Space on My Hands  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please search TV series The Movies.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'd like to listen to Tom Cochrane's 1990 ep on Zvooq.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'd like to see Completely Well  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
when does Miss Sloane play at IMAX Corporation  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
On june 27, 2026 I'd like to go to a Delaware gastropub  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Is it chilly anywhere faraway from my current place  [predicted:  RateBook ; correct:  GetWeather ]
Need to see Mother Joan of the Angels in one second.  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
play Off the Ground  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play Everybody Wins trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play The Crowd: A Study of the Popular Mind soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Look for the movie Darkness Come Alive  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play Rock This playlist with Badonviller Marsch  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Look for the movie Songs in the Key of You  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can you pull up the American Music Awards of 1975  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
When does Of Stars and Men play?  [predicted:  AddToPlaylist ; correct:  SearchScreeningEvent ]
