Whens the next showing of The Game of Their Lives  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is Holy Matrimony playing at National Amusements?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play One Good Reason by Tommy Flanagan on Itunes  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
what time can i see Mojave Phone Booth  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Now and Forever  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When can I see Journey to the End of the Night?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to see the current showtimes for His Kind of Woman  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
where can i watch Wartime Romance in the morning  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What time does Kraken: Tentacles of the Deep play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Is the film Goodrich Quality Theaters playing at 12:26 AM?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is A Charming Man playing at lunch time?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
when does Miss Sloane play at IMAX Corporation  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Is it warm in New Jersey in 23 minutes and fourteen seconds  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Will it snow this week in Parc national de Petrified Forest?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
book me a restaurant in Aransas Pass in seventeen hours  [predicted:  BookRestaurant ; correct:  GetWeather ]
show freezing forcast now within the same area in North Dakota  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Play me the trailer for Gainesville Daily Register.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where and when is Douglas playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
where is The Incite Mill playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When is For Lovers Only playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Need to see if there will be fog  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
find Chained Heat  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
where can I watch Mabel’s Dramatic Career at twenty two o'clock  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What are the showtimes for Beware! The Blob at Plitt Theatres?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to hear This Is The Night from Proof  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
what time is Company Men showing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is F.I.S.T. at Malco Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time is Cabin Fever: Spring Fever playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is Love Coach playing at Speakeasy Theaters?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to see showings for All the Way Home at Kerasotes Theatres.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
show cloud forcast in 1 hour in IA  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
what films are at Cinemark Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it be foggy in 1 hour and 1 minute from now in OK  [predicted:  RateBook ; correct:  GetWeather ]
show weather while Sunset in the same area in South Carolina  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want to give Dressed To Kill a one  [predicted:  BookRestaurant ; correct:  RateBook ]
will Dick Tracy e il gas misterioso start twenty one hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Where can I see The Somme starting at 16:01:04?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it be sunny in Occoquan Bay National Wildlife Refuge by tea time?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What time is Always Brando showing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Lets hear some booty bass  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
is Tomorrow at Dawn at Harkins Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is A Short Film About Killing at North American Cinemas  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
turn on Last Fm  [predicted:  GetWeather ; correct:  PlayMusic ]
Play the top five melody from 2000  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play the album, Dance Hall At Louse Point.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
rate the Beyond Black saga a one  [predicted:  BookRestaurant ; correct:  RateBook ]
Find time for The Thirty Nine Steps  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Blood and Bones  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please give me information on when Prisoner of Zenda will be shown.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What time is Sundown: The Vampire in Retreat showing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
when can iw atch Great Balls of Fire! - Vampate di fuoco  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Show me the forecast for Wisconsin  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Where is The Wilderness Trail playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time is Murph the Surf playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is Convoy Busters playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where is Road to the Stage playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
rate Notable American Women a 3 star  [predicted:  BookRestaurant ; correct:  RateBook ]
I want to hear the album Suites & Sweets  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find The Watcher at United Paramount Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play the best Becca  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
show fog conditions at 7 am in NH  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Show the forecast for Tanintharyi Nature Reserve  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What's the weather going to be like at my current spot at 7 am  [predicted:  BookRestaurant ; correct:  GetWeather ]
find the movie Everywhere But Home  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Quiet Night In  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play a top 5 song from Wally Bastian on Google Music  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
where is The Chief Cook playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
looking for Liberalism and the Limits of Justice  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play the top five songs by Gad Elbaz  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where is Boo to You Too! Winnie the Pooh playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Book a cafeteria with wifi  [predicted:  GetWeather ; correct:  BookRestaurant ]
When is We Stick Together Through Thick and Thin playing at ArcLight Hollywood?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it get chillier in 12 years  in Greenland?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
show me the schedule of Dead Snow  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
where is My Song Goes Forth playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I watch Hank Williams: The Show He Never Gave?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
rate the Which Moped with Chrome-plated Handlebars at the Back of the Yard? saga a one  [predicted:  BookRestaurant ; correct:  RateBook ]
Play Remains of the Day  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will it get windy in Ocean Breeze Park?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Is A Man Called Hero playing during brunch at the cinema  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When and where is Nefertiti, Queen of the Nile playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it be overcast during meal time in NH?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I'd like to watch Demolition Man at 11:09 PM  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is Liberator playing at the IMAX Corporation at 11?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play Bill Evans album The Best Of The 12" Mixes  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
When is the next showing of Star Wars: The Clone Wars?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is it going to be chillier in New Mexico this spring?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Is The Angel of Vengeance – The Female Hamlet playing at the cinema at 6 am  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What time is Phera playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find me showtimes for A Christmas Story starting at eleven o'clock.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
In seven hours from now will it rain at my current place  [predicted:  RateBook ; correct:  GetWeather ]
when can i see We and Our Mountains  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
will it get chillier within walking distance of PW  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
When can I go see The Untold Story?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time is Crawlspace playing at the Caribbean Cinemas  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When is One Sunday Morning scheduled to be played?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Is it going to get windy today in Tunisia?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
play the album Journeyman  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Sort to the last song on playlist from 1983 a chant by Mark Oliver Everett  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What time is Trouble Every Day playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will the sky be overcast around jan. 28 in OK?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Is Arthur 2 – On the Rocks playing at 20:44?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find The Branded Woman  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch Broadway Nights at Megaplex Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is Party All Night  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can i get the showtimes for Man in Blues?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch Take This Waltz  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch The Holy Office at Cooper Foundation  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play Richard Thompson from the thirties song book  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Plpay my Disco Fever playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
is Las aventuras de Zachary Beaver at Harkins Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
i want to watch Ghosts of the Abyss at Kerasotes Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time will The Age of Success be showing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is Happy Ghost III at Caribbean Cinemas  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Lets hear some Dawood Sarkhosh from their The Power Of Your Love album from Groove Shark  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Give me the showtimes for The Rum Diary at MJR Theatres at meal time.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'd like to watch The Details at the cinema  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to listen to Roger Daltrey from the sixties on slacker  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play a top five Linda Strawberry ep  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find Goodrich Quality Theaters films  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is The Matinee Idol 06:30 cinema sold out?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play Clifford Brown All Stars by Michael Balzary  [predicted:  RateBook ; correct:  PlayMusic ]
at my current spot is it going to be hotter on Nov. the eighth  [predicted:  RateBook ; correct:  GetWeather ]
Can you let me know when Troopers Three is scheduled?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
When does Of Stars and Men play?  [predicted:  AddToPlaylist ; correct:  SearchScreeningEvent ]
I'd like to know when I can see The Taking of Flight 847: The Uli Derickson Story at Amco Entertainment.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
search for Pat and Margaret  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
will it be sunny in my current place at 6 am  [predicted:  RateBook ; correct:  GetWeather ]
Will there be sun in the Manassas National Battlefield Park?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Is it cloudy in the same area of Lynn Shore Reservation  [predicted:  BookRestaurant ; correct:  GetWeather ]
find a Loews Cineplex with films  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When is The Blue of Heaven playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When is Beneath the Harvest Sky playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is it overcast in Brazil in within walking distance  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Does the forecast show a storm in Maquoketa, NH around July sixth?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I'd like to watch Heartbreak at Pacific Theatres at two pm  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Please pull up the album, The Last War  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Where does The Return of the Whistler play at the Bow Tie Cinemas at 03:01:48 A.M.  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
what films are at Kerasotes Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find Captain Kronos - Vampire Hunter.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Make me a reservation for elvira and I in Brazil  [predicted:  GetWeather ; correct:  BookRestaurant ]
What time is American Gun playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
listen to Pmd symphony  [predicted:  GetWeather ; correct:  PlayMusic ]
Play Still Life 1  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to hear one of Eric Clapton's most popular melody on Pandora.  [predicted:  BookRestaurant ; correct:  PlayMusic ]
Go to BioRuby  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where can I watch Portrait of a Woman, Nude in 1 hour?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
is These Girls at the cinema  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time is Beat the Devil coming on at Mann Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch All on the Red at 9 o'clock  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When is Harassed being played at Plitt Theatres?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play Rap Album One by Gene Vincent.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find Long Hello and Short Goodbye, a movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Is Tomorrow at Seven being played at Douglas Theatre Company?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time is The Phoenix Project playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Good Night, and Good Luck at a Cinemark Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time is The Corner playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where and when is Unleashed – Entfesselt playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Brandy in the Wilderness  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time is The Ladies Diplomat playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time is Wild and Wooly playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
where is The Country Bears playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Show me a forecast for French Polynesia  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Please get seating for me and my children  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Give me the showtimes for Sign of the Anchor.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What time is The Lottery Man playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find the weather prediction for Camdeboo-Nationalpark for jan. eleventh, 2037.  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
is Ce cher intrus at IMAX Corporation  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What time is Children of Divorce playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is The Ghost Breakers playing at Plitt Theatres in two hours  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What time is Atlantis, terre engloutie playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time can I watch Son of Rambow Tonight at Fox Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
this chronicle rates a one for First Contact?  [predicted:  GetWeather ; correct:  RateBook ]
Will it get colder by 11 in Jacobsburg. Syria?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
i want to watch The Shamrock Handicap right now  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I would like to rate The Giant Devil Dingo a 4.  [predicted:  BookRestaurant ; correct:  RateBook ]
When's Fools for Luck showing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Belle of the Yukon  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What theater is showing From Paris with Love and when?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch Army at Wanda Group  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Give ma list of films at Harkins Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play the next ep by Video Game Pianist on netflix  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I need to episodes for the TV series, Fast Food Nation.  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Where and when is Polish Economy playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can I get the showtimes for The Man Who Could Talk to Kids?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to go see A Simple Noodle Story in seventeen seconds at Goodrich Quality Theaters.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
show chillier conditions next week in Camp Bird  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What's the weather going to be like near Sawtooth National Recreation Area at 2 pm?  [predicted:  BookRestaurant ; correct:  GetWeather ]
find Un weekend da bamboccioni  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
what are the movietimes for films in the neighbourhood  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Shanghaï Express  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When and where is Invitation to the Waltz playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where is The Penthouse playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time is Showcase Cinemas playing Straight Is the Way  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Show me the Dresden weather forecast.  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Rate The Keys to the White House a zero  [predicted:  BookRestaurant ; correct:  RateBook ]
Where is The Man with a Cross playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I didn't like the book Nobody Lives For Ever, I give it a 2.  [predicted:  BookRestaurant ; correct:  RateBook ]
Where and at what time can I see Paragraphe 78  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time is Between Tears and Smiles playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it snowstorm in Long Lake National Wildlife Refuge  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Need to see Mother Joan of the Angels in one second.  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
What time is Do Sher playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need to hear a thirties soundtrack  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
show weather forcast for MS on jan. the 9th, 2034  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What time is In Old New Mexico showing today?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to play the game Pesterminator: The Western Exterminator.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play Party Anthems  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find A Feather in Her Hat at Magic Johnson Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Put What Color Is Your Sky by Alana Davis on the stereo.  [predicted:  GetWeather ; correct:  PlayMusic ]
I'd like to hear Ami Suzuki's latest record  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find The Colour of the Chameleon  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When can I watch Alice: A True Story at AMC Theatres?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What Howards End cinema is near?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Which cinema is currently showing The Youngest Profession?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Give me the showtime for Bobby Yeah playing at the cinema  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What time is The Daring Dobermans playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
what time is The Graduate showing at Caribbean Cinemas  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find a pub for me in FM  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
show movie schedule of The Big Mouth  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Partners in Action at Dickinson Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Rate The Bell Curve a three.  [predicted:  GetWeather ; correct:  RateBook ]
Find the schedule for Ghost World.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When is The Stain playing at Loews Cineplex?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
in one hour find King of Hearts  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I see Young Goethe in Love?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What films are there being played at Megaplex Theatres?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find the schedule for The Pearl of Cleopatra.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play the album Cara De Dios.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
When is Heat playing near me?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch films anywhere nearby  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I purchase Paradise Tonight online?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What time is Too Young to Marry showing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Give me showtimes for films in the neighbourhood.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play my Black Sabbath: The Dio Years playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What time is Scream of Stone playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find time for Enkitta Mothathe at Pacific Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play the Electrochemical and Solid State Letters song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Rate All That Remains a five  [predicted:  GetWeather ; correct:  RateBook ]
show me the movie Haunted Spooks  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
When can I see Salaam-e-Ishq: A Tribute To Love at B&B Theatres?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you give me weather details for my current spot  [predicted:  RateBook ; correct:  GetWeather ]
Will it get foggy in Spring Hill?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
play the album Winner Takes All by Takuro with Last Fm  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
is One Night Surprise at the cinema  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can you let me know where I can watch The Nest?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
in 17 minutes  will it be foggy in Songimvelo Game Reserve  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Will it be freezing within walking distance of Alaska?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What time is Exploits of a Young Don Juan playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play Disney Sing It! – High School Musical 3: Senior Year  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Show me the movie Black Summer  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
where can i watch Key to the City  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is this film going to be at Malco Theatres?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'm wondering if I can watch Heyy Babyy at a cinema.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where to buy book Charlie Countryman deve morire  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What is Marty Stuart discography  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find me showtimes for How I Unleashed World War II.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is A Master of Craft playing at Wanda Group  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is it humid in Parc national de Killarney  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What time does A King in New York play in Malco Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
what time is The Eddy Duchin Story playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it get chillier in Sinclair in 8 hours  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Search for The Nations  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Use service Vimeo to play music from the artist Mick track Now We Are 5  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where is Priorities on Parade playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find a restaurant in FM that servec quiche  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
i want to watch Mister Cool  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time is A Battle of Wits starting?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
when is Our Story showing next at North American Cinemas  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Give me a list of films at AMC Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
i want to see Return to Yesterday  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
show weather forecast in AS  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
What time is 楽園追放 -Expelled from Paradise-  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Rate A Voyage to Arcturus a 2.  [predicted:  GetWeather ; correct:  RateBook ]
What time will the Amco Entertainment  be plying The Teeth of the Tiger  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
what time can I expect films to start at the Bow Tie Cinemas  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Book a restaurant 1 hour from now in Dorchester Shores Reservation  [predicted:  BookRestaurant ; correct:  GetWeather ]
Where is All Night Long 3 playing 1 hour from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What time is Soul Surfer playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time is The Burning Season playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
