I want to listen to an album from Sibel.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find a reservation for a tea house in Lorain  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Search The Olympic Champ book.  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
put my Family Road Trip playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where the The Housemaid playing and when  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play 30 Greatest Hits  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please look up The Lakes of Canada album.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
the series City on Fire is a four  [predicted:  GetWeather ; correct:  RateBook ]
Rate The Costs of Accidents a three  [predicted:  GetWeather ; correct:  RateBook ]
Book the Bobcat Bite.  [predicted:  GetWeather ; correct:  BookRestaurant ]
give me something from the fifties  [predicted:  GetWeather ; correct:  PlayMusic ]
I'd give A Man Called Ove a 1  [predicted:  BookRestaurant ; correct:  RateBook ]
Is it going to be nice at 6 AM at Chippewa Lake  [predicted:  RateBook ; correct:  GetWeather ]
Can you help me search the album titled PlayMaker Football?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is Race Gurram playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Book a restaurant in Three Points  [predicted:  RateBook ; correct:  BookRestaurant ]
Can you find me the movie, The Girl and the General?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
put Joseph Utsler on All Out 70s  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Let's listen to Matthew Shipp.  [predicted:  GetWeather ; correct:  PlayMusic ]
I'm looking for the Formula One Championship Edition album  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find a movie called Single Collection: Hotchpotch  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What are the Mann Theatres showtimes for Secret Sunshine  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I give The Screaming Staircase a five.  [predicted:  GetWeather ; correct:  RateBook ]
Look for the novel Behind closed doors  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What is the forecast for my current place at 23 o'clock  [predicted:  RateBook ; correct:  GetWeather ]
Look for All That Matters  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to know the temperate from January the twentieth in Brazil  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want to hear my Entre los Andes playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find Long Walk to Forever, a novel  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Rate this book a five  [predicted:  BookRestaurant ; correct:  RateBook ]
Can you find me The Source Family novel?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Will you pull up my Jueves de Antaño playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I have a party of 7 in East Timor  [predicted:  GetWeather ; correct:  BookRestaurant ]
The book Choper, Coffee, Gilson should get a zero  [predicted:  BookRestaurant ; correct:  RateBook ]
Give me the current showtimes for Tarass Boulba.  [predicted:  RateBook ; correct:  SearchScreeningEvent ]
Tell me if it'll be humid at eighteen o'clock in my current spot  [predicted:  RateBook ; correct:  GetWeather ]
Please get me seating at the tavern in Red Lick, Michigan  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
show chillier conditions next week in Camp Bird  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Find the movie Girl on the Trapeze  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
want to eat at Diners of Allentown, Pennsylvania on purim  [predicted:  GetWeather ; correct:  BookRestaurant ]
Is Mentioned in Confidence at the cinema  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can you play a top 5 song by Manos Hadjidakis  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
play Hell House song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want the movie Perseo Miranda and his Theatre  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What will the humidity be in the current spot at 15:19:29?  [predicted:  RateBook ; correct:  GetWeather ]
Play The Great Adventures of Slick Rick game  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to see weather conditions for Ennis.  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Play me a trailer for The North-West Passage  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find the McGill Law Journal movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Look for the movie Darkness Come Alive  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where can I find the movie called Cracking Contraptions?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What is the painting Forever Malcolm Young?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to play the top ten Mickdeth on Google Music  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What time does A King in New York play in Malco Theatres  [predicted:  AddToPlaylist ; correct:  SearchScreeningEvent ]
Play Lukasz Gottwald album on Zvooq  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
At meal time while I'm here will it be hot?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Give me a link to the A Little Something for Us Tempunauts soundtrack.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you find me the novel, Literacy?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Will there be a blizzard at 2 am in my current place  [predicted:  RateBook ; correct:  GetWeather ]
Play Rock This playlist with Badonviller Marsch  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
play the Caps Lock trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
what is the overcast forecast for the current position starting on jul. 19, 2030  [predicted:  RateBook ; correct:  GetWeather ]
what is the weather not far from current position  [predicted:  RateBook ; correct:  GetWeather ]
I want to hear the album Picchio Dal Pozzo from Con Hunley  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Can I get the showtimes for The Kitchen Toto at Cineplex Odeon Corporation.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
this track should go into my playlist called This Is Beethoven  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Play The News Virginian song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play the Discografia de The Pretty Reckless saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What's the forecast for my current spot  [predicted:  RateBook ; correct:  GetWeather ]
Find The Sentimental Bloke novel  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Will there be a storm on Christmas Day in my current place?  [predicted:  RateBook ; correct:  GetWeather ]
Let me hear Wintley Phipps top fifty album.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Is Convoy Busters playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you search City of Scars?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What will it feel like in the current place in July  [predicted:  RateBook ; correct:  GetWeather ]
Find an Oasis Drive-In close-by Beach 105th St.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
please add this song to Madden NFL 16  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Find the Ghostly Swim 2 book  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Check the forecast for the current spot in the future Oct. 19, 2037.  [predicted:  RateBook ; correct:  GetWeather ]
find Journal of the European Economic Association, a movie I want to see  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What time is The Face in the Moonlight showing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please locate Sad Love Story novel for me.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
is there a program about The Last Flight?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Is it going to get hotter in my current position  [predicted:  RateBook ; correct:  GetWeather ]
Lets go to a steakhouse before we go to the pool  [predicted:  PlayMusic ; correct:  BookRestaurant ]
find the novel Playlist: The Very Best of Brad Paisley  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
I'm looking to get a seat at a brasserie in Togo.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Please look up the Utility Directory album.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Belle of the Yukon  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it get chillier in Furano-Ashibetsu Prefectural Natural Park?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Please look up the Around the World in Eighty Days movie.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find the novel Peace Arch News  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to watch the movie Maxime  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find me the novel The Argumentative Indian  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
rate this book a five.  [predicted:  BookRestaurant ; correct:  RateBook ]
Please search for Willy and the Poor Boys song.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Which cinema can I go to to see Lilly the Witch: The Dragon and the Magic Book?  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Is A Master of Craft playing at Wanda Group  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Locate a bakery in Rockport, Federated States Of Micronesia that serves olives  [predicted:  GetWeather ; correct:  BookRestaurant ]
Search for To Heart 2  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Give me showtimes for films in the neighbourhood.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can you search Miracle in the Rain?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
is Las aventuras de Zachary Beaver at Harkins Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
give me the showtimes for Down Where The Buffalo Go at Amco Entertainment  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to read the novel Love Is in Control  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
ad this track by Isobel Campbell to my Folk for Kids list  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I want to listen to the song First Time for Everything  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play Robin Hood Rescuing Three Squires by Bhupinder Singh  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to see the novel An Inquiry into the Good  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Can you get me the Maldeamores saga?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please look up the movie, Fresh Gear.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
show me The Best Of: Volume 1 TV series  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to hear music from 1951, preferably a soundtrack.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want to watch the movie Godslayer  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Will it be warm in the current place next spring  [predicted:  RateBook ; correct:  GetWeather ]
Where is All Night Long 3 playing 1 hour from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Please find the movie, A Jingle with Jillian.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Is there a depression in weather at my current spot  [predicted:  RateBook ; correct:  GetWeather ]
Where to buy book Bright Ambush  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Will there be sun at four PM at Runkaus Strict Nature Reserve  [predicted:  BookRestaurant ; correct:  GetWeather ]
find Endless Horizons  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please find the schedule for Jappeloup at Bow Tie Cinemas.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch All on the Red at 9 o'clock  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
some me a Healthy picture  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Search for The Long Dark  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Un weekend da bamboccioni  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch Demolition Man at 11:09 PM  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please find me The Hanging Valley movie.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Will it be snowy at the current position by March 3?  [predicted:  RateBook ; correct:  GetWeather ]
Play One Way Ticket by Ray Kennedy.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play The Last Mile album  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Can you locate The Crucible of Man: Something Wicked Part 2 novel?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
where is The Yellow Star: The Persecution of the Jews in Europe 1933-45 playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please include Emily Remler in Indie Bluegrass  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Play Keep Their Heads Ringin’  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Put The Silent Enigma album by Yoko Kanno  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Give me some info on when Hands Across the Border will be laying at the cinema.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Find the movie Poison Ivy: The New Seduction  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'd like to watch Broadway Nights at Megaplex Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
what time can i see Mojave Phone Booth  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Get me Kiss the Crystal Flake  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play the Home Is Where the Music Is TV series  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will it be hot in my current location this week?  [predicted:  RateBook ; correct:  GetWeather ]
Plaly The Ladybug Transistor by Loreena Mckennitt.  [predicted:  GetWeather ; correct:  PlayMusic ]
Include Brandon Paris in The MetalSucks Playlist  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Please get seating at Bouchon in Tonga for jimmie and chasity howard  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Is The Missing Clerk playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please look up the song, Twist of shadows.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find the schedule for Brick.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Rate the book An Appeal from the New to the Old Whigs a 0  [predicted:  BookRestaurant ; correct:  RateBook ]
Wish to fins a painting by Ju-On: The Beginning of the End  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find a movie called Greatest Time of Year.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Search for Ayumi Hamasaki Countdown Live 2007–2008 Anniversary song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
In seven hours from now will it rain at my current place  [predicted:  RateBook ; correct:  GetWeather ]
Show me the movie Operetta for the Theatre Organ  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where can I  get Lahore  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find me a movie with the name Oshin  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What's the forecast for my current place at five pm?  [predicted:  RateBook ; correct:  GetWeather ]
Can you get me the All Night Long 3: The Final Chapter novel?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Will it be foggy in 1 hour and 1 minute from now in OK  [predicted:  RateBook ; correct:  GetWeather ]
I want to take my mom and I to the tea house  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Where and at what time can I see Paragraphe 78  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
How cold is it around the current location now?  [predicted:  RateBook ; correct:  GetWeather ]
Is it going to storm in Black Rock Alaska  [predicted:  PlayMusic ; correct:  GetWeather ]
Is the start eim 23 hours twenty one minutes and one second from now for Morgan – A Suitable Case for Treatment at Santikos Theatres  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Ad Amal Hijazi tune to my Pura Vida  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Can you find me the movie The Countess?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
where is My Song Goes Forth playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please search the song Poomadhathe Pennu.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
show me the movie called People and Masks Part 2  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to see the trailer for No One  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Look up Applied Linguistics  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where can I buy the Something Borrowed saga?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to give Gay Male Pornography: An Issue of Sex Discrimination a 1  [predicted:  BookRestaurant ; correct:  RateBook ]
Can you find me the Children of Jerusalem: Yehuda movie?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can i get the showtimes for Man in Blues?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Look for the novel Rings of Steel  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find a movie called The Easy Way to Stop Smoking.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
what is the twenty one o'clock forecast for the current spot  [predicted:  RateBook ; correct:  GetWeather ]
find Blood Moon: Year of the Wolf, a movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Is The Divine Jetta at Marcus Corporation  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Look up Three Fantastic Dances  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where to get saga of A Brush with the Law  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I need Top Gear 2, please search it for me.  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Can you find me The Real McCoy novel?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
where can i watch Wartime Romance in the morning  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to hear the last album from Frank Iero  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find time for The Thirty Nine Steps  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can i see the Boat People?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What will it be like in six PM at the current place  [predicted:  RateBook ; correct:  GetWeather ]
Can you locate the work, Warlock 2: The Exiled?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I need some Hardcore Hip Hop  [predicted:  GetWeather ; correct:  PlayMusic ]
Wish to read the novel called The Wizard of Stone Mountain  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
How snowy will it be in this current place on Feb. first, 2034?  [predicted:  RateBook ; correct:  GetWeather ]
Play some diva house.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Tell me the weather forecast for my current spot 1 minute from now  [predicted:  RateBook ; correct:  GetWeather ]
Looking for the album by the New Zealand Local Government  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Rate the Nova Scotia: New Scottish Speculative Fiction saga a 5  [predicted:  BookRestaurant ; correct:  RateBook ]
what is the weather in current location on december the 23rd, 2027  [predicted:  RateBook ; correct:  GetWeather ]
will the weather be cloudy at 0 PM at my current position  [predicted:  RateBook ; correct:  GetWeather ]
Play me the song Just to See You Smile.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want novena on a nocturn added to the playlist called Gold Edition  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Look for the No Bigger than a Minute soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will it be hotter in my current place in six weeks from now  [predicted:  RateBook ; correct:  GetWeather ]
Play the Stephen Stills album Verge  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
show me the schedule of Dead Snow  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Give The Fox and the Hound a 1  [predicted:  GetWeather ; correct:  RateBook ]
Where and when is Douglas playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please look up the book, The Wacken Carnage.  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Is Amco Entertainment showing Cień Caseya today?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you get me The Education of Little Tree song?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to eat at a bakery with deidre and rosa in Jersey.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Include stefanie in Pre-Party R&B Jams  [predicted:  GetWeather ; correct:  AddToPlaylist ]
I'd like to go to the popular bistro in OH  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Can you get me the Snowman's Land movie?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
put deep purple on this is jennifer lopez  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Can you let me know when Troopers Three is scheduled?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Find me the movie with the title of Twitches  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Please look up the Falls Church News-Press album.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What is the price for the album Praise the Lord and Pass the Ammunition?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play the Hell of a Life movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where can I find Paranormal Activity 3 playing near me 1 hour from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Where can I view the photograph Occasional Wife  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Open Netflix and find a movie with the song heartful  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
I'd like to see showings for All the Way Home at Kerasotes Theatres.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
rate The Ghost House series a one  [predicted:  GetWeather ; correct:  RateBook ]
I want to hear Shooby Taylor's Tearing Up The Album Charts.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
does Red e Toby nemiciamici start thirteen hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Is it chilly anywhere faraway from my current place  [predicted:  RateBook ; correct:  GetWeather ]
find Partners in Action at Dickinson Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
The A Mighty Fortress series should be rated a two  [predicted:  BookRestaurant ; correct:  RateBook ]
Please search for the Drop-In song.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find the schedule for Ghost World.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can ten green bottles be added to brooklyn beat?  [predicted:  GetWeather ; correct:  AddToPlaylist ]
I wanna listen to Electroclash  [predicted:  GetWeather ; correct:  PlayMusic ]
Play a trailer for Give It All  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
I want to hear music on deezer, play the most popular songs by Daisy Berkowitz.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Search for Informix Wingz  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to read the book The Minotaur  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
What time is A Battle of Wits starting?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
can you put The Little Grey Mother Who Waits All Alone into uncharted 4 nathan drake  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Where can I find the novel A Woman in the Web  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Is it humid in my current spot  [predicted:  RateBook ; correct:  GetWeather ]
I'd like to listen to mark rae  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Showtimes for Butterfly on a Wheel.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'm wondering when I can see Hurry Sundown.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you pull up Channel M News  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please look up the Atheist Manifesto: The Case Against Christianity album.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play A Box of Birds trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
When is Beneath the Harvest Sky playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Look for Hail Satanas We Are The Black Legions  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you help me search the Two Row Times show?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'd like to hear music that's popular from Trick-trick on the Slacker service  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Will it be warmer at 2 pm at the Ak-Suu Complex Nature Reserve  [predicted:  BookRestaurant ; correct:  GetWeather ]
find Now and Forever  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to hear Nas's greatest ballad  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Plan an album by Roni Duani.  [predicted:  GetWeather ; correct:  PlayMusic ]
An interesting piece from 1991 please  [predicted:  GetWeather ; correct:  PlayMusic ]
Find time for Enkitta Mothathe at Pacific Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Go to Mick Fleetwood on my Vimeo  [predicted:  GetWeather ; correct:  PlayMusic ]
Tell me the forecast for 6 am in Tatra-Nationalpark  [predicted:  RateBook ; correct:  GetWeather ]
Can you search for Twilight Is Gone?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you get me The Border Patrol song?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Turn on Slacker radio.  [predicted:  GetWeather ; correct:  PlayMusic ]
Please search TV series The Movies.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to hear the last album from Carsten Bohn  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find me the East Asia Image Collection movie.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Will it be hot in New York on october the 1st, 2026?  [predicted:  PlayMusic ; correct:  GetWeather ]
Can you look up the Bireswar album?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
what is the current position forecast for starting on July 22  [predicted:  RateBook ; correct:  GetWeather ]
She me the weather in the current place for nov. the 9th  [predicted:  RateBook ; correct:  GetWeather ]
I want to eat panisses the nearby cafeteria in Naytahwaush  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
What is Love in a Mist?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Looking for a song with the title of Hollywood Star Playhouse  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
rate the book English Grammar In Use a five  [predicted:  BookRestaurant ; correct:  RateBook ]
Show me schedules to see A Film with Me in It.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play the Baldur’s Gate II: Throne of Bhaal saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you get me the Growing Artichokes in Mimongo movie?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where can I see The Somme starting at 16:01:04?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play Miguelito top charting album  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where is The Penthouse playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play an album from 1956 off Spotify.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Look for the movie Songs in the Key of You  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
use Deezer to play top five Moya Brennan  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find the album Blood of Emeralds – The Very Best of Gary Moore Part 2  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
what time can i see Girls to Marry  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play the album alas y raíces by Dave Pybus.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Start playing anything Mike Muir made in the thirties  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
How is the weather far from my current place in 42 weeks?  [predicted:  RateBook ; correct:  GetWeather ]
Please fine me, Ties That Bind.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find Merry Arizona 97: Desert Stars Shine at Christmas  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Will it be freezing close to my current location  [predicted:  RateBook ; correct:  GetWeather ]
