Find me a soundtrack by Ghost Town Prophecy  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
put Sungmin into my summer playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Is Sheikh Chilli playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Play rhythmic  [predicted:  GetWeather ; correct:  PlayMusic ]
play pandora  [predicted:  GetWeather ; correct:  PlayMusic ]
Find The Gill Deacon Show.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
add Embryo to lessie's hands up  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Circle of Iron in the closet cinema  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
play the Ashley Tisdale discography TV show  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find Phalcon.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I am looking for a top-rated restaurant near bougatsa that can feed 3 that is close to Pelham Bay Park  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Rate An Act of Terror 2 stars.  [predicted:  PlayMusic ; correct:  RateBook ]
I want watch The Sun And The Moon  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Mash Confusion  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to listen to the soundtrack And Then There Was Light  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find the Via Dolorosa: Songs of Redemption saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
add Intelligence and Sacrifice to Skatepark Punks  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I want to book a restaurant in Neshanic Station Nigeria for 06:18:13 pm  [predicted:  BookRestaurant ; correct:  GetWeather ]
give 2 stars to Mulligan Stew series  [predicted:  PlayMusic ; correct:  RateBook ]
I want to listen to the soundtrack Bed of Roses  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can I hear the song Visual Audio Sensory Theater?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
where is Wild America showing at zero P.M.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Schedule the food truck to be at your place in the distant future.  [predicted:  GetWeather ; correct:  BookRestaurant ]
show me the movie called People and Masks Part 2  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where is Chips in Crouch  [predicted:  PlayMusic ; correct:  BookRestaurant ]
give The Judas Tree a zero  [predicted:  PlayMusic ; correct:  RateBook ]
Look up Applied Linguistics  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find The Broken  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
rate Eleanor Rigby a 3  [predicted:  PlayMusic ; correct:  RateBook ]
find the Still Life: American Concert 1981 soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Rate The Tritonian Ring zero  [predicted:  PlayMusic ; correct:  RateBook ]
Look for Hail Satanas We Are The Black Legions  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
The Cool World gets 4 points  [predicted:  PlayMusic ; correct:  RateBook ]
find Loved Ones for me  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
When is Barbary Coast playing?  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Find Your Personal Touch.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
book at The Halal Guys on Oct. 17  [predicted:  PlayMusic ; correct:  BookRestaurant ]
I rate Naked in Death a 5  [predicted:  PlayMusic ; correct:  RateBook ]
Add david axelrod to my Futuros Hits list  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Please get me seating at the tavern in Red Lick, Michigan  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Give A Mile Beyond the Moon five points  [predicted:  PlayMusic ; correct:  RateBook ]
Find Fragile Frontiers: The Secret History of Mumbai Terror Attacks.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Asiate restaurant in Sturgeon for 7  [predicted:  PlayMusic ; correct:  BookRestaurant ]
Is Storm Warning playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
find PlayStation官方杂志, a song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Rate The Orchid Thief a five  [predicted:  PlayMusic ; correct:  RateBook ]
Need weather close-by where I am in state of MS  [predicted:  PlayMusic ; correct:  GetWeather ]
Where can I  get Lahore  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find The Prince of Temple Street, a picture  [predicted:  RateBook ; correct:  SearchCreativeWork ]
show Chocolate Rain creativity  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to see Michel Strogoff  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Book the nearby Meriton Grand Hotel Tallinn in Missouri.  [predicted:  PlayMusic ; correct:  BookRestaurant ]
find 16 starting time for Heavenly Body  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Is Fast and Loose playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Show the Sad Songs for Dirty Lovers album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
forecast for Conrad  [predicted:  PlayMusic ; correct:  GetWeather ]
Find Make Your Play  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
book north indian osteria at 12 am  [predicted:  GetWeather ; correct:  BookRestaurant ]
add enduser song in grime instrumentals  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Restaurant near in town uses in two years  [predicted:  PlayMusic ; correct:  BookRestaurant ]
What is Love in a Mist?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
When will WI be temperate?  [predicted:  PlayMusic ; correct:  GetWeather ]
rate The Cry of the Owl a four  [predicted:  PlayMusic ; correct:  RateBook ]
add warpaint in my Pre-Party list  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
find Wild at Heart  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Give The Neon Bible three stars of 6  [predicted:  PlayMusic ; correct:  RateBook ]
Find saga Hamilton C shell  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find Beavis and Butt-head  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play A Box of Birds trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
book in Vermont at The Maisonette  [predicted:  PlayMusic ; correct:  BookRestaurant ]
Weather in Witt october twenty-sixth  [predicted:  PlayMusic ; correct:  GetWeather ]
show painting of Waiting for Snow in Havana  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Play The XYY Man soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
book spot in Lebanon for ten weeks from now  [predicted:  GetWeather ; correct:  BookRestaurant ]
show Texas Review of Entertainment & Sports Law creative song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I need a table in Uruguay in 213 days when it's chillier  [predicted:  BookRestaurant ; correct:  GetWeather ]
play the Graduate Faculty Philosophy Journal album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
rate The Bunce 1 stars  [predicted:  PlayMusic ; correct:  RateBook ]
show Crafty Hands saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Show the Bean and the Boys painting  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What system is Bloodhounds of Broadway the game for?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Show me Dombey and Son movies.  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
rate Licence Renewed a 4  [predicted:  PlayMusic ; correct:  RateBook ]
Find Z Cars.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play The News Virginian song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find the Ghostly Swim 2 book  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Seduced by Madness, a trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Rate Dead Boys a 0  [predicted:  PlayMusic ; correct:  RateBook ]
Where can I get the novel Flesh-Colored Horror  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What is the painting Forever Malcolm Young?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
give Death on the Nile a three  [predicted:  PlayMusic ; correct:  RateBook ]
Is Love, Marilyn playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
I'd like to see Snowball Express  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Add i dreamt of a dragon to my Futuros Hits playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Find Once Upon a Time in the West  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Search for Informix Wingz  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play me a trailer for The North-West Passage  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Show Transformers: The Game  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
read the Background to Danger book  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I see Young Goethe in Love?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Rate The Stars Shine Down 5  [predicted:  PlayMusic ; correct:  RateBook ]
book a irish serving brasserie in AZ  [predicted:  PlayMusic ; correct:  BookRestaurant ]
where is No Sleep til Shanghai showing in three hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Mysterious Castles of Clay  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Book The Electric Banana in Ewen for crystal and brittney.  [predicted:  PlayMusic ; correct:  BookRestaurant ]
rate Over the Edge a three  [predicted:  PlayMusic ; correct:  RateBook ]
Rate The Man Who Sold the Moon a 5.  [predicted:  PlayMusic ; correct:  RateBook ]
find Innocent world  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Show Famous Classic Tales television show  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Rate the Glory Season three stars  [predicted:  PlayMusic ; correct:  RateBook ]
I'm looking for a table of eight at The Alley.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Rate The Gorilla Hunters 0 stars  [predicted:  PlayMusic ; correct:  RateBook ]
Find the movie Splendor in the Grass  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Rate Homicide: A Year on the Killing Streets five stars  [predicted:  PlayMusic ; correct:  RateBook ]
Rate After Capitalism: Economic Democracy in Action a 3  [predicted:  PlayMusic ; correct:  RateBook ]
Find the Now We Are Six saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find Confusion Bay.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Weather in Grey Eagle on Feb. fifteenth, 2034  [predicted:  PlayMusic ; correct:  GetWeather ]
Add nina hagen to essential folk  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
rate Lone Wolf 3 points  [predicted:  PlayMusic ; correct:  RateBook ]
rate Branded Outlaw a four  [predicted:  PlayMusic ; correct:  RateBook ]
Tell me when Howling II: Your Sister Is a Werewolf is playing.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Find me Nights in Harlem  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please give me information on when Prisoner of Zenda will be shown.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Want to eat somewhere cold in the neighboring Antlers region on aug. 22  [predicted:  BookRestaurant ; correct:  GetWeather ]
Find The Photographic Journal.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
add Nana Kitade to my modern psychedelia playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
book a latin cuisine pub for 2 on September the 13th, 2037 in Kazakhstan  [predicted:  PlayMusic ; correct:  BookRestaurant ]
book in Falkland Islands at Atomic Cafe  [predicted:  GetWeather ; correct:  BookRestaurant ]
I give Emile, or On Education five points.  [predicted:  PlayMusic ; correct:  RateBook ]
give Heartland chronicle four points  [predicted:  PlayMusic ; correct:  RateBook ]
find the So This Is Goodbye saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Book the Ballylickey House for 7/16/2027.  [predicted:  PlayMusic ; correct:  BookRestaurant ]
Where can i see Love Me Tonight  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
the next album is only one stars  [predicted:  PlayMusic ; correct:  RateBook ]
Find the Digital Champ: Battle Boxing  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
How to buy picture of Agent Hamilton: But Not If It Concerns Your Daughter  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Show me Half a Life  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
book Bullfeathers  [predicted:  GetWeather ; correct:  BookRestaurant ]
What is the book Sell Your Body?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd say Life in the Iron Mills was a five  [predicted:  SearchCreativeWork ; correct:  RateBook ]
And a body to remember with gets a full 5 stars.  [predicted:  PlayMusic ; correct:  RateBook ]
Locate the Koi to Senkyo to Chocolate television show  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Sailing The Seas Of Cheese  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play the Home Is Where the Music Is TV series  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
show book name Straight No Chase  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find information about the album Flipper City  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
When is Longwave going to be playing?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Is The Kiss playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
find TaskCracker for Outlook, a game  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
rate Of Old Hearts and Swords a 0  [predicted:  PlayMusic ; correct:  RateBook ]
find 300: March to Glory, a song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Rate Merlin Effect a 0  [predicted:  PlayMusic ; correct:  RateBook ]
Where is Priorities on Parade playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Give The Open Society and Its Enemies 5 points.  [predicted:  PlayMusic ; correct:  RateBook ]
Who rated the book Women, Culture, and Society only 3 stars?  [predicted:  PlayMusic ; correct:  RateBook ]
find Black Mirror III: Final Fear  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is My Own True Love playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
find Back to Boomtown: Classic Rats Hits, a soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
weather on september 14 in Crofton Ukraine  [predicted:  PlayMusic ; correct:  GetWeather ]
I rate Vivian Grey three.  [predicted:  PlayMusic ; correct:  RateBook ]
where is Beyblade: Fierce Battle playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Add some martine mccutcheon to my original columbia jazzmasters list  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
find Home Fires  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find The Sentimental Bloke novel  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
painting of Live from the El Rey Theatre  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Book table on the 23 in Illinois at the Maison Parthenais-Perrault II.  [predicted:  PlayMusic ; correct:  BookRestaurant ]
find The Good Wife  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Is The Love Guru playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
find Long Walk to Forever, a novel  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Add best of uetoaya to Wild Country  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
i want to watch The Shamrock Handicap right now  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
show Investigating Sex album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
show More Questions Than Answers trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is Proudly She Marches playing anywhere?  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Rate What Is Called Thinking? 0 stars  [predicted:  PlayMusic ; correct:  RateBook ]
play primus  [predicted:  GetWeather ; correct:  PlayMusic ]
Book a hawaiian diner in South Carolina not far away in 1 second from now.  [predicted:  GetWeather ; correct:  BookRestaurant ]
book a caucasian serving steakhouse for 4 in Saint Pierre and Miquelon  [predicted:  GetWeather ; correct:  BookRestaurant ]
humidity in Netawaka WI  [predicted:  PlayMusic ; correct:  GetWeather ]
show  of From South Africa to South Carolina  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Give Unleashing Nepal zero stars  [predicted:  PlayMusic ; correct:  RateBook ]
4 stars for Three to Get Deadly  [predicted:  PlayMusic ; correct:  RateBook ]
Find Four Songs  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
rate The Open Society and Its Enemies 5 points  [predicted:  PlayMusic ; correct:  RateBook ]
find Blood Moon: Year of the Wolf, a movie  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want television show Come Again Smith  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Jono and Ben  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
When is Spyforce playing?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
show Air Cuan Dubh Drilseach  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find the Carrousel saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Show me the movie Operetta for the Theatre Organ  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find Merry Arizona 97: Desert Stars Shine at Christmas  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Rate Gates of Fire a 2  [predicted:  PlayMusic ; correct:  RateBook ]
Is Love and Other Troubles playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Play The Last Mile album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I rate American History: A Survey a 5  [predicted:  PlayMusic ; correct:  RateBook ]
casey and I will be in Kentucky for food  [predicted:  GetWeather ; correct:  BookRestaurant ]
What is Lost Land of the Tiger  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Award Blood tables 2 points  [predicted:  PlayMusic ; correct:  RateBook ]
book at Beardslee Castle in Fairview Lanes for fifteen o'clock  [predicted:  GetWeather ; correct:  BookRestaurant ]
some me a Healthy picture  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Search for Polish Assault  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
what theaters are showing A Lonely Place to Die – Todesfalle Highlands starting at 14:40  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Add bill evans to the Motivation Mix playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
book Main Deli Steak House on february 13 in Serbia and Montenegro  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play Keep Their Heads Ringin’  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where did the painting Highs in the Mid-Sixties go?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Show me Rapid City Muscle Car.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
book at Tavern on the Green for in 1 minute in CO  [predicted:  GetWeather ; correct:  BookRestaurant ]
show book of Pokémon: The Mastermind of Mirage Pokémon  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
book a Kuwait place at seven am at The Middle East  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
I want to find out when Midnight Club is playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Good Night, and Good Luck at a Cinemark Theatres  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
add Koichi Sugiyama to WHM  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Find The 180.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Rate The Hundred Brothers two stars.  [predicted:  PlayMusic ; correct:  RateBook ]
find Cinemark Theatres with films  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
find A Tale of Two Cities, a painting  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Listen to Dragon Ball: Music Collection  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find Spirit of the Bush.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Add Bashful Brother Oswald to Love Moments  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Add Shangri-La to the African Heat playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
play the Discografia de The Pretty Reckless saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Show me work of Truth and Tolerance  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
When is Robotix playing?  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
table at Nankin Cafe fr one  [predicted:  PlayMusic ; correct:  BookRestaurant ]
find Check In  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Drumline: A New Beat, a picture  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Weather at Norfolk Island  [predicted:  PlayMusic ; correct:  GetWeather ]
What is the AMC Theaters movie schedule?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
book tortano serving brasserie for me, isabella and carly in Kuwait  [predicted:  PlayMusic ; correct:  BookRestaurant ]
Is Winged Victory showing anywhere in one minute?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find The Moldy Peaches  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Was there rainfall last mar. in Greenbrier Egypt?  [predicted:  PlayMusic ; correct:  GetWeather ]
Rate A Voyage to Arcturus a 2.  [predicted:  PlayMusic ; correct:  RateBook ]
find To Each His Own Cinema, an album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where is They Always Return at Dawn playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Show me Heavenly Sword  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What AMC Theaters is The Red Dance playing at?  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
I would like to see The Heart of a Siren in my movie house  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find Five Came Back for me  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
rate Cousin Bette 5 points  [predicted:  PlayMusic ; correct:  RateBook ]
I want to see Train  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
add little musgrave and the lady barnard to ora's Punk Rock Workout playlist  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
find A Pet of the Cairo Zoo  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
When will So Happy Together begin playing?  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
What are them movie times  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
find Wild Solutions, a saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to see The Da Vinci Code  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Rate The Natural a 4  [predicted:  PlayMusic ; correct:  RateBook ]
Bring up the book Perfume: The Story of a Murderer  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Reproductions: Songs of The Human League  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Rate Recovery Road a three  [predicted:  PlayMusic ; correct:  RateBook ]
Book a maharashtrian restaurant please.  [predicted:  PlayMusic ; correct:  BookRestaurant ]
Is Short of Love playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Book restaurnt at N9NE Group in Loogootee UT  [predicted:  PlayMusic ; correct:  BookRestaurant ]
look up Holy Water  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
rate The Stone Key a 5  [predicted:  PlayMusic ; correct:  RateBook ]
restaurant named The Palm in Tennyson MI  [predicted:  PlayMusic ; correct:  BookRestaurant ]
book a gibassier serving tavern in Vermont for nine  [predicted:  PlayMusic ; correct:  BookRestaurant ]
Find Half a Sixpence photograph  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play the Baldur’s Gate II: Throne of Bhaal saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Vegucated starting at zero pm  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Give A Human Being Died That Night 3 stars  [predicted:  PlayMusic ; correct:  RateBook ]
What is the release date for the DVD called Wild Is the Wind?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Weather in Park Layne  [predicted:  PlayMusic ; correct:  GetWeather ]
Rate A Conflict of Visions zero points  [predicted:  PlayMusic ; correct:  RateBook ]
Book Georgetown Cupcake in Keller for tea time.  [predicted:  GetWeather ; correct:  BookRestaurant ]
forecast for Guatemala  [predicted:  PlayMusic ; correct:  GetWeather ]
find Chained Heat  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
book for 8 AM in Massachusetts for 1  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
book in one hour within walking distance of a restaurant downtown  [predicted:  GetWeather ; correct:  BookRestaurant ]
Give The Gates Ajar four stars  [predicted:  PlayMusic ; correct:  RateBook ]
Give 3 points to Son of the Tree  [predicted:  PlayMusic ; correct:  RateBook ]
can you find me a showing for Before the Music Dies in one second ?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Search for Another Cinderella Story  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find Landing on Water.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find Business Ethics: A European Review.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to listen to the song Only the Greatest  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find Conker: Live and Reloaded  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
rate The Sunrise Lands a zero  [predicted:  PlayMusic ; correct:  RateBook ]
Book the Chapter One in Bosnia and Herzegovina for patti, hester richardson and camille  [predicted:  GetWeather ; correct:  BookRestaurant ]
What is Fantasy Zone II: The Tears of Opa-Opa  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
rate Mus of Kerbridge a one  [predicted:  PlayMusic ; correct:  RateBook ]
play the Hell of a Life movie  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
book a stuffed ham serving pizzeria in Independence Corner  [predicted:  PlayMusic ; correct:  BookRestaurant ]
SCORE:  2768 / 3140  ( 0.8815286624203822 )
I want to put a copy of this tune into Skatepark Punks  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
put coming back to life onto winter music  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I'm looking to watch Savage Grace at Showcase Cinemas at thirteen o'clock.  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
What is the local movie schedule  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play Listen To The Mocking Bird by Billy Martin on Youtube  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play Crossroad Blues.  [predicted:  GetWeather ; correct:  PlayMusic ]
Play Remains of the Day  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is Dummy playing at two a.m.?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find the movie Everywhere But Home  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
listen to acapella  [predicted:  GetWeather ; correct:  PlayMusic ]
can you find me a showing for Before the Music Dies in one second ?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When is Sins of the Fathers playing?  [predicted:  RateBook ; correct:  SearchScreeningEvent ]
Show An Actress for the newest album.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play Darude  [predicted:  GetWeather ; correct:  PlayMusic ]
restaurant named The Palm in Tennyson MI  [predicted:  PlayMusic ; correct:  BookRestaurant ]
put live and rare into dancehall official  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
show creative soundtrack Pitch Black Brigade  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Rate The Hard Life 0 stars  [predicted:  PlayMusic ; correct:  RateBook ]
find The Many Loves of Dobie Gillis  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Rate Leap into Darkness 1 points  [predicted:  PlayMusic ; correct:  RateBook ]
add time flies 1994-2009 to the Jazzy Romance playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
TV series for The Thirty Nine Steps?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
