When can I see Journey to the End of the Night?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I would like a table for jacqueline wilson and deanna at David Carpenter House in Uncas FM  [predicted:  GetWeather ; correct:  BookRestaurant ]
Open my acoustic concentration playlist and play an entire album  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Lets go far to The Wolseley in Maine  [predicted:  GetWeather ; correct:  BookRestaurant ]
i want to watch The Shamrock Handicap right now  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to hear that tune from 2010  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I need to book the Beardslee Castle in Albania for me, cassie and lesley  [predicted:  GetWeather ; correct:  BookRestaurant ]
book a spot at Colony  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
book Tartine in Mississippi for 5  [predicted:  RateBook ; correct:  BookRestaurant ]
book a table in California for rita and brenda at Hurley Mountain Inn on january the 11th  [predicted:  GetWeather ; correct:  BookRestaurant ]
find Kebab Connection  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'm looking to watch Savage Grace at Showcase Cinemas at thirteen o'clock.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play some music by Karl Blau.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want to hear the Live At Slane Castle album by Haifa Wehbe  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find Chained Heat  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When will Third Person Singular Number be playing?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play Songs Of Heaven by ami koshimizu  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What will the weather conditions be in Hahntown, Wyoming at 1?  [predicted:  RateBook ; correct:  GetWeather ]
Play Keep Your Right Up song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Careless Love  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find time for All About Hash  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you play Halloween by Ajinoam Nini  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Give me a forecast for Carol City  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Play the album Killer Instinkt  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want to book the Clarke Cooke House in Uzbekistan  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play the album Qr Iii by bobby bare  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Please play me something by New Wave Of American Heavy Metal  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play any song from Rebecca Hewitt  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Let me hear the Rave Tapes album from Yuki Koyanagi.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What time will In the Name of the Son be playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play playlist A Mis Niños de 30  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Can you let me know where I can watch The Nest?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play the Mister Music Man by Gene De Paul.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play my Jazz Brasileiro playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I need a table at The Ledbury at 18 o'clock  [predicted:  GetWeather ; correct:  BookRestaurant ]
Please play music off the soundtrack by Beau Jocque  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play Dave Joyal  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play the song Long Live Love  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find Mysterious Castles of Clay  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can I get the showtimes for Fit for a King?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you send me the weather forecast for Malcom  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want to listen to the album going back to the blue ridge mountains on iheart  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find The Flying Ace  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Book a table at the Montreal Pool Room in North Carolina for 7 AM  [predicted:  GetWeather ; correct:  BookRestaurant ]
Please get seating at Bouchon in Tonga for jimmie and chasity howard  [predicted:  GetWeather ; correct:  BookRestaurant ]
I need to hear the new Kevin Fowler album  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Can you play something off Johan Larsson's Travelers And Thieves  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Can I listen to music from the Easy Listening genre?  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What theater is playing Haunted Honeymoon  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to hear Cry Baby Cry by Ally Kerr.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play March Of The Soviet Tankmen from Gloria Gaither  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
when can i see Dinosaur from the Deep  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play Divine from Vinnie Roslin  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play Julie Driscoll  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find Naomi & Wynonna: Love Can Build a Bridge  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Vegucated starting at zero pm  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play How Does It Work by Helen Carter.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Showtimes for Medal for the General  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play Always Pop Punk.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play Fernando Olvera  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
book a spot that is faraway from the Municipal Borough of Farnworth in 16 minutes  [predicted:  GetWeather ; correct:  BookRestaurant ]
play Dick Marx  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play Is This My World? by Leo Arnaud  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Can you play some music from my road trip album  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find The Broken  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Lets eat at Newport Creamery in Carnot  [predicted:  GetWeather ; correct:  BookRestaurant ]
play songs by Sammy Fain  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
me and my niece want to eat somewhere close by Hopatcong  [predicted:  GetWeather ; correct:  BookRestaurant ]
find Manthra Mothiram at Century Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find a movie theatre with Beware of Bachelors  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play songs by Naomi Schemer  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
how's the weather looking in Pheba  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
find Set the Thames on Fire for seventeen  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to hear a track by Theo Keating.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
play To Be Still  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play songs by Sarah Harding  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find Heat Wave  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play Noche de chicas playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Make me a reservation somewhere near here for me and my step brother by adeline's apartment  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play Harel Skaat  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play songs by Gamble Rogers  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find movie schedules for me  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play primus  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
gwen carter and I want a reservation in the Dominican Republic  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play an album from 1987.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play Who Knows Where The Time Goes? by Grigory Leps  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find start time in 12 seconds for National Bomb  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
want to eat at Diners of Allentown, Pennsylvania on purim  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I'd like to watch Mission to Mir  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find a reservation at Berowra Waters Inn in Australia in 2 years  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play songs by Cheryl Wheeler  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Tell me when Howling II: Your Sister Is a Werewolf is playing.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play Saturday Nights & Sunday Mornings  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play Tomtegubben Som Hade Snuva  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play mere lapsed by Marilyn Moore.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Book the Union Oyster House in Guanica Puerto Rico.  [predicted:  GetWeather ; correct:  BookRestaurant ]
book a spot for tommie and vera rogers in Irvine at 7 AM  [predicted:  GetWeather ; correct:  BookRestaurant ]
Make me a reservation in Cedarburg at 0 pm  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to hear music off my Indie Festival playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play something from my Songs For You, Not Your Parents playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play music off the track Child Maurice  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play music from the artist Joe Sample  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play something by Chris Knight  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play some music by beverley martyn  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play the playlist Feel Good Dinner.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play the Busco Un Pueblo album  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play music from the playlist Late Night Jazz  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play shara worden  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play Llegando a Casa playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Please play an album from 1987  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play Apbl98 by Alden Penner.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play Pledge by Markus Grosskopf  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'd like to hear the last song fro Willa Ford.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
book now in KY at Loveless Cafe  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
give me a list showtimes for The Night of Taneyamagahara  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play something off my New Boots playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
listen to Vertexguy track  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What is the temperature at Eifel National Park  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
my brother in law and I would like to go to Guinea-Bissau for food  [predicted:  GetWeather ; correct:  BookRestaurant ]
Find time for Ace of the Saddle  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
book a spot in Malin KY  [predicted:  GetWeather ; correct:  BookRestaurant ]
play Isham Jones  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play my Mellow Beats playlist please  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find The Bride  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play While The Gate Is Open.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play instrumental pop  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'd like to take a party of five today to a place in Colorado  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play playlist riveting  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find Hear Me Good  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play Red Barchetta by Blind Lemon Jefferson.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Can you book a table for a party of 6 close to DeKalb Av  [predicted:  RateBook ; correct:  BookRestaurant ]
I want to hear some psychedelic rock  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play Kings Of The Wild Frontier by Andrea Bocelli  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Do you have something like Impossible Is Nothing by Abderrahmane Abdelli?  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'm looking to bring shawn, marguerite and della to a place to eat at near Rwanda.  [predicted:  GetWeather ; correct:  BookRestaurant ]
is Terminal Station at Cinemark Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play Step Up Your Game by Marc Cohn.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'd like to see weather conditions for Ennis.  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
book in OH in Gurabo for velma and gloria  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play The Cherry-tree Carol by Edwin Mccain  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
book Tun Tavern for morning in Norfolk Island  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
play Bra Vibrationer by Dean  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'd like to reserve a table in Northcote.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Play Metal Crash Course playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find me a showing of The Vanquished that starts nine hours and 1 second from now.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find a reservation at the Roseland Theater at 10 pm  [predicted:  GetWeather ; correct:  BookRestaurant ]
play Innovations by Kokia  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play Latin Dinner  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play me track September, Gouden Roos by artist daedelus  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find Three in the Attic  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play No More Sorrow  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play the music track of 1998  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play the top 10 by Sankha Chatterjee.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find On Dress Parade  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please play Casino Boogie  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play the song domino by Luca Turilli  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Lets go eat in Friday 43 days from now  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
when can i see We and Our Mountains  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play Maggot Brain by Albano Carrisi  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play Only Hope by Graham Bonnet  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Open this is no te va gustar and add Over the rainbow to it  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Start playing my Disney playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play music from the year 1964  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play the music from the playlist Get Lit  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Is it nice now in Madawaska  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Play Someday Soon by fiona  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play Tanti Auguri A Te from Bruce Gilbert  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play Yuauea by Rick Ross  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
reserve a spotat the food truck twelve weeks from now  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
play drive playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Would like a table right now for leonor mendoza, imogene and lisa sanchez  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
What time does Kraken: Tentacles of the Deep play  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Give me the showtimes for Sign of the Anchor.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play my playlist springtime  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Book me a reestaurant that is close in the country of Cocos Islands  [predicted:  GetWeather ; correct:  BookRestaurant ]
Make me a reservation in South Carolina  [predicted:  GetWeather ; correct:  BookRestaurant ]
play Neutrons  by Seun Kuti  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play tuomas holopainen's The 21 Project.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play some music from Victor Kunonga.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want to hear something from the top-fifty by Jose Pasillas  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Tell me what the weather will look like here at 01:50  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
play Joshua Homme Belle And Sebastian Write About Love  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What is the weather forecast going to be on august 15, 2038 for Hoffman Hills State Recreation Area?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Please play playlist TODO REGGAETON  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play playlist The Realest Down South  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Listen to music from 1975  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Can you tell me what the weather is like at Sam D. Hamilton Noxubee National Wildlife Refuge  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Where is Chips in Crouch  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I'd like to eat at the Original Spanish Kitchen in North Carolina  [predicted:  GetWeather ; correct:  BookRestaurant ]
Book table on the 23 in Illinois at the Maison Parthenais-Perrault II.  [predicted:  GetWeather ; correct:  BookRestaurant ]
find Half a Truth  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Check the weather forecast in seven weeks for Emida.  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Play Tad Kinchla soundtrack  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play Seven Steps To Heaven by Wikluh Sky  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'd like to see Snowball Express  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Book reservations at a restaurant in Olton around supper time  [predicted:  GetWeather ; correct:  BookRestaurant ]
play Tonight Only! by Nastya Kamenskih  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What is Dear Old Girl Cooper Foundation  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play music on the playlist Urban Hits  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I would like reservations made for Masonville, Vermont nov. 7  [predicted:  GetWeather ; correct:  BookRestaurant ]
What are the showtimes for Boy of Mine  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to hear the album Insult To Injury by Narayana Tirtha.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
When will the Blonde Ambition be playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to hear something eclectic  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play my Under The Surface playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play my springtime playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play Donna Summer  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Want a table at Monty’s Hotel, Secunderabad  in the state of Vermont  [predicted:  GetWeather ; correct:  BookRestaurant ]
Book The Electric Banana in Ewen for crystal and brittney.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
is Transcending Fear at Malco Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
in a week  make a reservation for a table of 7 in District Of Columbia  [predicted:  GetWeather ; correct:  BookRestaurant ]
When can I catch a screening of Shivers in Summer?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time will The Age of Success be showing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play the album Have Another Ball  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What time will Where the Breakers Roar be playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to go to the Freight House in Gabon  [predicted:  GetWeather ; correct:  BookRestaurant ]
play The Insoc Ep  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
where can i watch Willy Wonka & the Chocolate Factory  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Listen to Power Gaming playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play rhythmic  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play my Hot 50 playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
play anything from 1970  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play music by artist mark ashley  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play easy listening  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Find me a table for me and my grandkid in Union Square Cafe  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Play the song Drifting On A Reed by Bobby G  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play Latina  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Find a reservation in Deweese for my sister and I  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play Me Against The World from Glukoza  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
can you find me a showing for Before the Music Dies in one second ?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play playlist funtime  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play The Tyranny Of Distance by Willy Mason.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play genre opera  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Will you play my Nuestros 80 playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
book a table at Serendipity 3 in Veyo for now  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Play the Ricky Wilson album Spectral Dusk  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play That Would Be Something by Eden Ahbez  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play Les Pauvres Riches by Pan Mei Chen.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play teri meri by Josh White  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Find a movie schedule for 12 hours from now.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you make a reservation for next year in Modesto for joanna and ella  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play Miami 2017 by Rodney Whitaker  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play Humour  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play Chantal Kreviazuk, Sister Ray  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find a saga with 0 rating called Poems for Midnight  [predicted:  SearchCreativeWork ; correct:  RateBook ]
What are the showtimes for Beware! The Blob at Plitt Theatres?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I would like reservations for Giodi's in Piper AZ.  [predicted:  GetWeather ; correct:  BookRestaurant ]
I need a reservation at The One Eighty for elsa and wendy in Muscle Shoals.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Play music from the playlist Get Your Mind Right  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What are the current showtimes for Love Fiction?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play Chad I Ginsburg  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play my De Camino playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to watch The Utopian Society  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play the album Wayning Moments by Rabbit Brown  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play music on the playlist Electronic Gaming  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find Invisible Child at Southern Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where and when can I see The Image Makers  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When is City of Angels playing?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Book the Slippery Noodle Inn in Gober.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Play playlist Chilled R&B  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Make me a reservation in Colorado at nine am at National Cash Register Building  [predicted:  GetWeather ; correct:  BookRestaurant ]
SCORE:  2839 / 3140  ( 0.904140127388535 )
Give me the forecast for San Pedro River Preserve  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What is the weather forecast in Canfield at 22:23:22  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
tell me the weather for next week at Cathedral State Park  [predicted:  BookRestaurant ; correct:  GetWeather ]
What is the weather forecast going to be on august 15, 2038 for Hoffman Hills State Recreation Area?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What is the forecast here for September 16  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
When is City of Angels playing?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What's the weather here  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
what is the forecast within the same area of Zambia  [predicted:  BookRestaurant ; correct:  GetWeather ]
Where the The Housemaid playing and when  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What will be the forecast for Belarus in the future around sep. the 22nd, 2020?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
what is the forecast starting next week in Guam  [predicted:  BookRestaurant ; correct:  GetWeather ]
Give me the current showtimes for Tarass Boulba.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
what is the weather here  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What's the weather this week in distant Bartholomew's Cobble?  [predicted:  BookRestaurant ; correct:  GetWeather ]
give me a list showtimes for The Night of Taneyamagahara  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is the weather looking like in Prosser on feb. the 18th?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
weather in Bashkirsky Nature Reserve 20 days from now  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Show me a forecast for Malaysia  [predicted:  BookRestaurant ; correct:  GetWeather ]
What is the weather forecast here  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
find Now and Forever  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
How is the weather in Indian Creek Village?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What kind of weather was forecast near Harmony Flats Nature Reserve last march ?  [predicted:  BookRestaurant ; correct:  GetWeather ]
Give me the weather forecast for Somiedo Natural Park  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Play my playlist springtime  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
show weather while Sunset in the same area in South Carolina  [predicted:  BookRestaurant ; correct:  GetWeather ]
At thirteen hundred hours what will the weather be on Ghana?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What is the weather for Cormorant, ME  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
what's the weather going to be like in MI on august twenty-eighth, 2033  [predicted:  BookRestaurant ; correct:  GetWeather ]
What's the weather like in Hamilton City  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Can ten green bottles be added to brooklyn beat?  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Play something off my New Boots playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What aree the weather conditions not far from Poneto  [predicted:  BookRestaurant ; correct:  GetWeather ]
Please give me the weather for Federated States Of Micronesia.  [predicted:  BookRestaurant ; correct:  GetWeather ]
