Play the soundtrack for Back to the Future  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find The Branded Woman  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Now and Forever  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Show me when and where I can see Song of Summer  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Whens the next showing of The Game of Their Lives  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where is Chips in Crouch  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
tell me how Bellwood weather is  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
how's the forecast looking for supper time in Dresbach Vanuatu  [predicted:  BookRestaurant ; correct:  GetWeather ]
book of Two for the Road  [predicted:  RateBook ; correct:  SearchCreativeWork ]
What is the predicted weather on mar. 27 for Farragut State Park?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Play the Knockabout soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like the weather forecast in Gang Mills four years from now.  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Is The Butcher Boy playing anywhere at supper time?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'd like to book a table at Black Horse Tavern in Georgia at 4 am  [predicted:  GetWeather ; correct:  BookRestaurant ]
Show me the Dresden weather forecast.  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What will the weather be on the Keeling Islands on aug. third, 2037?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What is the current selling price of the novel The Sims 3: Island Paradise?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
When and where can I watch National Priority?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to see Forgetting the Girl.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Quiet Night In  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you check the timings for Super Sweet 16: The Movie?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I would like a table for jacqueline wilson and deanna at David Carpenter House in Uncas FM  [predicted:  GetWeather ; correct:  BookRestaurant ]
Book me a reestaurant that is close in the country of Cocos Islands  [predicted:  GetWeather ; correct:  BookRestaurant ]
what movie is at Loews Cineplex Entertainment  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Rate trailer Geek Chic  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Play a trailer for Give It All  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Book The Electric Banana in Ewen for crystal and brittney.  [predicted:  RateBook ; correct:  BookRestaurant ]
What time does the next movie play around here  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please check the weather forecast for Mauritania on August 14, 2040.  [predicted:  BookRestaurant ; correct:  GetWeather ]
Find Captain Kronos - Vampire Hunter.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What was the weather last February in William A. Switzer Provincial Park?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Give me the current showtimes for Tarass Boulba.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
book Tartine in Mississippi for 5  [predicted:  RateBook ; correct:  BookRestaurant ]
I'd like to eat at the Original Spanish Kitchen in North Carolina  [predicted:  GetWeather ; correct:  BookRestaurant ]
Find a place for me to eat in Connecticut for 9 and a half months from now  [predicted:  GetWeather ; correct:  BookRestaurant ]
book me a restaurant in Aransas Pass in seventeen hours  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
find Berlin to the Samba Beat  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play my Éxitos España playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Is Proudly She Marches playing anywhere?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Book table on the 23 in Illinois at the Maison Parthenais-Perrault II.  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
I would like reservations for Giodi's in Piper AZ.  [predicted:  GetWeather ; correct:  BookRestaurant ]
what is the forecast starting three weeks from now for Point Isabel  [predicted:  BookRestaurant ; correct:  GetWeather ]
Find a reservation in Deweese for my sister and I  [predicted:  GetWeather ; correct:  BookRestaurant ]
I'd like to reserve a table in Northcote.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
is there a program about The Last Flight?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play me the song Just to See You Smile.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find the weather prediction for Camdeboo-Nationalpark for jan. eleventh, 2037.  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Who published the novel JamesEdition?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
play Hell House song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like showtimes for The Story of Wish You Were Here.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Search The Olympic Champ book.  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Play my Trabajo Relax playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What's the weather going to be like at 10:21:20 close by ID  [predicted:  BookRestaurant ; correct:  GetWeather ]
What time could I see A Mile in His Shoes?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What are the timings for Starship Troopers 2?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will I Think I Do be playing at 7 PM?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Make me a reservation in Colorado at nine am at National Cash Register Building  [predicted:  GetWeather ; correct:  BookRestaurant ]
I'm looking to bring shawn, marguerite and della to a place to eat at near Rwanda.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Where the The Housemaid playing and when  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please check the weather forecast around 05:54 in Macedonia.  [predicted:  BookRestaurant ; correct:  GetWeather ]
What is the weather forecast in the country of Chile fifteen hours from now  [predicted:  BookRestaurant ; correct:  GetWeather ]
Find Secret Command.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play my Frescura Indie playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What weather is predicted for Loyalhanna?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
play used to love her to my this is animal collective playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Book a restaurant reservation for me and my child for 2 Pm in Faysville  [predicted:  GetWeather ; correct:  BookRestaurant ]
find Lost in Space  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Weather conditions in East Pasadena  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
find The Colour of the Chameleon  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Lets eat at Newport Creamery in Carnot  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to book a restaurant in Neshanic Station Nigeria for 06:18:13 pm  [predicted:  BookRestaurant ; correct:  GetWeather ]
Play Suus to my the funny thing about football is playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
What's the weather forecast for the area neighboring KS this autumn?  [predicted:  BookRestaurant ; correct:  GetWeather ]
I want The Complete Global Albums Collection  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
I need to take three people to eat  [predicted:  RateBook ; correct:  BookRestaurant ]
Let me know when I can watch Actrices.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Andreas Hofer at elevenses  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I find Paranormal Activity 3 playing near me 1 hour from now  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
check the weather for around nine in South Georgia and the South Sandwich Islands  [predicted:  BookRestaurant ; correct:  GetWeather ]
I need to know what the weather will be like in Gradyville at breakfast, in the state of Colorado.  [predicted:  BookRestaurant ; correct:  GetWeather ]
SCORE:  3036 / 3129  ( 0.9702780441035475 )
Play Keep Their Heads Ringin’  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Set the Thames on Fire for seventeen  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please play songs by Lil Jon  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Please look up for Disney Universe.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Half a Truth  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play The New Noise Theology E.P.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Acreative work with the title At the Cafe Bohemia  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Please look for Orion You Came and You Took All My Marbles  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can you please search Ellington at Newport?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
what will be the temperature 1 minute and 8 seconds from now in Green Bottom Wildlife Management Area  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Where can I  get Lahore  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Show me NCAA College Football 2K3  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I am looking for a creative work called Something Warm  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What is the forecasted weather for Ninaview?  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Let me know how the weather will be in Rainelle at night.  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
What's the weather forrecast here in five seconds?  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
what's the weather going tbe twenty three minutes from now in Federico Albert National Reserve  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
find start time in 12 seconds for National Bomb  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Show me a forecast for Malaysia  [predicted:  BookRestaurant ; correct:  GetWeather ]
Play Elizeth Cardoso to my Nothing But A Party R&B playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Show me Happiness Was Free.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Will the weather be okay in Northern Luzon Heroes Hill National Park 4 and a half months from now?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
play Cry Baby Lane  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where is Belgium located  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
What will the weather be nineteen seconds from now from the Little Manatee River State Park  [predicted:  PlayMusic ; correct:  GetWeather ]
Play a trailer for Sencha Touch  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Hear Me Good  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find the work Compiled fragments 1997-2003  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
put my Family Road Trip playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I wanna listen to Electroclash  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Play me the song Aap To Aise Na The.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I need to know what the weather will be like in Gradyville at breakfast, in the state of Colorado.  [predicted:  BookRestaurant ; correct:  GetWeather ]
Show me Dangers of the Canadian Mounted  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Need a reservation close-by East Hanover.  [predicted:  GetWeather ; correct:  BookRestaurant ]
What's the weather going to be like at 10:21:20 close by ID  [predicted:  BookRestaurant ; correct:  GetWeather ]
Play The Last Mile album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Show me The Tivington Nott  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Careless Love  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play me East Side Story  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Open this is no te va gustar and add Over the rainbow to it  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Play the soundtrack for Back to the Future  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
show me Convicted  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play my Trabajo Relax playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
How is the forecast for OK?  [predicted:  BookRestaurant ; correct:  GetWeather ]
Find me the creative work called Guilt by Association Vol. 2  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can you find Fire Escape in the Sky: The Godlike Genius of Scott Walker  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can you play some music by andrew diamond  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
play the song Red Lanta  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What weather is predicted for Loyalhanna?  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
play the song Culture and Psychology  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
How is the weather going to be on child health day in Trinidad and Tobago?  [predicted:  BookRestaurant ; correct:  GetWeather ]
Can you help me find the work, The Sperm?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Open my acoustic concentration playlist and play an entire album  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
find information about the album Flipper City  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Give me the forecast for the weather in Citrus Springs  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
What is the expected weather forecast for Beckley?  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
What will the weather be doing at midnight in Brazil?  [predicted:  BookRestaurant ; correct:  GetWeather ]
What's the weather forecast close by Sligo?  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
What's the weather supposed to be like in Elmer City  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Help me locate The Tristan Betrayal  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Weather within the same area as Qatar at four  [predicted:  BookRestaurant ; correct:  GetWeather ]
What is the release date for the DVD called Wild Is the Wind?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'd like to listen to the song The Natural Farmer  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
I'd like to watch Miss Congeniality  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What is the price for the album Praise the Lord and Pass the Ammunition?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What is forecast in Keyes Summit in New Mexico at 3 pm  [predicted:  BookRestaurant ; correct:  GetWeather ]
Will you pull up my Jueves de Antaño playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What is the weather going to be like on st. patrick's day?  [predicted:  BookRestaurant ; correct:  GetWeather ]
find Heat Wave  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What's the weather forecast for the Northern Mariana Islands on 8/4/2024?  [predicted:  BookRestaurant ; correct:  GetWeather ]
book spot at Candle Cafe  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
What will the weathr be in Akin Jamaica?  [predicted:  BookRestaurant ; correct:  GetWeather ]
Can you search the work, Curiosity Quest?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can you play some music by Abatte Barihun?  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Please search the title The Twilight Saga: Breaking Dawn Part 2.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Will it feel nice here or within the same area  [predicted:  BookRestaurant ; correct:  GetWeather ]
What does it feel like in Connecticut  [predicted:  BookRestaurant ; correct:  GetWeather ]
play Hell House song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
When is Spyforce playing?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to watch Manthan  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'm looking for you to get me Jack of Shadows.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'd like hear the song Sit Down and Talk to Me  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
What's it feel like in North Gulfport  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Book spot at Fried chicken restaurant in Mauritania  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want watch The Sun And The Moon  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
how's the weather here at two Am  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Put The Silent Enigma album by Yoko Kanno  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Can you locate the work, Warlock 2: The Exiled?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play my 70s Smash Hits playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find a work with the name of Come Sing  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play my Romántica playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What is the weather looking like for December the eleventh, 2034 in MD  [predicted:  BookRestaurant ; correct:  GetWeather ]
tell me how Bellwood weather is  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Play my Frescura Indie playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
show weather while Sunset in the same area in South Carolina  [predicted:  BookRestaurant ; correct:  GetWeather ]
Play Rock This playlist with Badonviller Marsch  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I want to hear my Entre los Andes playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Looking for the crative work called In my memory  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find the work I Looked Up  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to hear the soundtrack to The Platinum Rule  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Could you locate the work, All the Times I Cried?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Tell me the forecast in the same area here on Robert E Lee's Birthday  [predicted:  BookRestaurant ; correct:  GetWeather ]
Play The News Virginian song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What was the weather like last may at Altai Tavan Bogd National Park  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What's the weather forecast at sixteen in Oklahoma?  [predicted:  BookRestaurant ; correct:  GetWeather ]
Plan an album by Roni Duani.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play me Memoirs of Modern Love: Curious Age  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
what will the weather be for Hooksett  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
need to book a table in Ludden  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
How's the weather going to be on Jul. 2 in Whiteside  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What is the weather prediction for Acworth, North Korea in six years  [predicted:  BookRestaurant ; correct:  GetWeather ]
weather forecast of Lakebay  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Let's listen to Matthew Shipp.  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
play the song Memories Are My Only Witness  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Tell me the weather forecast in Greensburg  [predicted:  BookRestaurant ; correct:  GetWeather ]
Plaly The Ladybug Transistor by Loreena Mckennitt.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play Live at Leeds  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Book a reservation for a party of 6 at The Waterside Inn  [predicted:  RateBook ; correct:  BookRestaurant ]
I'm looking for the work titled Converging Conspiracies  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I need to see Cristo in India  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Please find Brand New Strings  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where can I read the book The Omega Stone?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Show me the weather forecast for the city of Spencer  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
find Naomi & Wynonna: Love Can Build a Bridge  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play 30 Greatest Hits  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to book a restaurant in Tunisia for nelda, rae and I at 01:55:48 p.m.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Show me The Lord of the Isles  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can i see the Boat People?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find the Digital Champ: Battle Boxing  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
show creative work of Through the Back Door  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where can I buy a hardcover copy of the book The Intangibles of Leadership?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
I want to know the weather in ten weeks from now in John N and Melba S Anderson Memorial Conservation Area  [predicted:  BookRestaurant ; correct:  GetWeather ]
Show me Half a Life  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Please fine me, Ties That Bind.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
put on a Serge Robert track  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Show me work of Truth and Tolerance  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Read The Open Ecology Journal  [predicted:  RateBook ; correct:  SearchCreativeWork ]
i want a table in one week at Glen Arm for esmeralda, andrea and I  [predicted:  GetWeather ; correct:  BookRestaurant ]
Get me Kiss the Crystal Flake  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play me the song Just to See You Smile.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What theater is playing Death Drums Along the River at 5 PM  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Please play me Jerry Lee Lewis's If You Say So track.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to hear something from Post-punk Revival  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
How is weather here?  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Can you give me the weather for here  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Please fine me Worms Clan Wars.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What is the current temperature here  [predicted:  RateBook ; correct:  GetWeather ]
Show weather forecast nearby Elk City State Park  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
When is sunrise for AR  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Where can I find the creative works The Very Best of Simply Red  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Is there any creative work for Heterocycles?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I need a weather update now for Manhattan Project National Historical Park  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Play a trailer for Give It All  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'm looking for a job in Inversion  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Need to find a creative work with the title Sometimes the Blues Is Just a Passing Bird  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
She me the forecast for Clayton Lake State Park on Oct. 17th  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
get me House of Stairs  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where is Winterheart’s Guild  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find the Blood Red Sandman  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Please make a booking at Sonoy in Montague, LA.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can you get me The Education of Little Tree song?  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
I would like to add to my plalist, Visjoner onto the old school metal one  [predicted:  RateBook ; correct:  AddToPlaylist ]
Can you locate West Coast Wrestling Connection  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play music from artist Ashley  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
What's the weather look like for MH  [predicted:  BookRestaurant ; correct:  GetWeather ]
find On Dress Parade  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need Top Gear 2, please search it for me.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
When and where is DistroWatch playing  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
SCORE:  2972 / 3140  ( 0.9464968152866242 )
Find me the creative work called Guilt by Association Vol. 2  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play my Frescura Indie playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
On Jun. the sixteenth, 2032 I'd like to go to Dillard House in Putnam Hall  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
I'm looking to book a reservation in Aruba at a place nearby.  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
Let me know when I can watch Actrices.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Need weather for 1 pm in Russell Gardens or close-by  [predicted:  BookRestaurant ; correct:  GetWeather ]
Can i see the Encounters?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find the Digital Champ: Battle Boxing  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Book reservations at a restaurant in Olton around supper time  [predicted:  GetWeather ; correct:  BookRestaurant ]
book Tun Tavern for morning in Norfolk Island  [predicted:  RateBook ; correct:  BookRestaurant ]
When is sunrise for AR  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
What is the weather forecast going to be on august 15, 2038 for Hoffman Hills State Recreation Area?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Make me a reservation within walking distance in WY for 6 pm  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play music in the genre soundtrack  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play something off Rage Radio  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Can I hear the song Visual Audio Sensory Theater?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I need some Hardcore Hip Hop  [predicted:  GetWeather ; correct:  PlayMusic ]
book sot for me and my grandfather nearby West Reading  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
I want to see Plague Soundscapes  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I am looking for a work called Carry You Home  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play song Softly  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Listen to Dragon Ball: Music Collection  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you get a table at The Triple Door in District Of Columbia for me and deborah vasquez  [predicted:  GetWeather ; correct:  BookRestaurant ]
For my Crossfit playlist add The Soul Sessions Volume 2  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
book a spot in Malin KY  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can you find me the work titled, A Little Curious?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play The Sea Cabinet  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Look for the creative work called White Sugar  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please look up and find me Monty Python Live at the Hollywood Bowl.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play the song Aura II: The Sacred Rings  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
when is sunrise in AMerican Samoa  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Need to find a creative work with the title Sometimes the Blues Is Just a Passing Bird  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What song is Detective Conan: Dimensional Sniper  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want you to add must b 21 to acoustic covers the mash ups.  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
I wanna listen to Electroclash  [predicted:  GetWeather ; correct:  PlayMusic ]
Can you find me the work titled Music for Millions?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please look up for Disney Universe.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to World of Warcraft: Tides of Darkness  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Check the weather forecast in seven weeks for Emida.  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Find a reservation at the Roseland Theater at 10 pm  [predicted:  GetWeather ; correct:  BookRestaurant ]
