onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
como voce me atualiza sobre minha encomenda?  [predicted:  get ; correct:  help ]
Você não é um robô, você é uma bichona  [predicted:  get ; correct:  bad ]
De que vc precisa?  [predicted:  get ; correct:  help ]
Como cadastro?  [predicted:  get ; correct:  help ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
Como você funciona  [predicted:  get ; correct:  help ]
Ótimo!  [predicted:  get ; correct:  ok ]
Quais encomenda você rastreia  [predicted:  get ; correct:  help ]
Posso cadastrar encomendas de outros países?  [predicted:  get ; correct:  help ]
pacote  [predicted:  get ; correct:  add ]
ok  [predicted:  get ; correct:  ok ]
SCORE:  12 / 30  ( 0.4 )
Listar comandos  [predicted:  get ; correct:  help ]
ok  [predicted:  get ; correct:  ok ]
cancelar  [predicted:  help ; correct:  cancel ]
caralho  [predicted:  get ; correct:  bad ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
favor cadastrar o codigo de rastreio  [predicted:  help ; correct:  add ]
cancela  [predicted:  help ; correct:  cancel ]
Tudo bem  [predicted:  help ; correct:  ok ]
Já se moveu?  [predicted:  help ; correct:  get ]
Olá robô  [predicted:  get ; correct:  welcome ]
palavrão você entende né filho da puta  [predicted:  get ; correct:  bad ]
onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
Olá  [predicted:  get ; correct:  welcome ]
para  [predicted:  help ; correct:  cancel ]
Já cadastrou?  [predicted:  help ; correct:  get ]
parar  [predicted:  help ; correct:  cancel ]
Todas  [predicted:  help ; correct:  get ]
gostaria de cadastrar uma encomenda  [predicted:  help ; correct:  add ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
SCORE:  11 / 30  ( 0.36666666666666664 )
como sou notificado sobre minha encomenda?  [predicted:  get ; correct:  help ]
bom dia  [predicted:  get ; correct:  greeting ]
cancelar  [predicted:  help ; correct:  cancel ]
Chega q dia?  [predicted:  help ; correct:  get ]
Como funciona  [predicted:  get ; correct:  help ]
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Tudo bem  [predicted:  help ; correct:  ok ]
como voce me atualiza sobre minha encomenda?  [predicted:  get ; correct:  help ]
Você pode rastrear um objeto para mim?  [predicted:  help ; correct:  get ]
onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
como pode me ajudar  [predicted:  get ; correct:  help ]
caralho  [predicted:  get ; correct:  bad ]
Cadastrar  [predicted:  help ; correct:  add ]
Burro  [predicted:  get ; correct:  bad ]
Você não é um robô, você é uma bichona  [predicted:  help ; correct:  bad ]
cancela  [predicted:  get ; correct:  cancel ]
SCORE:  13 / 30  ( 0.43333333333333335 )
Gostaria de registrar  [predicted:  help ; correct:  add ]
Cadastro  [predicted:  help ; correct:  add ]
Qual seu nome ?  [predicted:  help ; correct:  saymyname ]
quem é você?  [predicted:  help ; correct:  saymyname ]
pacote  [predicted:  help ; correct:  add ]
Entrega  [predicted:  help ; correct:  get ]
Gostaria de registrar uma encomenda  [predicted:  help ; correct:  add ]
Ótimo!  [predicted:  help ; correct:  ok ]
Quero rastrear uma encomenda  [predicted:  help ; correct:  get ]
gostaria de procurar um objeto  [predicted:  help ; correct:  get ]
Quero fazer um rastreamento  [predicted:  help ; correct:  get ]
Qual o seu nome ?  [predicted:  help ; correct:  saymyname ]
oi  [predicted:  help ; correct:  welcome ]
Eu quero cadastrar uma encomenda  [predicted:  help ; correct:  add ]
Até logo  [predicted:  help ; correct:  bye ]
Quero rastrear um pacote  [predicted:  help ; correct:  get ]
Obrigada  [predicted:  get ; correct:  thanks ]
Encomenda  [predicted:  help ; correct:  get ]
Cadastro de código  [predicted:  help ; correct:  add ]
qual a situação da minha encomenda?  [predicted:  help ; correct:  get ]
Obrigado  [predicted:  get ; correct:  thanks ]
Quero cadastrar  [predicted:  help ; correct:  add ]
Até mais  [predicted:  help ; correct:  bye ]
Cadastrar encomenda  [predicted:  help ; correct:  add ]
adicionar um novo pacote  [predicted:  help ; correct:  add ]
SCORE:  5 / 30  ( 0.16666666666666666 )
Como?  [predicted:  get ; correct:  help ]
parar  [predicted:  get ; correct:  cancel ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
Quero cadastrar  [predicted:  get ; correct:  add ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
favor cadastrar o codigo de rastreio  [predicted:  help ; correct:  add ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
adicionar objeto  [predicted:  get ; correct:  add ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
deletar  [predicted:  get ; correct:  delete ]
Eu quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
adicionar  [predicted:  get ; correct:  add ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
Como cadastra?  [predicted:  get ; correct:  help ]
adeus  [predicted:  get ; correct:  bye ]
para  [predicted:  get ; correct:  cancel ]
descadastrar  [predicted:  get ; correct:  delete ]
Gostaria de fazer um cadastro  [predicted:  get ; correct:  add ]
palavrão você entende né filho da puta  [predicted:  get ; correct:  bad ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
gostaria de cadastrar uma encomenda  [predicted:  get ; correct:  add ]
quem é você?  [predicted:  get ; correct:  saymyname ]
SCORE:  8 / 30  ( 0.26666666666666666 )
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
adicionar objeto  [predicted:  get ; correct:  add ]
Até logo  [predicted:  get ; correct:  bye ]
adeus  [predicted:  get ; correct:  bye ]
Remover  [predicted:  get ; correct:  delete ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
Apagar  [predicted:  get ; correct:  delete ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
Até mais  [predicted:  get ; correct:  bye ]
Cadastro  [predicted:  get ; correct:  add ]
Como cadastro?  [predicted:  get ; correct:  help ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
Ajuda  [predicted:  get ; correct:  help ]
Como cadastra?  [predicted:  get ; correct:  help ]
deletar  [predicted:  get ; correct:  delete ]
Retirar  [predicted:  get ; correct:  delete ]
Como?  [predicted:  get ; correct:  help ]
Cadastrar encomenda  [predicted:  get ; correct:  add ]
adicionar  [predicted:  get ; correct:  add ]
Beleza  [predicted:  get ; correct:  ok ]
sai  [predicted:  get ; correct:  cancel ]
descadastrar  [predicted:  get ; correct:  delete ]
Registrar  [predicted:  get ; correct:  add ]
Cadastro de código  [predicted:  get ; correct:  add ]
SCORE:  4 / 30  ( 0.13333333333333333 )
caralho  [predicted:  get ; correct:  bad ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
Já cadastrou?  [predicted:  help ; correct:  get ]
cancelar  [predicted:  get ; correct:  cancel ]
O que você sabe fazer ?  [predicted:  get ; correct:  help ]
cancela  [predicted:  get ; correct:  cancel ]
pacote  [predicted:  get ; correct:  add ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
Informação  [predicted:  get ; correct:  help ]
Ótimo!  [predicted:  get ; correct:  ok ]
Como?  [predicted:  get ; correct:  help ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
Como cadastra?  [predicted:  get ; correct:  help ]
Como cadastro?  [predicted:  get ; correct:  help ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
Eu quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
tchau  [predicted:  get ; correct:  bye ]
sair  [predicted:  get ; correct:  cancel ]
Registrar  [predicted:  get ; correct:  add ]
tenha um bom dia  [predicted:  get ; correct:  greeting ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
SCORE:  7 / 30  ( 0.23333333333333334 )
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Olá robô  [predicted:  get ; correct:  welcome ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
pacote  [predicted:  get ; correct:  add ]
Ótimo!  [predicted:  get ; correct:  ok ]
Gostaria de fazer um cadastro  [predicted:  get ; correct:  add ]
ok  [predicted:  get ; correct:  ok ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
Olá  [predicted:  get ; correct:  welcome ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
Registrar  [predicted:  get ; correct:  add ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
como voce me atualiza sobre minha encomenda?  [predicted:  get ; correct:  help ]
Muito obrigada  [predicted:  get ; correct:  thanks ]
O que você sabe fazer ?  [predicted:  get ; correct:  help ]
Como você funciona  [predicted:  get ; correct:  help ]
como sou notificado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Quais encomenda você rastreia  [predicted:  get ; correct:  help ]
Posso cadastrar encomendas de outros países?  [predicted:  get ; correct:  help ]
SCORE:  10 / 30  ( 0.3333333333333333 )
Obrigado  [predicted:  help ; correct:  thanks ]
Rastrear  [predicted:  help ; correct:  get ]
Código  [predicted:  help ; correct:  get ]
Obrigada  [predicted:  help ; correct:  thanks ]
Gostaria de registrar  [predicted:  help ; correct:  add ]
boa noite  [predicted:  help ; correct:  greeting ]
Entrega  [predicted:  help ; correct:  get ]
Você não é um robô, você é uma bichona  [predicted:  help ; correct:  bad ]
Chega q dia?  [predicted:  help ; correct:  get ]
Quero ver meus produtos  [predicted:  help ; correct:  get ]
Novo  [predicted:  help ; correct:  add ]
Quero rastrear uma encomenda  [predicted:  help ; correct:  get ]
Eu quero cadastrar uma encomenda  [predicted:  help ; correct:  add ]
Gostaria de registrar uma encomenda  [predicted:  help ; correct:  add ]
gostaria de procurar um objeto  [predicted:  help ; correct:  get ]
Você pode rastrear um objeto para mim?  [predicted:  help ; correct:  get ]
Checar minhas encomendas  [predicted:  help ; correct:  get ]
Quero rastrear um pacote  [predicted:  help ; correct:  get ]
Quero fazer um rastreamento  [predicted:  help ; correct:  get ]
Rastrear encomenda  [predicted:  help ; correct:  get ]
Novo pacote  [predicted:  help ; correct:  add ]
oi  [predicted:  help ; correct:  welcome ]
Encomenda  [predicted:  help ; correct:  get ]
Boa tarde então  [predicted:  help ; correct:  greeting ]
boa tarde  [predicted:  help ; correct:  greeting ]
SCORE:  5 / 30  ( 0.16666666666666666 )
Burro  [predicted:  get ; correct:  bad ]
Quero cadastrar  [predicted:  get ; correct:  add ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
bom dia  [predicted:  get ; correct:  greeting ]
Cadastrar  [predicted:  get ; correct:  add ]
Até mais  [predicted:  get ; correct:  bye ]
Até logo  [predicted:  get ; correct:  bye ]
Novo  [predicted:  get ; correct:  add ]
gostaria de cadastrar uma encomenda  [predicted:  help ; correct:  add ]
favor cadastrar o codigo de rastreio  [predicted:  help ; correct:  add ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
Já cadastrou?  [predicted:  help ; correct:  get ]
Beleza  [predicted:  get ; correct:  ok ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
quem é você?  [predicted:  get ; correct:  saymyname ]
Novo pacote  [predicted:  get ; correct:  add ]
Ajuda  [predicted:  get ; correct:  help ]
Apagar  [predicted:  get ; correct:  delete ]
Informação  [predicted:  get ; correct:  help ]
SCORE:  9 / 30  ( 0.3 )
Cadastrar uma nova encomenda  [predicted:  help ; correct:  add ]
Listar comandos  [predicted:  get ; correct:  help ]
Quero cadastrar uma encomenda  [predicted:  help ; correct:  add ]
onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
Quero cadastrar um código de rastreio  [predicted:  help ; correct:  add ]
Como funciona  [predicted:  get ; correct:  help ]
Checar minhas encomendas  [predicted:  help ; correct:  get ]
Código  [predicted:  help ; correct:  get ]
onde está minha encomenda?  [predicted:  help ; correct:  get ]
Onde esta a minha encomenda  [predicted:  help ; correct:  get ]
Já se moveu?  [predicted:  help ; correct:  get ]
Ótimo!  [predicted:  help ; correct:  ok ]
pacote  [predicted:  get ; correct:  add ]
Me ajuda  [predicted:  get ; correct:  help ]
Meus itens  [predicted:  help ; correct:  get ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
cadê  [predicted:  help ; correct:  get ]
Chega q dia?  [predicted:  help ; correct:  get ]
cadê minha encomenda  [predicted:  help ; correct:  get ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  help ; correct:  add ]
Já cadastrou?  [predicted:  help ; correct:  get ]
SCORE:  9 / 30  ( 0.3 )
caralho  [predicted:  get ; correct:  bad ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
adicionar objeto  [predicted:  get ; correct:  add ]
Obrigada  [predicted:  get ; correct:  thanks ]
para  [predicted:  get ; correct:  cancel ]
favor cadastrar o codigo de rastreio  [predicted:  help ; correct:  add ]
adeus  [predicted:  get ; correct:  bye ]
Obrigado  [predicted:  get ; correct:  thanks ]
parar  [predicted:  get ; correct:  cancel ]
Como cadastrar um código  [predicted:  get ; correct:  help ]
cancelar  [predicted:  get ; correct:  cancel ]
adicionar  [predicted:  get ; correct:  add ]
gostaria de cadastrar uma encomenda  [predicted:  get ; correct:  add ]
palavrão você entende né filho da puta  [predicted:  get ; correct:  bad ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Onde aparece esse código de 13 dígitos?  [predicted:  get ; correct:  help ]
deletar  [predicted:  get ; correct:  delete ]
descadastrar  [predicted:  get ; correct:  delete ]
cancela  [predicted:  get ; correct:  cancel ]
oi  [predicted:  get ; correct:  welcome ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
SCORE:  7 / 30  ( 0.23333333333333334 )
Cadastrar  [predicted:  help ; correct:  add ]
qual a situação da minha encomenda?  [predicted:  help ; correct:  get ]
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
palavrão você entende né filho da puta  [predicted:  help ; correct:  bad ]
Já cadastrou?  [predicted:  help ; correct:  get ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  help ; correct:  add ]
Quero cadastrar uma encomenda  [predicted:  help ; correct:  add ]
para  [predicted:  get ; correct:  cancel ]
Obrigada  [predicted:  get ; correct:  thanks ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
Qual o seu nome ?  [predicted:  get ; correct:  saymyname ]
Até logo  [predicted:  help ; correct:  bye ]
Quero ver meus produtos  [predicted:  help ; correct:  get ]
Rastrear encomenda  [predicted:  help ; correct:  get ]
onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
Quero cadastrar um código de rastreio  [predicted:  help ; correct:  add ]
bom dia  [predicted:  get ; correct:  greeting ]
Burro  [predicted:  get ; correct:  bad ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
parar  [predicted:  get ; correct:  cancel ]
Até mais  [predicted:  help ; correct:  bye ]
oi  [predicted:  get ; correct:  welcome ]
Obrigado  [predicted:  get ; correct:  thanks ]
SCORE:  5 / 30  ( 0.16666666666666666 )
favor cadastrar o codigo de rastreio  [predicted:  get ; correct:  add ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
gostaria de cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Qual o seu nome ?  [predicted:  get ; correct:  saymyname ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
Como faço pra cadastrar alguma encomenda?  [predicted:  get ; correct:  help ]
adeus  [predicted:  get ; correct:  bye ]
Como eu faço?  [predicted:  get ; correct:  help ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
boa noite  [predicted:  get ; correct:  greeting ]
Muito obrigada  [predicted:  get ; correct:  thanks ]
Onde aparece esse código de 13 dígitos?  [predicted:  get ; correct:  help ]
adicionar  [predicted:  get ; correct:  add ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
Como?  [predicted:  get ; correct:  help ]
Como cadastra?  [predicted:  get ; correct:  help ]
adicionar objeto  [predicted:  get ; correct:  add ]
boa tarde  [predicted:  get ; correct:  greeting ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
Como funciona  [predicted:  get ; correct:  help ]
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
como pode me ajudar  [predicted:  get ; correct:  help ]
Boa tarde então  [predicted:  get ; correct:  greeting ]
SCORE:  6 / 30  ( 0.2 )
palavrão você entende né filho da puta  [predicted:  help ; correct:  bad ]
Já cadastrou?  [predicted:  help ; correct:  get ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
Lista  [predicted:  help ; correct:  get ]
Gostaria de fazer um cadastro  [predicted:  help ; correct:  add ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
Tudo bem, tchau  [predicted:  help ; correct:  bye ]
Já se moveu?  [predicted:  help ; correct:  get ]
parar  [predicted:  help ; correct:  cancel ]
Gostaria de fazer um rastreamento  [predicted:  help ; correct:  add ]
Visualizar rastreamento  [predicted:  help ; correct:  get ]
Vai tomar no cu  [predicted:  help ; correct:  bad ]
para  [predicted:  help ; correct:  cancel ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
Checar minhas encomendas  [predicted:  help ; correct:  get ]
Chega q dia?  [predicted:  help ; correct:  get ]
Não  [predicted:  help ; correct:  cancel ]
Código  [predicted:  help ; correct:  get ]
SCORE:  10 / 30  ( 0.3333333333333333 )
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Você não é um robô, você é uma bichona  [predicted:  help ; correct:  bad ]
como pode me ajudar  [predicted:  get ; correct:  help ]
caralho  [predicted:  get ; correct:  bad ]
Como funciona  [predicted:  get ; correct:  help ]
onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
cancela  [predicted:  get ; correct:  cancel ]
Como faço pra cadastrar alguma encomenda?  [predicted:  get ; correct:  help ]
cancelar  [predicted:  get ; correct:  cancel ]
Registrar  [predicted:  get ; correct:  add ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
boa noite  [predicted:  get ; correct:  greeting ]
Onde aparece esse código de 13 dígitos?  [predicted:  get ; correct:  help ]
Como eu faço?  [predicted:  get ; correct:  help ]
Muito obrigada  [predicted:  get ; correct:  thanks ]
Informação  [predicted:  get ; correct:  help ]
Você pode me explicar como cadastrar?  [predicted:  get ; correct:  help ]
boa tarde  [predicted:  get ; correct:  greeting ]
Boa tarde então  [predicted:  get ; correct:  greeting ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
SCORE:  10 / 30  ( 0.3333333333333333 )
favor cadastrar o codigo de rastreio  [predicted:  help ; correct:  add ]
gostaria de procurar um objeto  [predicted:  help ; correct:  get ]
Cadastrar uma nova encomenda  [predicted:  help ; correct:  add ]
Cadastrar encomenda  [predicted:  help ; correct:  add ]
Cadastro  [predicted:  help ; correct:  add ]
Posso cadastrar encomendas de outros países?  [predicted:  get ; correct:  help ]
Registrar  [predicted:  help ; correct:  add ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
Novo pacote  [predicted:  get ; correct:  add ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
Chega q dia?  [predicted:  help ; correct:  get ]
gostaria de cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Não  [predicted:  get ; correct:  cancel ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
cadê  [predicted:  help ; correct:  get ]
Cadastro de código  [predicted:  help ; correct:  add ]
Registrar uma encomenda  [predicted:  help ; correct:  add ]
Novo  [predicted:  get ; correct:  add ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
Código  [predicted:  help ; correct:  get ]
Quando ao certo chega minha encomenda?  [predicted:  help ; correct:  get ]
SCORE:  7 / 30  ( 0.23333333333333334 )
boa noite  [predicted:  help ; correct:  greeting ]
descadastrar  [predicted:  help ; correct:  delete ]
Cadastrar  [predicted:  help ; correct:  add ]
Já cadastrou?  [predicted:  help ; correct:  get ]
Vai tomar no cu  [predicted:  help ; correct:  bad ]
Tudo bem, tchau  [predicted:  help ; correct:  bye ]
cadê minha encomenda  [predicted:  help ; correct:  get ]
Quero ver meus produtos  [predicted:  help ; correct:  get ]
Quero registrar uma encomenda  [predicted:  help ; correct:  add ]
Muito obrigado  [predicted:  help ; correct:  thanks ]
Cadastrar uma nova encomenda  [predicted:  help ; correct:  add ]
cadê  [predicted:  help ; correct:  get ]
Onde esta a minha encomenda  [predicted:  help ; correct:  get ]
Boa tarde então  [predicted:  help ; correct:  greeting ]
Burro  [predicted:  get ; correct:  bad ]
Já se moveu?  [predicted:  help ; correct:  get ]
Rastrear encomenda  [predicted:  help ; correct:  get ]
deletar  [predicted:  get ; correct:  delete ]
onde está minha encomenda?  [predicted:  help ; correct:  get ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
Não  [predicted:  help ; correct:  cancel ]
onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
boa tarde  [predicted:  help ; correct:  greeting ]
Visualizar rastreamento  [predicted:  help ; correct:  get ]
bom dia  [predicted:  help ; correct:  greeting ]
SCORE:  5 / 30  ( 0.16666666666666666 )
Obrigada  [predicted:  get ; correct:  thanks ]
caralho  [predicted:  get ; correct:  bad ]
deletar  [predicted:  get ; correct:  delete ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
Obrigado  [predicted:  get ; correct:  thanks ]
cancelar  [predicted:  help ; correct:  cancel ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
Boa tarde então  [predicted:  get ; correct:  greeting ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
oi  [predicted:  get ; correct:  welcome ]
Até logo  [predicted:  get ; correct:  bye ]
Encomenda  [predicted:  help ; correct:  get ]
Eu quero cadastrar uma encomenda  [predicted:  help ; correct:  add ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
Até mais  [predicted:  get ; correct:  bye ]
descadastrar  [predicted:  get ; correct:  delete ]
Cadastrar uma nova encomenda  [predicted:  help ; correct:  add ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
boa tarde  [predicted:  get ; correct:  greeting ]
cancela  [predicted:  get ; correct:  cancel ]
boa noite  [predicted:  get ; correct:  greeting ]
SCORE:  8 / 30  ( 0.26666666666666666 )
Quero cadastrar  [predicted:  get ; correct:  add ]
ok  [predicted:  get ; correct:  ok ]
Vai tomar no cu  [predicted:  help ; correct:  bad ]
Não  [predicted:  get ; correct:  cancel ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
boa noite  [predicted:  get ; correct:  greeting ]
quem é você?  [predicted:  get ; correct:  saymyname ]
Olá  [predicted:  get ; correct:  welcome ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
Como cadastrar um código  [predicted:  get ; correct:  help ]
Posso cadastrar encomendas de outros países?  [predicted:  get ; correct:  help ]
Registrar  [predicted:  get ; correct:  add ]
Novo  [predicted:  get ; correct:  add ]
Quais encomenda você rastreia  [predicted:  get ; correct:  help ]
Boa tarde então  [predicted:  get ; correct:  greeting ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
boa tarde  [predicted:  get ; correct:  greeting ]
Novo pacote  [predicted:  get ; correct:  add ]
Olá robô  [predicted:  get ; correct:  welcome ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
SCORE:  6 / 30  ( 0.2 )
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
Burro  [predicted:  get ; correct:  bad ]
Novo pacote  [predicted:  get ; correct:  add ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
deletar  [predicted:  get ; correct:  delete ]
Até mais  [predicted:  get ; correct:  bye ]
Novo  [predicted:  get ; correct:  add ]
Cadastrar uma nova encomenda  [predicted:  get ; correct:  add ]
Ótimo!  [predicted:  get ; correct:  ok ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
Como cadastro?  [predicted:  get ; correct:  help ]
Como cadastrar um código  [predicted:  get ; correct:  help ]
descadastrar  [predicted:  get ; correct:  delete ]
Cadastrar  [predicted:  get ; correct:  add ]
pacote  [predicted:  get ; correct:  add ]
Até logo  [predicted:  get ; correct:  bye ]
O que você sabe fazer ?  [predicted:  get ; correct:  help ]
Muito obrigada  [predicted:  get ; correct:  thanks ]
bom dia  [predicted:  get ; correct:  greeting ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
SCORE:  6 / 30  ( 0.2 )
Listar comandos  [predicted:  get ; correct:  help ]
Quero fazer um rastreamento  [predicted:  add ; correct:  get ]
caralho  [predicted:  get ; correct:  bad ]
Como funciona  [predicted:  get ; correct:  help ]
onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
Tudo bem, tchau  [predicted:  add ; correct:  bye ]
como pode me ajudar  [predicted:  get ; correct:  help ]
Como faço pra cadastrar alguma encomenda?  [predicted:  get ; correct:  help ]
cancelar  [predicted:  get ; correct:  cancel ]
bom dia  [predicted:  get ; correct:  greeting ]
Você não é um robô, você é uma bichona  [predicted:  help ; correct:  bad ]
Você pode me explicar como cadastrar?  [predicted:  get ; correct:  help ]
Cadastrar  [predicted:  get ; correct:  add ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
Me ajuda  [predicted:  get ; correct:  help ]
Vai tomar no cu  [predicted:  add ; correct:  bad ]
Burro  [predicted:  get ; correct:  bad ]
Como eu faço?  [predicted:  get ; correct:  help ]
cancela  [predicted:  get ; correct:  cancel ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
SCORE:  10 / 30  ( 0.3333333333333333 )
Cadastro  [predicted:  get ; correct:  add ]
ok  [predicted:  get ; correct:  ok ]
sai  [predicted:  get ; correct:  cancel ]
Cadastrar  [predicted:  get ; correct:  add ]
Burro  [predicted:  get ; correct:  bad ]
Cadastro de código  [predicted:  get ; correct:  add ]
Olá robô  [predicted:  get ; correct:  welcome ]
Cadastrar encomenda  [predicted:  get ; correct:  add ]
bom dia  [predicted:  get ; correct:  greeting ]
Como?  [predicted:  get ; correct:  help ]
Você não é um robô, você é uma bichona  [predicted:  get ; correct:  bad ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
Como cadastra?  [predicted:  get ; correct:  help ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
