Vai tomar no cu  [predicted:  get ; correct:  bad ]
quem é você?  [predicted:  help ; correct:  saymyname ]
ok  [predicted:  help ; correct:  ok ]
Olá robô  [predicted:  get ; correct:  welcome ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  help ; correct:  add ]
Quero cadastrar uma encomenda  [predicted:  help ; correct:  add ]
Olá  [predicted:  get ; correct:  welcome ]
oi  [predicted:  get ; correct:  welcome ]
cancelar  [predicted:  help ; correct:  cancel ]
Quero cadastrar um código de rastreio  [predicted:  help ; correct:  add ]
Quero cadastrar  [predicted:  help ; correct:  add ]
Meus itens  [predicted:  help ; correct:  get ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
Tudo bem  [predicted:  help ; correct:  ok ]
Obrigado  [predicted:  get ; correct:  thanks ]
Eu quero cadastrar uma encomenda  [predicted:  help ; correct:  add ]
Me ajuda  [predicted:  get ; correct:  help ]
Obrigada  [predicted:  help ; correct:  thanks ]
cancela  [predicted:  help ; correct:  cancel ]
caralho  [predicted:  help ; correct:  bad ]
SCORE:  11 / 30  ( 0.36666666666666664 )
sair  [predicted:  get ; correct:  cancel ]
cancela  [predicted:  get ; correct:  cancel ]
Quero cadastrar uma encomenda  [predicted:  help ; correct:  add ]
Cadastrar encomenda  [predicted:  help ; correct:  add ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
sai  [predicted:  get ; correct:  cancel ]
caralho  [predicted:  get ; correct:  bad ]
Obrigado  [predicted:  get ; correct:  thanks ]
Quero cadastrar um código de rastreio  [predicted:  help ; correct:  add ]
Remover  [predicted:  get ; correct:  delete ]
Cadastro de código  [predicted:  get ; correct:  add ]
tchau  [predicted:  get ; correct:  bye ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
Você não é um robô, você é uma bichona  [predicted:  help ; correct:  bad ]
cancelar  [predicted:  get ; correct:  cancel ]
Obrigada  [predicted:  get ; correct:  thanks ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
oi  [predicted:  get ; correct:  welcome ]
Retirar  [predicted:  get ; correct:  delete ]
Muito obrigada  [predicted:  get ; correct:  thanks ]
Você pode rastrear um objeto para mim?  [predicted:  help ; correct:  get ]
Registrar  [predicted:  get ; correct:  add ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
tenha um bom dia  [predicted:  get ; correct:  greeting ]
Cadastro  [predicted:  get ; correct:  add ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  help ; correct:  add ]
SCORE:  4 / 30  ( 0.13333333333333333 )
Qual o seu nome ?  [predicted:  get ; correct:  saymyname ]
boa noite  [predicted:  get ; correct:  greeting ]
Listar comandos  [predicted:  get ; correct:  help ]
Me ajuda  [predicted:  get ; correct:  help ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
Tudo bem  [predicted:  help ; correct:  ok ]
palavrão você entende né filho da puta  [predicted:  help ; correct:  bad ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
parar  [predicted:  get ; correct:  cancel ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
boa tarde  [predicted:  get ; correct:  greeting ]
Registrar  [predicted:  get ; correct:  add ]
para  [predicted:  get ; correct:  cancel ]
Onde aparece esse código de 13 dígitos?  [predicted:  get ; correct:  help ]
Cadastrar uma nova encomenda  [predicted:  help ; correct:  add ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
Boa tarde então  [predicted:  get ; correct:  greeting ]
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
SCORE:  12 / 30  ( 0.4 )
Registrar  [predicted:  get ; correct:  add ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
Gostaria de fazer um cadastro  [predicted:  get ; correct:  add ]
Já cadastrou?  [predicted:  help ; correct:  get ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
Rastrear encomenda  [predicted:  help ; correct:  get ]
Me ajuda  [predicted:  get ; correct:  help ]
Rastrear  [predicted:  help ; correct:  get ]
Encomenda  [predicted:  help ; correct:  get ]
Olá  [predicted:  help ; correct:  welcome ]
descadastrar  [predicted:  get ; correct:  delete ]
Já se moveu?  [predicted:  help ; correct:  get ]
Olá robô  [predicted:  get ; correct:  welcome ]
oi  [predicted:  get ; correct:  welcome ]
Obrigada  [predicted:  help ; correct:  thanks ]
Obrigado  [predicted:  get ; correct:  thanks ]
ok  [predicted:  help ; correct:  ok ]
deletar  [predicted:  get ; correct:  delete ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
Eu quero cadastrar uma encomenda  [predicted:  help ; correct:  add ]
SCORE:  9 / 30  ( 0.3 )
sair  [predicted:  get ; correct:  cancel ]
Visualizar rastreamento  [predicted:  help ; correct:  get ]
Muito obrigado  [predicted:  help ; correct:  thanks ]
Quero saber onde minha encomenda está  [predicted:  help ; correct:  get ]
Remover  [predicted:  help ; correct:  delete ]
Muito obrigada  [predicted:  help ; correct:  thanks ]
tenha um bom dia  [predicted:  help ; correct:  greeting ]
Ótimo!  [predicted:  get ; correct:  ok ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
Tudo bem, tchau  [predicted:  help ; correct:  bye ]
Me ajuda  [predicted:  get ; correct:  help ]
Quero cadastrar  [predicted:  help ; correct:  add ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
tchau  [predicted:  help ; correct:  bye ]
quem é você?  [predicted:  help ; correct:  saymyname ]
Não possuo encomenda em trânsito  [predicted:  help ; correct:  cancel ]
pacote  [predicted:  get ; correct:  add ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
Não  [predicted:  help ; correct:  cancel ]
Retirar  [predicted:  help ; correct:  delete ]
Quero saber onde está minha encomenda  [predicted:  help ; correct:  get ]
sai  [predicted:  get ; correct:  cancel ]
SCORE:  7 / 30  ( 0.23333333333333334 )
adeus  [predicted:  get ; correct:  bye ]
Cadastrar uma nova encomenda  [predicted:  help ; correct:  add ]
ok  [predicted:  get ; correct:  ok ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
Obrigada  [predicted:  get ; correct:  thanks ]
O que você sabe fazer ?  [predicted:  get ; correct:  help ]
oi  [predicted:  get ; correct:  welcome ]
cancela  [predicted:  get ; correct:  cancel ]
pacote  [predicted:  get ; correct:  add ]
Olá  [predicted:  get ; correct:  welcome ]
Ótimo!  [predicted:  get ; correct:  ok ]
adicionar  [predicted:  get ; correct:  add ]
De que vc precisa?  [predicted:  get ; correct:  help ]
adicionar objeto  [predicted:  get ; correct:  add ]
cancelar  [predicted:  get ; correct:  cancel ]
Não  [predicted:  get ; correct:  cancel ]
Não possuo encomenda em trânsito  [predicted:  help ; correct:  cancel ]
Obrigado  [predicted:  get ; correct:  thanks ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
caralho  [predicted:  get ; correct:  bad ]
Olá robô  [predicted:  get ; correct:  welcome ]
SCORE:  8 / 30  ( 0.26666666666666666 )
oi  [predicted:  get ; correct:  welcome ]
Como cadastrar um código  [predicted:  add ; correct:  help ]
Como?  [predicted:  get ; correct:  help ]
Como cadastrar um objeto?  [predicted:  add ; correct:  help ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
caralho  [predicted:  get ; correct:  bad ]
Me ajuda  [predicted:  get ; correct:  help ]
Listar comandos  [predicted:  get ; correct:  help ]
Obrigada  [predicted:  get ; correct:  thanks ]
Muito obrigada  [predicted:  get ; correct:  thanks ]
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
cancela  [predicted:  get ; correct:  cancel ]
Obrigado  [predicted:  get ; correct:  thanks ]
Eu quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
como sou notificado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Como cadastra?  [predicted:  get ; correct:  help ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
cancelar  [predicted:  get ; correct:  cancel ]
SCORE:  11 / 30  ( 0.36666666666666664 )
Como cadastrar um código  [predicted:  get ; correct:  help ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
Como eu faço?  [predicted:  get ; correct:  help ]
Até mais  [predicted:  get ; correct:  bye ]
De que vc precisa?  [predicted:  get ; correct:  help ]
Novo pacote  [predicted:  get ; correct:  add ]
Novo  [predicted:  get ; correct:  add ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
pacote  [predicted:  get ; correct:  add ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Listar comandos  [predicted:  get ; correct:  help ]
Você pode me explicar como cadastrar?  [predicted:  get ; correct:  help ]
como pode me ajudar  [predicted:  get ; correct:  help ]
Como funciona  [predicted:  get ; correct:  help ]
Como faço pra cadastrar alguma encomenda?  [predicted:  get ; correct:  help ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
Você não é um robô, você é uma bichona  [predicted:  get ; correct:  bad ]
Ótimo!  [predicted:  get ; correct:  ok ]
Me ajuda  [predicted:  get ; correct:  help ]
O que você sabe fazer ?  [predicted:  get ; correct:  help ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
Até logo  [predicted:  get ; correct:  bye ]
SCORE:  7 / 30  ( 0.23333333333333334 )
Obrigada  [predicted:  get ; correct:  thanks ]
Como cadastro?  [predicted:  get ; correct:  help ]
adicionar  [predicted:  get ; correct:  add ]
Qual o seu nome ?  [predicted:  get ; correct:  saymyname ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
Quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
adicionar objeto  [predicted:  get ; correct:  add ]
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
Obrigado  [predicted:  get ; correct:  thanks ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
oi  [predicted:  get ; correct:  welcome ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  get ; correct:  add ]
Beleza  [predicted:  get ; correct:  ok ]
adeus  [predicted:  get ; correct:  bye ]
Quero cadastrar um código de rastreio  [predicted:  help ; correct:  add ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
Ajuda  [predicted:  get ; correct:  help ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
Apagar  [predicted:  get ; correct:  delete ]
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
SCORE:  7 / 30  ( 0.23333333333333334 )
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
Obrigada  [predicted:  get ; correct:  thanks ]
O que você sabe fazer ?  [predicted:  get ; correct:  help ]
Olá robô  [predicted:  get ; correct:  welcome ]
Cadastrar encomenda  [predicted:  get ; correct:  add ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
Obrigado  [predicted:  get ; correct:  thanks ]
deletar  [predicted:  get ; correct:  delete ]
Como você funciona  [predicted:  get ; correct:  help ]
pacote  [predicted:  get ; correct:  add ]
oi  [predicted:  get ; correct:  welcome ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
Cadastro  [predicted:  get ; correct:  add ]
Registrar  [predicted:  get ; correct:  add ]
Ótimo!  [predicted:  get ; correct:  ok ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Cadastro de código  [predicted:  get ; correct:  add ]
como voce me atualiza sobre minha encomenda?  [predicted:  get ; correct:  help ]
Como eu faço?  [predicted:  get ; correct:  help ]
descadastrar  [predicted:  get ; correct:  delete ]
Como cadastrar um código  [predicted:  get ; correct:  help ]
Olá  [predicted:  get ; correct:  welcome ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
ok  [predicted:  get ; correct:  ok ]
SCORE:  5 / 30  ( 0.16666666666666666 )
Encomenda  [predicted:  help ; correct:  get ]
Eu quero cadastrar uma encomenda  [predicted:  help ; correct:  add ]
Já se moveu?  [predicted:  help ; correct:  get ]
Consultar  [predicted:  help ; correct:  get ]
caralho  [predicted:  help ; correct:  bad ]
Quero ver meus produtos  [predicted:  help ; correct:  get ]
Entrega  [predicted:  help ; correct:  get ]
Lista  [predicted:  help ; correct:  get ]
Chega q dia?  [predicted:  help ; correct:  get ]
Gostaria de registrar  [predicted:  help ; correct:  add ]
Checar minhas encomendas  [predicted:  help ; correct:  get ]
consultar minha encomenda  [predicted:  help ; correct:  get ]
Listar  [predicted:  help ; correct:  get ]
Gostaria de registrar uma encomenda  [predicted:  help ; correct:  add ]
gostaria de procurar um objeto  [predicted:  help ; correct:  get ]
Rastrear  [predicted:  help ; correct:  get ]
Rastrear encomenda  [predicted:  help ; correct:  get ]
cancela  [predicted:  help ; correct:  cancel ]
Obrigada  [predicted:  help ; correct:  thanks ]
Código  [predicted:  help ; correct:  get ]
descadastrar  [predicted:  help ; correct:  delete ]
Já cadastrou?  [predicted:  help ; correct:  get ]
Legal! Mas onde está minha encomenda?  [predicted:  help ; correct:  get ]
oi  [predicted:  help ; correct:  welcome ]
cancelar  [predicted:  help ; correct:  cancel ]
deletar  [predicted:  help ; correct:  delete ]
Obrigado  [predicted:  help ; correct:  thanks ]
SCORE:  3 / 30  ( 0.1 )
bom dia  [predicted:  get ; correct:  greeting ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
adeus  [predicted:  get ; correct:  bye ]
Até logo  [predicted:  get ; correct:  bye ]
Como funciona  [predicted:  get ; correct:  help ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
adicionar objeto  [predicted:  get ; correct:  add ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
Cadastrar  [predicted:  get ; correct:  add ]
Como eu faço?  [predicted:  get ; correct:  help ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
adicionar  [predicted:  get ; correct:  add ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
como pode me ajudar  [predicted:  get ; correct:  help ]
Como faço pra cadastrar alguma encomenda?  [predicted:  get ; correct:  help ]
Burro  [predicted:  get ; correct:  bad ]
Informação  [predicted:  get ; correct:  help ]
Não  [predicted:  get ; correct:  cancel ]
Até mais  [predicted:  get ; correct:  bye ]
SCORE:  4 / 30  ( 0.13333333333333333 )
Apagar  [predicted:  get ; correct:  delete ]
Beleza  [predicted:  get ; correct:  ok ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
Informação  [predicted:  get ; correct:  help ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
descadastrar  [predicted:  get ; correct:  delete ]
Até logo  [predicted:  get ; correct:  bye ]
Olá  [predicted:  get ; correct:  welcome ]
Olá robô  [predicted:  get ; correct:  welcome ]
O que você sabe fazer ?  [predicted:  get ; correct:  help ]
Onde aparece esse código de 13 dígitos?  [predicted:  get ; correct:  help ]
Até mais  [predicted:  get ; correct:  bye ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
como sou notificado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Ótimo!  [predicted:  get ; correct:  ok ]
pacote  [predicted:  get ; correct:  add ]
Obrigada  [predicted:  get ; correct:  thanks ]
oi  [predicted:  get ; correct:  welcome ]
Ajuda  [predicted:  get ; correct:  help ]
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Obrigado  [predicted:  get ; correct:  thanks ]
ok  [predicted:  get ; correct:  ok ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
deletar  [predicted:  get ; correct:  delete ]
SCORE:  5 / 30  ( 0.16666666666666666 )
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
favor cadastrar o codigo de rastreio  [predicted:  help ; correct:  add ]
Obrigada  [predicted:  get ; correct:  thanks ]
Código  [predicted:  help ; correct:  get ]
Muito obrigada  [predicted:  get ; correct:  thanks ]
Obrigado  [predicted:  get ; correct:  thanks ]
Tudo bem  [predicted:  help ; correct:  ok ]
quem é você?  [predicted:  help ; correct:  saymyname ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
oi  [predicted:  get ; correct:  welcome ]
Como funciona  [predicted:  get ; correct:  help ]
gostaria de cadastrar uma encomenda  [predicted:  get ; correct:  add ]
como pode me ajudar  [predicted:  get ; correct:  help ]
Qual o seu nome ?  [predicted:  get ; correct:  saymyname ]
SCORE:  16 / 30  ( 0.5333333333333333 )
cancela  [predicted:  get ; correct:  cancel ]
Gostaria de fazer um cadastro  [predicted:  get ; correct:  add ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  get ; correct:  add ]
Burro  [predicted:  get ; correct:  bad ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
deletar  [predicted:  get ; correct:  delete ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
caralho  [predicted:  get ; correct:  bad ]
Como eu faço?  [predicted:  get ; correct:  help ]
bom dia  [predicted:  get ; correct:  greeting ]
Quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Como cadastro?  [predicted:  get ; correct:  help ]
Cadastrar  [predicted:  get ; correct:  add ]
Cadastro de código  [predicted:  get ; correct:  add ]
descadastrar  [predicted:  get ; correct:  delete ]
cancelar  [predicted:  get ; correct:  cancel ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
Cadastro  [predicted:  get ; correct:  add ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
Cadastrar encomenda  [predicted:  get ; correct:  add ]
Quero cadastrar um código de rastreio  [predicted:  get ; correct:  add ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
SCORE:  6 / 30  ( 0.2 )
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
Cadastrar uma nova encomenda  [predicted:  help ; correct:  add ]
Quero cadastrar uma encomenda  [predicted:  help ; correct:  add ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  help ; correct:  add ]
onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
Cadastrar  [predicted:  help ; correct:  add ]
Quero cadastrar um código de rastreio  [predicted:  help ; correct:  add ]
Eu quero cadastrar uma encomenda  [predicted:  help ; correct:  add ]
Informação  [predicted:  get ; correct:  help ]
bom dia  [predicted:  get ; correct:  greeting ]
Como?  [predicted:  get ; correct:  help ]
Burro  [predicted:  get ; correct:  bad ]
Como cadastra?  [predicted:  get ; correct:  help ]
De que vc precisa?  [predicted:  get ; correct:  help ]
SCORE:  16 / 30  ( 0.5333333333333333 )
Gostaria de retirar  [predicted:  get ; correct:  delete ]
ok  [predicted:  get ; correct:  ok ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
oi  [predicted:  get ; correct:  welcome ]
Obrigada  [predicted:  get ; correct:  thanks ]
gostaria de cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Olá  [predicted:  get ; correct:  welcome ]
De que vc precisa?  [predicted:  get ; correct:  help ]
Olá robô  [predicted:  get ; correct:  welcome ]
Cadastro de código  [predicted:  get ; correct:  add ]
Onde aparece esse código de 13 dígitos?  [predicted:  get ; correct:  help ]
como sou notificado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
favor cadastrar o codigo de rastreio  [predicted:  help ; correct:  add ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Cadastrar encomenda  [predicted:  help ; correct:  add ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
Cadastro  [predicted:  get ; correct:  add ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
Obrigado  [predicted:  get ; correct:  thanks ]
SCORE:  8 / 30  ( 0.26666666666666666 )
Cadastrar encomenda  [predicted:  help ; correct:  add ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  help ; correct:  add ]
pacote  [predicted:  get ; correct:  add ]
Cadastro de código  [predicted:  get ; correct:  add ]
Gostaria de fazer um cadastro  [predicted:  get ; correct:  add ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
Quero cadastrar uma encomenda  [predicted:  help ; correct:  add ]
Cadastro  [predicted:  get ; correct:  add ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
Quero cadastrar um código de rastreio  [predicted:  help ; correct:  add ]
Quero cadastrar  [predicted:  help ; correct:  add ]
Ótimo!  [predicted:  get ; correct:  ok ]
quem é você?  [predicted:  help ; correct:  saymyname ]
SCORE:  13 / 30  ( 0.43333333333333335 )
Tudo bem, tchau  [predicted:  help ; correct:  bye ]
palavrão você entende né filho da puta  [predicted:  help ; correct:  bad ]
Como?  [predicted:  get ; correct:  help ]
para  [predicted:  get ; correct:  cancel ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
Muito obrigada  [predicted:  get ; correct:  thanks ]
Quero cadastrar  [predicted:  help ; correct:  add ]
quem é você?  [predicted:  help ; correct:  saymyname ]
oi  [predicted:  get ; correct:  welcome ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
Obrigada  [predicted:  get ; correct:  thanks ]
Retirar  [predicted:  help ; correct:  delete ]
Registrar  [predicted:  get ; correct:  add ]
adicionar objeto  [predicted:  get ; correct:  add ]
Obrigado  [predicted:  get ; correct:  thanks ]
parar  [predicted:  get ; correct:  cancel ]
adicionar  [predicted:  get ; correct:  add ]
Visualizar rastreamento  [predicted:  help ; correct:  get ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
adeus  [predicted:  get ; correct:  bye ]
sai  [predicted:  get ; correct:  cancel ]
Remover  [predicted:  get ; correct:  delete ]
SCORE:  8 / 30  ( 0.26666666666666666 )
Muito obrigada  [predicted:  get ; correct:  thanks ]
Tudo bem, tchau  [predicted:  help ; correct:  bye ]
palavrão você entende né filho da puta  [predicted:  help ; correct:  bad ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
Tudo bem  [predicted:  help ; correct:  ok ]
consultar minha encomenda  [predicted:  help ; correct:  get ]
Retirar  [predicted:  get ; correct:  delete ]
Remover  [predicted:  get ; correct:  delete ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
sai  [predicted:  get ; correct:  cancel ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
para  [predicted:  get ; correct:  cancel ]
De que vc precisa?  [predicted:  get ; correct:  help ]
parar  [predicted:  get ; correct:  cancel ]
quem é você?  [predicted:  help ; correct:  saymyname ]
Visualizar rastreamento  [predicted:  help ; correct:  get ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
SCORE:  12 / 30  ( 0.4 )
caralho  [predicted:  get ; correct:  bad ]
parar  [predicted:  get ; correct:  cancel ]
Burro  [predicted:  get ; correct:  bad ]
Cadastrar  [predicted:  get ; correct:  add ]
Listar comandos  [predicted:  get ; correct:  help ]
cancelar  [predicted:  get ; correct:  cancel ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
cancela  [predicted:  get ; correct:  cancel ]
pacote  [predicted:  get ; correct:  add ]
Cadastrar uma nova encomenda  [predicted:  get ; correct:  add ]
bom dia  [predicted:  get ; correct:  greeting ]
como pode me ajudar  [predicted:  get ; correct:  help ]
Tudo bem  [predicted:  get ; correct:  ok ]
Como funciona  [predicted:  get ; correct:  help ]
Como cadastrar um código  [predicted:  get ; correct:  help ]
Me ajuda  [predicted:  get ; correct:  help ]
O que você sabe fazer ?  [predicted:  get ; correct:  help ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
palavrão você entende né filho da puta  [predicted:  get ; correct:  bad ]
para  [predicted:  get ; correct:  cancel ]
Como faço pra cadastrar alguma encomenda?  [predicted:  get ; correct:  help ]
Ótimo!  [predicted:  get ; correct:  ok ]
SCORE:  7 / 30  ( 0.23333333333333334 )
parar  [predicted:  get ; correct:  cancel ]
Retirar  [predicted:  get ; correct:  delete ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
caralho  [predicted:  get ; correct:  bad ]
Olá  [predicted:  get ; correct:  welcome ]
cancela  [predicted:  help ; correct:  cancel ]
Gostaria de fazer um cadastro  [predicted:  get ; correct:  add ]
Tudo bem, tchau  [predicted:  help ; correct:  bye ]
ok  [predicted:  help ; correct:  ok ]
cancelar  [predicted:  get ; correct:  cancel ]
Visualizar rastreamento  [predicted:  help ; correct:  get ]
palavrão você entende né filho da puta  [predicted:  help ; correct:  bad ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
sai  [predicted:  get ; correct:  cancel ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
para  [predicted:  get ; correct:  cancel ]
Olá robô  [predicted:  get ; correct:  welcome ]
Remover  [predicted:  get ; correct:  delete ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
SCORE:  11 / 30  ( 0.36666666666666664 )
sai  [predicted:  get ; correct:  cancel ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
Até mais  [predicted:  get ; correct:  bye ]
Cadastrar uma nova encomenda  [predicted:  help ; correct:  add ]
Não  [predicted:  get ; correct:  cancel ]
Não possuo encomenda em trânsito  [predicted:  help ; correct:  cancel ]
Remover  [predicted:  get ; correct:  delete ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
favor cadastrar o codigo de rastreio  [predicted:  help ; correct:  add ]
gostaria de cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Informação  [predicted:  get ; correct:  help ]
Gostaria de fazer um cadastro  [predicted:  get ; correct:  add ]
Até logo  [predicted:  get ; correct:  bye ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
Como eu faço?  [predicted:  get ; correct:  help ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
Retirar  [predicted:  get ; correct:  delete ]
Código  [predicted:  help ; correct:  get ]
SCORE:  8 / 30  ( 0.26666666666666666 )
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
adeus  [predicted:  get ; correct:  bye ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
adicionar  [predicted:  get ; correct:  add ]
