Meus itens  [predicted:  help ; correct:  get ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
boa tarde  [predicted:  get ; correct:  greeting ]
SCORE:  6 / 30  ( 0.2 )
Muito obrigada  [predicted:  help ; correct:  thanks ]
Gostaria de retirar uma encomenda  [predicted:  help ; correct:  delete ]
Checar minhas encomendas  [predicted:  help ; correct:  get ]
Queria saber onde está minha encomenda  [predicted:  help ; correct:  get ]
Quero ver meus produtos  [predicted:  help ; correct:  get ]
Rastrear encomenda  [predicted:  help ; correct:  get ]
Quero cadastrar  [predicted:  help ; correct:  add ]
Obrigado  [predicted:  help ; correct:  thanks ]
oi  [predicted:  help ; correct:  welcome ]
Meus objetos  [predicted:  help ; correct:  get ]
Código  [predicted:  help ; correct:  get ]
Obrigada  [predicted:  help ; correct:  thanks ]
Meus itens  [predicted:  help ; correct:  get ]
Chega q dia?  [predicted:  help ; correct:  get ]
Rastrear  [predicted:  help ; correct:  get ]
Consulta  [predicted:  help ; correct:  get ]
Quando ao certo chega minha encomenda?  [predicted:  help ; correct:  get ]
Gostaria de retirar  [predicted:  help ; correct:  delete ]
quem é você?  [predicted:  help ; correct:  saymyname ]
Minhas encomendas  [predicted:  help ; correct:  get ]
SCORE:  10 / 30  ( 0.3333333333333333 )
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
deletar  [predicted:  get ; correct:  delete ]
Como cadastra?  [predicted:  get ; correct:  help ]
Muito obrigada  [predicted:  get ; correct:  thanks ]
Qual o seu nome ?  [predicted:  get ; correct:  saymyname ]
descadastrar  [predicted:  get ; correct:  delete ]
tenha um bom dia  [predicted:  get ; correct:  greeting ]
como sou notificado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Burro  [predicted:  get ; correct:  bad ]
sair  [predicted:  get ; correct:  cancel ]
Como você funciona  [predicted:  get ; correct:  help ]
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
Registrar  [predicted:  get ; correct:  add ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
tchau  [predicted:  get ; correct:  bye ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
cancela  [predicted:  get ; correct:  cancel ]
bom dia  [predicted:  get ; correct:  greeting ]
como voce me atualiza sobre minha encomenda?  [predicted:  get ; correct:  help ]
Como?  [predicted:  get ; correct:  help ]
caralho  [predicted:  get ; correct:  bad ]
Cadastrar  [predicted:  get ; correct:  add ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
cancelar  [predicted:  get ; correct:  cancel ]
SCORE:  5 / 30  ( 0.16666666666666666 )
Gostaria de registrar  [predicted:  help ; correct:  add ]
Chega q dia?  [predicted:  help ; correct:  get ]
Olá, gostaria de rastrear um objeto  [predicted:  help ; correct:  get ]
Código  [predicted:  help ; correct:  get ]
Onde está  [predicted:  help ; correct:  get ]
consultar minha encomenda  [predicted:  help ; correct:  get ]
Gostaria de registrar uma encomenda  [predicted:  help ; correct:  add ]
quem é você?  [predicted:  help ; correct:  saymyname ]
caralho  [predicted:  help ; correct:  bad ]
Não  [predicted:  help ; correct:  cancel ]
Consultar  [predicted:  help ; correct:  get ]
Quero cadastrar  [predicted:  help ; correct:  add ]
deletar  [predicted:  help ; correct:  delete ]
Não possuo encomenda em trânsito  [predicted:  help ; correct:  cancel ]
cancelar  [predicted:  help ; correct:  cancel ]
Muito obrigado  [predicted:  help ; correct:  thanks ]
Quero ver meus produtos  [predicted:  help ; correct:  get ]
Gostaria de retirar uma encomenda  [predicted:  help ; correct:  delete ]
Checar minhas encomendas  [predicted:  help ; correct:  get ]
gostaria de procurar um objeto  [predicted:  help ; correct:  get ]
Rastrear encomenda  [predicted:  help ; correct:  get ]
Queria saber onde está minha encomenda  [predicted:  help ; correct:  get ]
Gostaria de retirar  [predicted:  help ; correct:  delete ]
Rastrear  [predicted:  help ; correct:  get ]
cancela  [predicted:  help ; correct:  cancel ]
descadastrar  [predicted:  help ; correct:  delete ]
SCORE:  4 / 30  ( 0.13333333333333333 )
Quero ver meus produtos  [predicted:  help ; correct:  get ]
Tudo bem, tchau  [predicted:  help ; correct:  bye ]
Vai tomar no cu  [predicted:  help ; correct:  bad ]
Qual seu nome ?  [predicted:  help ; correct:  saymyname ]
Legal! Mas onde está minha encomenda?  [predicted:  help ; correct:  get ]
Lista  [predicted:  help ; correct:  get ]
Cadastrar uma nova encomenda  [predicted:  help ; correct:  add ]
descadastrar  [predicted:  help ; correct:  delete ]
Visualizar rastreamento  [predicted:  help ; correct:  get ]
Cadastro  [predicted:  help ; correct:  add ]
cadê minha encomenda  [predicted:  help ; correct:  get ]
Qual o seu nome ?  [predicted:  help ; correct:  saymyname ]
Rastrear  [predicted:  help ; correct:  get ]
Listar  [predicted:  help ; correct:  get ]
qual a situação da minha encomenda?  [predicted:  help ; correct:  get ]
Cadastro de código  [predicted:  help ; correct:  add ]
cadê  [predicted:  help ; correct:  get ]
Quando ao certo chega minha encomenda?  [predicted:  help ; correct:  get ]
Já se moveu?  [predicted:  help ; correct:  get ]
Já cadastrou?  [predicted:  help ; correct:  get ]
Meus itens  [predicted:  help ; correct:  get ]
Rastrear encomenda  [predicted:  help ; correct:  get ]
Cadastrar encomenda  [predicted:  help ; correct:  add ]
deletar  [predicted:  help ; correct:  delete ]
SCORE:  6 / 30  ( 0.2 )
Me ajuda  [predicted:  get ; correct:  help ]
Como?  [predicted:  get ; correct:  help ]
Cadastrar  [predicted:  get ; correct:  add ]
Como cadastrar um código  [predicted:  get ; correct:  help ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Burro  [predicted:  get ; correct:  bad ]
Como cadastra?  [predicted:  get ; correct:  help ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
como pode me ajudar  [predicted:  get ; correct:  help ]
Cadastrar uma nova encomenda  [predicted:  get ; correct:  add ]
deletar  [predicted:  get ; correct:  delete ]
Quais encomenda você rastreia  [predicted:  get ; correct:  help ]
gostaria de cadastrar uma encomenda  [predicted:  get ; correct:  add ]
bom dia  [predicted:  get ; correct:  greeting ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
descadastrar  [predicted:  get ; correct:  delete ]
Listar comandos  [predicted:  get ; correct:  help ]
Como funciona  [predicted:  get ; correct:  help ]
Como faço pra cadastrar alguma encomenda?  [predicted:  get ; correct:  help ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
favor cadastrar o codigo de rastreio  [predicted:  get ; correct:  add ]
Posso cadastrar encomendas de outros países?  [predicted:  get ; correct:  help ]
SCORE:  7 / 30  ( 0.23333333333333334 )
Cadastrar uma nova encomenda  [predicted:  get ; correct:  add ]
Tudo bem  [predicted:  get ; correct:  ok ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
adicionar  [predicted:  get ; correct:  add ]
descadastrar  [predicted:  get ; correct:  delete ]
Como você funciona  [predicted:  get ; correct:  help ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
De que vc precisa?  [predicted:  get ; correct:  help ]
Como?  [predicted:  get ; correct:  help ]
adicionar objeto  [predicted:  get ; correct:  add ]
Como cadastro?  [predicted:  get ; correct:  help ]
deletar  [predicted:  get ; correct:  delete ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
como voce me atualiza sobre minha encomenda?  [predicted:  get ; correct:  help ]
Como cadastra?  [predicted:  get ; correct:  help ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
adeus  [predicted:  get ; correct:  bye ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
SCORE:  10 / 30  ( 0.3333333333333333 )
o que eu devo fazer?  [predicted:  get ; correct:  help ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
Novo pacote  [predicted:  get ; correct:  add ]
para  [predicted:  get ; correct:  cancel ]
Me ajuda  [predicted:  get ; correct:  help ]
Retirar  [predicted:  get ; correct:  delete ]
parar  [predicted:  get ; correct:  cancel ]
adicionar  [predicted:  get ; correct:  add ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
Remover  [predicted:  get ; correct:  delete ]
adeus  [predicted:  get ; correct:  bye ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
Listar comandos  [predicted:  get ; correct:  help ]
gostaria de cadastrar uma encomenda  [predicted:  get ; correct:  add ]
sai  [predicted:  get ; correct:  cancel ]
palavrão você entende né filho da puta  [predicted:  get ; correct:  bad ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Novo  [predicted:  get ; correct:  add ]
deletar  [predicted:  get ; correct:  delete ]
descadastrar  [predicted:  get ; correct:  delete ]
favor cadastrar o codigo de rastreio  [predicted:  get ; correct:  add ]
adicionar objeto  [predicted:  get ; correct:  add ]
Como cadastrar um código  [predicted:  get ; correct:  help ]
SCORE:  7 / 30  ( 0.23333333333333334 )
Gostaria de registrar  [predicted:  get ; correct:  add ]
Muito obrigada  [predicted:  get ; correct:  thanks ]
Beleza  [predicted:  get ; correct:  ok ]
Me ajuda  [predicted:  get ; correct:  help ]
Tudo bem  [predicted:  get ; correct:  ok ]
Você pode me explicar como cadastrar?  [predicted:  get ; correct:  help ]
Você não é um robô, você é uma bichona  [predicted:  get ; correct:  bad ]
Como faço pra cadastrar alguma encomenda?  [predicted:  get ; correct:  help ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
como pode me ajudar  [predicted:  get ; correct:  help ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
Obrigada  [predicted:  get ; correct:  thanks ]
Obrigado  [predicted:  get ; correct:  thanks ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
Apagar  [predicted:  get ; correct:  delete ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
Ajuda  [predicted:  get ; correct:  help ]
Como funciona  [predicted:  get ; correct:  help ]
oi  [predicted:  get ; correct:  welcome ]
Listar comandos  [predicted:  get ; correct:  help ]
Como cadastro?  [predicted:  get ; correct:  help ]
SCORE:  7 / 30  ( 0.23333333333333334 )
Tudo bem  [predicted:  get ; correct:  ok ]
oi  [predicted:  get ; correct:  welcome ]
Olá  [predicted:  get ; correct:  welcome ]
Ótimo!  [predicted:  get ; correct:  ok ]
Registrar  [predicted:  get ; correct:  add ]
Olá robô  [predicted:  get ; correct:  welcome ]
Obrigada  [predicted:  get ; correct:  thanks ]
O que você sabe fazer ?  [predicted:  get ; correct:  help ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
Você pode me explicar como cadastrar?  [predicted:  get ; correct:  help ]
Ajuda  [predicted:  get ; correct:  help ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
De que vc precisa?  [predicted:  get ; correct:  help ]
Apagar  [predicted:  get ; correct:  delete ]
Burro  [predicted:  get ; correct:  bad ]
Beleza  [predicted:  get ; correct:  ok ]
Cadastrar  [predicted:  get ; correct:  add ]
ok  [predicted:  get ; correct:  ok ]
bom dia  [predicted:  get ; correct:  greeting ]
Obrigado  [predicted:  get ; correct:  thanks ]
pacote  [predicted:  get ; correct:  add ]
Você não é um robô, você é uma bichona  [predicted:  get ; correct:  bad ]
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
SCORE:  7 / 30  ( 0.23333333333333334 )
Registrar uma encomenda  [predicted:  get ; correct:  add ]
Como funciona  [predicted:  get ; correct:  help ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
Onde aparece esse código de 13 dígitos?  [predicted:  get ; correct:  help ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
adicionar objeto  [predicted:  get ; correct:  add ]
como sou notificado sobre minha encomenda?  [predicted:  get ; correct:  help ]
como pode me ajudar  [predicted:  get ; correct:  help ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
Registrar  [predicted:  get ; correct:  add ]
Como faço pra cadastrar alguma encomenda?  [predicted:  get ; correct:  help ]
Eu quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
adeus  [predicted:  get ; correct:  bye ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
adicionar  [predicted:  get ; correct:  add ]
SCORE:  12 / 30  ( 0.4 )
Cadastro  [predicted:  get ; correct:  add ]
sair  [predicted:  get ; correct:  cancel ]
Como cadastrar um código  [predicted:  get ; correct:  help ]
deletar  [predicted:  get ; correct:  delete ]
tenha um bom dia  [predicted:  get ; correct:  greeting ]
Até logo  [predicted:  get ; correct:  bye ]
Cadastro de código  [predicted:  get ; correct:  add ]
descadastrar  [predicted:  get ; correct:  delete ]
adeus  [predicted:  get ; correct:  bye ]
adicionar objeto  [predicted:  get ; correct:  add ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
Até mais  [predicted:  get ; correct:  bye ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
Quero cadastrar um código de rastreio  [predicted:  get ; correct:  add ]
Quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
tchau  [predicted:  get ; correct:  bye ]
adicionar  [predicted:  get ; correct:  add ]
Me ajuda  [predicted:  get ; correct:  help ]
Tudo bem  [predicted:  get ; correct:  ok ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Cadastrar encomenda  [predicted:  get ; correct:  add ]
Listar comandos  [predicted:  get ; correct:  help ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  get ; correct:  add ]
SCORE:  6 / 30  ( 0.2 )
Gostaria de retirar  [predicted:  get ; correct:  delete ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Não  [predicted:  get ; correct:  cancel ]
Ajuda  [predicted:  get ; correct:  help ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
Como eu faço?  [predicted:  get ; correct:  help ]
gostaria de cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
Ótimo!  [predicted:  get ; correct:  ok ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
Como?  [predicted:  get ; correct:  help ]
como pode me ajudar  [predicted:  get ; correct:  help ]
parar  [predicted:  get ; correct:  cancel ]
para  [predicted:  get ; correct:  cancel ]
Como faço pra cadastrar alguma encomenda?  [predicted:  get ; correct:  help ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
Apagar  [predicted:  get ; correct:  delete ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
O que você sabe fazer ?  [predicted:  get ; correct:  help ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
Beleza  [predicted:  get ; correct:  ok ]
palavrão você entende né filho da puta  [predicted:  get ; correct:  bad ]
pacote  [predicted:  get ; correct:  add ]
favor cadastrar o codigo de rastreio  [predicted:  get ; correct:  add ]
Qual o seu nome ?  [predicted:  get ; correct:  saymyname ]
Como funciona  [predicted:  get ; correct:  help ]
Como cadastra?  [predicted:  get ; correct:  help ]
SCORE:  1 / 30  ( 0.03333333333333333 )
Registrar uma encomenda  [predicted:  get ; correct:  add ]
Informação  [predicted:  get ; correct:  help ]
Obrigado  [predicted:  get ; correct:  thanks ]
como sou notificado sobre minha encomenda?  [predicted:  get ; correct:  help ]
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
boa tarde  [predicted:  get ; correct:  greeting ]
oi  [predicted:  get ; correct:  welcome ]
O que você sabe fazer ?  [predicted:  get ; correct:  help ]
Novo  [predicted:  get ; correct:  add ]
Obrigada  [predicted:  get ; correct:  thanks ]
Você não é um robô, você é uma bichona  [predicted:  get ; correct:  bad ]
Você pode me explicar como cadastrar?  [predicted:  get ; correct:  help ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
Novo pacote  [predicted:  get ; correct:  add ]
Cadastrar encomenda  [predicted:  get ; correct:  add ]
Cadastro  [predicted:  get ; correct:  add ]
boa noite  [predicted:  get ; correct:  greeting ]
Ótimo!  [predicted:  get ; correct:  ok ]
Cadastro de código  [predicted:  get ; correct:  add ]
pacote  [predicted:  get ; correct:  add ]
Boa tarde então  [predicted:  get ; correct:  greeting ]
Registrar  [predicted:  get ; correct:  add ]
SCORE:  7 / 30  ( 0.23333333333333334 )
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
Obrigado  [predicted:  get ; correct:  thanks ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
Como cadastra?  [predicted:  get ; correct:  help ]
Obrigada  [predicted:  get ; correct:  thanks ]
Como?  [predicted:  get ; correct:  help ]
De que vc precisa?  [predicted:  get ; correct:  help ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Não  [predicted:  get ; correct:  cancel ]
Olá  [predicted:  get ; correct:  welcome ]
Olá robô  [predicted:  get ; correct:  welcome ]
onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
Como cadastrar um código  [predicted:  get ; correct:  help ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
ok  [predicted:  get ; correct:  ok ]
Informação  [predicted:  get ; correct:  help ]
oi  [predicted:  get ; correct:  welcome ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
SCORE:  8 / 30  ( 0.26666666666666666 )
Como faço pra cadastrar alguma encomenda?  [predicted:  get ; correct:  help ]
Como funciona  [predicted:  get ; correct:  help ]
como pode me ajudar  [predicted:  get ; correct:  help ]
Quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
palavrão você entende né filho da puta  [predicted:  get ; correct:  bad ]
gostaria de cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Como?  [predicted:  get ; correct:  help ]
favor cadastrar o codigo de rastreio  [predicted:  get ; correct:  add ]
Como cadastra?  [predicted:  get ; correct:  help ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  get ; correct:  add ]
Retirar  [predicted:  get ; correct:  delete ]
Informação  [predicted:  get ; correct:  help ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
Até logo  [predicted:  get ; correct:  bye ]
sai  [predicted:  get ; correct:  cancel ]
parar  [predicted:  get ; correct:  cancel ]
Até mais  [predicted:  get ; correct:  bye ]
para  [predicted:  get ; correct:  cancel ]
Quero cadastrar um código de rastreio  [predicted:  get ; correct:  add ]
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
Não  [predicted:  get ; correct:  cancel ]
Qual o seu nome ?  [predicted:  get ; correct:  saymyname ]
Remover  [predicted:  get ; correct:  delete ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
SCORE:  3 / 30  ( 0.1 )
Como eu faço?  [predicted:  get ; correct:  help ]
Você pode me explicar como cadastrar?  [predicted:  get ; correct:  help ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
Cadastrar encomenda  [predicted:  get ; correct:  add ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Obrigada  [predicted:  get ; correct:  thanks ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
oi  [predicted:  get ; correct:  welcome ]
Cadastro de código  [predicted:  get ; correct:  add ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
Você não é um robô, você é uma bichona  [predicted:  get ; correct:  bad ]
tenha um bom dia  [predicted:  get ; correct:  greeting ]
Novo pacote  [predicted:  get ; correct:  add ]
sair  [predicted:  get ; correct:  cancel ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
cancela  [predicted:  get ; correct:  cancel ]
Gostaria de fazer um cadastro  [predicted:  get ; correct:  add ]
tchau  [predicted:  get ; correct:  bye ]
Obrigado  [predicted:  get ; correct:  thanks ]
Novo  [predicted:  get ; correct:  add ]
Cadastro  [predicted:  get ; correct:  add ]
cancelar  [predicted:  get ; correct:  cancel ]
caralho  [predicted:  get ; correct:  bad ]
Posso cadastrar encomendas de outros países?  [predicted:  get ; correct:  help ]
Quais encomenda você rastreia  [predicted:  get ; correct:  help ]
SCORE:  5 / 30  ( 0.16666666666666666 )
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
adicionar  [predicted:  get ; correct:  add ]
Olá  [predicted:  get ; correct:  welcome ]
Informação  [predicted:  get ; correct:  help ]
oi  [predicted:  get ; correct:  welcome ]
cancelar  [predicted:  get ; correct:  cancel ]
como voce me atualiza sobre minha encomenda?  [predicted:  get ; correct:  help ]
cancela  [predicted:  get ; correct:  cancel ]
Você pode me explicar como cadastrar?  [predicted:  get ; correct:  help ]
Você não é um robô, você é uma bichona  [predicted:  get ; correct:  bad ]
adicionar objeto  [predicted:  get ; correct:  add ]
Não  [predicted:  get ; correct:  cancel ]
caralho  [predicted:  get ; correct:  bad ]
Cadastrar  [predicted:  get ; correct:  add ]
Burro  [predicted:  get ; correct:  bad ]
Como você funciona  [predicted:  get ; correct:  help ]
bom dia  [predicted:  get ; correct:  greeting ]
adeus  [predicted:  get ; correct:  bye ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
Quero cadastrar  [predicted:  get ; correct:  add ]
quem é você?  [predicted:  get ; correct:  saymyname ]
Obrigado  [predicted:  get ; correct:  thanks ]
Olá robô  [predicted:  get ; correct:  welcome ]
Obrigada  [predicted:  get ; correct:  thanks ]
ok  [predicted:  get ; correct:  ok ]
SCORE:  5 / 30  ( 0.16666666666666666 )
Novo pacote  [predicted:  get ; correct:  add ]
Apagar  [predicted:  get ; correct:  delete ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
De que vc precisa?  [predicted:  get ; correct:  help ]
Novo  [predicted:  get ; correct:  add ]
Beleza  [predicted:  get ; correct:  ok ]
como sou notificado sobre minha encomenda?  [predicted:  get ; correct:  help ]
favor cadastrar o codigo de rastreio  [predicted:  get ; correct:  add ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  get ; correct:  add ]
Como eu faço?  [predicted:  get ; correct:  help ]
Cadastro de código  [predicted:  get ; correct:  add ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Listar comandos  [predicted:  get ; correct:  help ]
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Cadastro  [predicted:  get ; correct:  add ]
Me ajuda  [predicted:  get ; correct:  help ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
gostaria de cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Ajuda  [predicted:  get ; correct:  help ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
Cadastrar encomenda  [predicted:  get ; correct:  add ]
Não  [predicted:  get ; correct:  cancel ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
Quero cadastrar um código de rastreio  [predicted:  get ; correct:  add ]
SCORE:  3 / 30  ( 0.1 )
Apagar  [predicted:  get ; correct:  delete ]
Beleza  [predicted:  get ; correct:  ok ]
sair  [predicted:  get ; correct:  cancel ]
Você não é um robô, você é uma bichona  [predicted:  get ; correct:  bad ]
Como?  [predicted:  get ; correct:  help ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
adicionar  [predicted:  get ; correct:  add ]
Como cadastra?  [predicted:  get ; correct:  help ]
Novo  [predicted:  get ; correct:  add ]
O que você sabe fazer ?  [predicted:  get ; correct:  help ]
adicionar objeto  [predicted:  get ; correct:  add ]
tchau  [predicted:  get ; correct:  bye ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
adeus  [predicted:  get ; correct:  bye ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
Novo pacote  [predicted:  get ; correct:  add ]
pacote  [predicted:  get ; correct:  add ]
Ótimo!  [predicted:  get ; correct:  ok ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
Ajuda  [predicted:  get ; correct:  help ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
tenha um bom dia  [predicted:  get ; correct:  greeting ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
Você pode me explicar como cadastrar?  [predicted:  get ; correct:  help ]
SCORE:  5 / 30  ( 0.16666666666666666 )
Lista  [predicted:  help ; correct:  get ]
Tudo bem, tchau  [predicted:  help ; correct:  bye ]
Meus objetos  [predicted:  help ; correct:  get ]
Legal! Mas onde está minha encomenda?  [predicted:  help ; correct:  get ]
qual a situação da minha encomenda?  [predicted:  help ; correct:  get ]
Cadastrar encomenda  [predicted:  help ; correct:  add ]
Chega q dia?  [predicted:  help ; correct:  get ]
Qual seu nome ?  [predicted:  help ; correct:  saymyname ]
Listar  [predicted:  help ; correct:  get ]
Cadastro de código  [predicted:  help ; correct:  add ]
tchau  [predicted:  help ; correct:  bye ]
Qual o seu nome ?  [predicted:  help ; correct:  saymyname ]
Minhas encomendas  [predicted:  help ; correct:  get ]
Código  [predicted:  help ; correct:  get ]
Vai tomar no cu  [predicted:  help ; correct:  bad ]
Checar minhas encomendas  [predicted:  help ; correct:  get ]
Cadastro  [predicted:  help ; correct:  add ]
Consulta  [predicted:  help ; correct:  get ]
tenha um bom dia  [predicted:  help ; correct:  greeting ]
sair  [predicted:  help ; correct:  cancel ]
Visualizar rastreamento  [predicted:  help ; correct:  get ]
Muito obrigada  [predicted:  help ; correct:  thanks ]
SCORE:  8 / 30  ( 0.26666666666666666 )
Como funciona  [predicted:  get ; correct:  help ]
parar  [predicted:  get ; correct:  cancel ]
Como faço pra cadastrar alguma encomenda?  [predicted:  get ; correct:  help ]
Gostaria de fazer um cadastro  [predicted:  get ; correct:  add ]
palavrão você entende né filho da puta  [predicted:  get ; correct:  bad ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
descadastrar  [predicted:  get ; correct:  delete ]
Informação  [predicted:  get ; correct:  help ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
Retirar  [predicted:  get ; correct:  delete ]
sai  [predicted:  get ; correct:  cancel ]
deletar  [predicted:  get ; correct:  delete ]
Listar comandos  [predicted:  get ; correct:  help ]
Como cadastro?  [predicted:  get ; correct:  help ]
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
Me ajuda  [predicted:  get ; correct:  help ]
oi  [predicted:  get ; correct:  welcome ]
Obrigada  [predicted:  get ; correct:  thanks ]
Remover  [predicted:  get ; correct:  delete ]
como pode me ajudar  [predicted:  get ; correct:  help ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
Obrigado  [predicted:  get ; correct:  thanks ]
para  [predicted:  get ; correct:  cancel ]
