b'pacote'  [predicted:  ok ; correct:  add ]
b'Como cadastrar um objeto?'  [predicted:  add ; correct:  help ]
b'ok'  [predicted:  welcome ; correct:  ok ]
b'Entrega'  [predicted:  welcome ; correct:  get ]
b'gostaria de procurar um objeto'  [predicted:  add ; correct:  get ]
b'Remover'  [predicted:  welcome ; correct:  delete ]
TIME:  0.03525495529174805
SCORE:  12 / 30  ( 0.4 )
b'Quero cadastrar uma encomenda, pode ser?'  [predicted:  add ; correct:  add ]
b'onde eu insiro o c\xc3\xb3digo de rastreio?'  [predicted:  add ; correct:  help ]
b'Rastrear'  [predicted:  cancel ; correct:  get ]
b'Quero fazer um rastreamento'  [predicted:  add ; correct:  get ]
b'onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'Chega q dia?'  [predicted:  cancel ; correct:  get ]
b'Ol\xc3\xa1 rob\xc3\xb4'  [predicted:  welcome ; correct:  welcome ]
b'Como cadastrar uma encomenda?'  [predicted:  add ; correct:  help ]
b'Como cadastrar um c\xc3\xb3digo'  [predicted:  help ; correct:  help ]
b'Quero cadastrar um c\xc3\xb3digo de rastreio'  [predicted:  add ; correct:  add ]
b'Como eu fa\xc3\xa7o?'  [predicted:  cancel ; correct:  help ]
b'ok'  [predicted:  cancel ; correct:  ok ]
b'Checar minhas encomendas'  [predicted:  get ; correct:  get ]
b'Quero rastrear uma encomenda'  [predicted:  delete ; correct:  get ]
b'Onde esta a minha encomenda'  [predicted:  help ; correct:  get ]
b'oi'  [predicted:  cancel ; correct:  welcome ]
b'Ol\xc3\xa1'  [predicted:  cancel ; correct:  welcome ]
b'Obrigado'  [predicted:  cancel ; correct:  thanks ]
b'Quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'N\xc3\xa3o'  [predicted:  cancel ; correct:  cancel ]
b'Obrigada'  [predicted:  cancel ; correct:  thanks ]
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  help ; correct:  help ]
b'Quero ver meus produtos'  [predicted:  get ; correct:  get ]
b'Quero rastrear um pacote'  [predicted:  add ; correct:  get ]
b'Muito obrigado'  [predicted:  cancel ; correct:  thanks ]
b'C\xc3\xb3digo'  [predicted:  cancel ; correct:  get ]
b'Rastrear encomenda'  [predicted:  get ; correct:  get ]
b'N\xc3\xa3o possuo encomenda em tr\xc3\xa2nsito'  [predicted:  cancel ; correct:  cancel ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  add ; correct:  help ]
b'Como cadastrar um objeto?'  [predicted:  add ; correct:  help ]
TIME:  0.025435924530029297
SCORE:  12 / 30  ( 0.4 )
b'quem \xc3\xa9 voc\xc3\xaa?'  [predicted:  cancel ; correct:  saymyname ]
b'Informa\xc3\xa7\xc3\xa3o'  [predicted:  cancel ; correct:  help ]
b'Qual seu nome ?'  [predicted:  cancel ; correct:  saymyname ]
b'Ol\xc3\xa1, gostaria de rastrear um objeto'  [predicted:  add ; correct:  get ]
b'Meus objetos'  [predicted:  get ; correct:  get ]
b'cancela'  [predicted:  cancel ; correct:  cancel ]
b'Encomenda'  [predicted:  cancel ; correct:  get ]
b'Eu quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Muito obrigado'  [predicted:  cancel ; correct:  thanks ]
b'Cadastro de c\xc3\xb3digo'  [predicted:  cancel ; correct:  add ]
b'N\xc3\xa3o'  [predicted:  cancel ; correct:  cancel ]
b'Entrega'  [predicted:  cancel ; correct:  get ]
b'Qual o seu nome ?'  [predicted:  cancel ; correct:  saymyname ]
b'J\xc3\xa1 se moveu?'  [predicted:  cancel ; correct:  get ]
b'J\xc3\xa1 cadastrou?'  [predicted:  cancel ; correct:  get ]
b'Quando ao certo chega minha encomenda?'  [predicted:  get ; correct:  get ]
b'cancelar'  [predicted:  cancel ; correct:  cancel ]
b'Onde est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'Onde aparece esse c\xc3\xb3digo de 13 d\xc3\xadgitos?'  [predicted:  add ; correct:  help ]
b'Muito obrigada'  [predicted:  thanks ; correct:  thanks ]
b'caralho'  [predicted:  cancel ; correct:  bad ]
b'Quero cadastrar'  [predicted:  add ; correct:  add ]
b'Posso cadastrar encomendas de outros pa\xc3\xadses?'  [predicted:  help ; correct:  help ]
b'qual a situa\xc3\xa7\xc3\xa3o da minha encomenda?'  [predicted:  get ; correct:  get ]
b'Cadastrar encomenda'  [predicted:  cancel ; correct:  add ]
b'Minhas encomendas'  [predicted:  get ; correct:  get ]
b'Queria saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'Quais encomenda voc\xc3\xaa rastreia'  [predicted:  help ; correct:  help ]
b'Cadastro'  [predicted:  cancel ; correct:  add ]
b'N\xc3\xa3o possuo encomenda em tr\xc3\xa2nsito'  [predicted:  cancel ; correct:  cancel ]
TIME:  0.023926973342895508
SCORE:  15 / 30  ( 0.5 )
b'Como funciona'  [predicted:  help ; correct:  help ]
b'como pode me ajudar'  [predicted:  help ; correct:  help ]
b'Como cadastro minha encomenda?'  [predicted:  get ; correct:  help ]
b'Voc\xc3\xaa pode rastrear um objeto para mim?'  [predicted:  add ; correct:  get ]
b'sai'  [predicted:  delete ; correct:  cancel ]
b'Como cadastro?'  [predicted:  delete ; correct:  help ]
b'Gostaria de retirar uma encomenda'  [predicted:  add ; correct:  delete ]
b'Qual o seu nome ?'  [predicted:  saymyname ; correct:  saymyname ]
b'Como cadastro uma encomenda?'  [predicted:  add ; correct:  help ]
b'Registrar'  [predicted:  delete ; correct:  add ]
b'Retirar'  [predicted:  delete ; correct:  delete ]
b'Novo'  [predicted:  delete ; correct:  add ]
b'Voc\xc3\xaa n\xc3\xa3o \xc3\xa9 um rob\xc3\xb4, voc\xc3\xaa \xc3\xa9 uma bichona'  [predicted:  delete ; correct:  bad ]
b'Novo pacote'  [predicted:  add ; correct:  add ]
b'deletar'  [predicted:  delete ; correct:  delete ]
b'Remover'  [predicted:  delete ; correct:  delete ]
b'qual a situa\xc3\xa7\xc3\xa3o da minha encomenda?'  [predicted:  get ; correct:  get ]
b'Qual seu nome ?'  [predicted:  saymyname ; correct:  saymyname ]
b'rastrear um objeto'  [predicted:  add ; correct:  get ]
b'descadastrar'  [predicted:  delete ; correct:  delete ]
b'Gostaria de retirar'  [predicted:  add ; correct:  delete ]
b'Gostaria de uma informa\xc3\xa7\xc3\xa3o'  [predicted:  add ; correct:  help ]
b'Voc\xc3\xaa pode me explicar como cadastrar?'  [predicted:  help ; correct:  help ]
b'E a\xc3\xad, quais s\xc3\xa3o minhas op\xc3\xa7\xc3\xb5es?'  [predicted:  delete ; correct:  help ]
b'De que vc precisa?'  [predicted:  delete ; correct:  help ]
b'consultar minha encomenda'  [predicted:  get ; correct:  get ]
b'Consultar'  [predicted:  delete ; correct:  get ]
b'o que eu devo fazer?'  [predicted:  help ; correct:  help ]
b'Como fa\xc3\xa7o pra cadastrar alguma encomenda?'  [predicted:  help ; correct:  help ]
b'Registrar uma encomenda'  [predicted:  add ; correct:  add ]
TIME:  0.032766103744506836
SCORE:  15 / 30  ( 0.5 )
b'Como voc\xc3\xaa funciona'  [predicted:  help ; correct:  help ]
b'adeus'  [predicted:  ok ; correct:  bye ]
b'Como cadastra a encomenda'  [predicted:  help ; correct:  help ]
b'Ol\xc3\xa1'  [predicted:  ok ; correct:  welcome ]
b'como voce me atualiza sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'At\xc3\xa9 logo'  [predicted:  bye ; correct:  bye ]
b'Tudo bem'  [predicted:  bye ; correct:  ok ]
b'Rastrear'  [predicted:  ok ; correct:  get ]
b'sai'  [predicted:  ok ; correct:  cancel ]
b'Como?'  [predicted:  ok ; correct:  help ]
b'Ol\xc3\xa1 rob\xc3\xb4'  [predicted:  ok ; correct:  welcome ]
b'Todos'  [predicted:  ok ; correct:  get ]
b'adicionar objeto'  [predicted:  ok ; correct:  add ]
b'Quero saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'Como cadastra?'  [predicted:  ok ; correct:  help ]
b'Rastrear encomenda'  [predicted:  ok ; correct:  get ]
b'Consulta'  [predicted:  ok ; correct:  get ]
b'Remover'  [predicted:  ok ; correct:  delete ]
b'ok'  [predicted:  ok ; correct:  ok ]
b'O que voc\xc3\xaa sabe fazer ?'  [predicted:  help ; correct:  help ]
b'adicionar'  [predicted:  ok ; correct:  add ]
b'\xc3\x93timo!'  [predicted:  ok ; correct:  ok ]
b'Quero saber onde minha encomenda est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'Quero ver meus produtos'  [predicted:  ok ; correct:  get ]
b'Retirar'  [predicted:  ok ; correct:  delete ]
b'Todas'  [predicted:  ok ; correct:  get ]
b'adicionar um novo pacote'  [predicted:  add ; correct:  add ]
b'Quero registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'pacote'  [predicted:  ok ; correct:  add ]
b'At\xc3\xa9 mais'  [predicted:  bye ; correct:  bye ]
TIME:  0.03148698806762695
SCORE:  12 / 30  ( 0.4 )
b'Quero ver meus produtos'  [predicted:  welcome ; correct:  get ]
b'Rastrear encomenda'  [predicted:  welcome ; correct:  get ]
b'Apagar'  [predicted:  welcome ; correct:  delete ]
b'tenha um bom dia'  [predicted:  greeting ; correct:  greeting ]
b'como sou notificado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Ajuda'  [predicted:  welcome ; correct:  help ]
b'Onde esta a minha encomenda'  [predicted:  get ; correct:  get ]
b'Meus itens'  [predicted:  welcome ; correct:  get ]
b'Gostaria de Rastrear um objeto'  [predicted:  add ; correct:  add ]
b'Gostaria de registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Me ajuda'  [predicted:  welcome ; correct:  help ]
b'favor cadastrar o codigo de rastreio'  [predicted:  add ; correct:  add ]
b'gostaria de procurar um objeto'  [predicted:  add ; correct:  get ]
b'O que voc\xc3\xaa sabe fazer ?'  [predicted:  help ; correct:  help ]
b'pacote'  [predicted:  welcome ; correct:  add ]
b'tchau'  [predicted:  welcome ; correct:  bye ]
b'At\xc3\xa9 logo'  [predicted:  bye ; correct:  bye ]
b'Rastrear'  [predicted:  welcome ; correct:  get ]
b'como sou avisado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'\xc3\x93timo!'  [predicted:  welcome ; correct:  ok ]
b'Beleza'  [predicted:  welcome ; correct:  ok ]
b'Como sei onde est\xc3\xa1 a minha encomenda?'  [predicted:  get ; correct:  help ]
b'sair'  [predicted:  welcome ; correct:  cancel ]
b'Listar comandos'  [predicted:  welcome ; correct:  help ]
b'At\xc3\xa9 mais'  [predicted:  bye ; correct:  bye ]
b'Gostaria de registrar'  [predicted:  delete ; correct:  add ]
b'onde eu insiro o c\xc3\xb3digo de rastreio?'  [predicted:  add ; correct:  help ]
b'gostaria de cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'adicionar um novo pacote'  [predicted:  add ; correct:  add ]
b'onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
TIME:  0.031033992767333984
SCORE:  13 / 30  ( 0.43333333333333335 )
b'Quero cadastrar um c\xc3\xb3digo de rastreio'  [predicted:  help ; correct:  add ]
b'Meus objetos'  [predicted:  delete ; correct:  get ]
b'Gostaria de retirar uma encomenda'  [predicted:  add ; correct:  delete ]
b'Encomenda'  [predicted:  delete ; correct:  get ]
b'Meus itens'  [predicted:  delete ; correct:  get ]
b'Eu quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Rastrear'  [predicted:  delete ; correct:  get ]
b'adeus'  [predicted:  delete ; correct:  bye ]
b'Minhas encomendas'  [predicted:  get ; correct:  get ]
b'Gostaria de fazer um cadastro'  [predicted:  get ; correct:  add ]
b'Como fa\xc3\xa7o pra cadastrar alguma encomenda?'  [predicted:  help ; correct:  help ]
b'Rastrear encomenda'  [predicted:  get ; correct:  get ]
b'adicionar'  [predicted:  delete ; correct:  add ]
b'Quero cadastrar uma encomenda, pode ser?'  [predicted:  add ; correct:  add ]
b'cad\xc3\xaa'  [predicted:  delete ; correct:  get ]
b'Listar comandos'  [predicted:  delete ; correct:  help ]
b'Como funciona'  [predicted:  delete ; correct:  help ]
b'Gostaria de uma informa\xc3\xa7\xc3\xa3o'  [predicted:  add ; correct:  help ]
b'Muito obrigada'  [predicted:  delete ; correct:  thanks ]
b'Quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Gostaria de fazer um rastreamento'  [predicted:  get ; correct:  add ]
b'Me ajuda'  [predicted:  delete ; correct:  help ]
b'Quero ver meus produtos'  [predicted:  get ; correct:  get ]
b'adicionar objeto'  [predicted:  add ; correct:  add ]
b'Gostaria de retirar'  [predicted:  add ; correct:  delete ]
b'Entrega'  [predicted:  delete ; correct:  get ]
b'Cadastrar uma nova encomenda'  [predicted:  add ; correct:  add ]
b'como pode me ajudar'  [predicted:  help ; correct:  help ]
b'Gostaria de rastrear um objeto agora'  [predicted:  add ; correct:  add ]
b'cad\xc3\xaa minha encomenda'  [predicted:  get ; correct:  get ]
TIME:  0.028180837631225586
SCORE:  12 / 30  ( 0.4 )
b'parar'  [predicted:  ok ; correct:  cancel ]
b'deletar'  [predicted:  ok ; correct:  delete ]
b'onde eu insiro o c\xc3\xb3digo de rastreio?'  [predicted:  add ; correct:  help ]
b'para'  [predicted:  ok ; correct:  cancel ]
b'Boa tarde ent\xc3\xa3o'  [predicted:  ok ; correct:  greeting ]
b'Como?'  [predicted:  ok ; correct:  help ]
b'Como cadastra?'  [predicted:  ok ; correct:  help ]
b'Voc\xc3\xaa pode rastrear um objeto para mim?'  [predicted:  add ; correct:  get ]
b'Onde esta a minha encomenda'  [predicted:  get ; correct:  get ]
b'onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'Ajuda'  [predicted:  ok ; correct:  help ]
b'boa tarde'  [predicted:  ok ; correct:  greeting ]
b'Todas'  [predicted:  ok ; correct:  get ]
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  help ; correct:  help ]
b'palavr\xc3\xa3o voc\xc3\xaa entende n\xc3\xa9 filho da puta'  [predicted:  ok ; correct:  bad ]
b'como sou notificado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'E a\xc3\xad, quais s\xc3\xa3o minhas op\xc3\xa7\xc3\xb5es?'  [predicted:  ok ; correct:  help ]
b'Todos'  [predicted:  ok ; correct:  get ]
b'boa noite'  [predicted:  ok ; correct:  greeting ]
b'Como sei onde est\xc3\xa1 a minha encomenda?'  [predicted:  get ; correct:  help ]
b'descadastrar'  [predicted:  ok ; correct:  delete ]
b'Como eu fa\xc3\xa7o?'  [predicted:  ok ; correct:  help ]
b'Como cadastra a encomenda'  [predicted:  ok ; correct:  help ]
b'Voc\xc3\xaa n\xc3\xa3o \xc3\xa9 um rob\xc3\xb4, voc\xc3\xaa \xc3\xa9 uma bichona'  [predicted:  ok ; correct:  bad ]
b'como sou avisado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  help ; correct:  help ]
b'Voc\xc3\xaa pode me explicar como cadastrar?'  [predicted:  help ; correct:  help ]
b'Beleza'  [predicted:  ok ; correct:  ok ]
b'Apagar'  [predicted:  ok ; correct:  delete ]
b'Tudo bem'  [predicted:  ok ; correct:  ok ]
TIME:  0.03090500831604004
SCORE:  9 / 30  ( 0.3 )
b'De que vc precisa?'  [predicted:  ok ; correct:  help ]
b'para'  [predicted:  ok ; correct:  cancel ]
b'Obrigado'  [predicted:  ok ; correct:  thanks ]
b'Qual o seu nome ?'  [predicted:  ok ; correct:  saymyname ]
b'Qual seu nome ?'  [predicted:  ok ; correct:  saymyname ]
b'consultar minha encomenda'  [predicted:  get ; correct:  get ]
b'Quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Minhas encomendas'  [predicted:  get ; correct:  get ]
b'Quero cadastrar um c\xc3\xb3digo de rastreio'  [predicted:  help ; correct:  add ]
b'O que voc\xc3\xaa sabe fazer ?'  [predicted:  help ; correct:  help ]
b'pacote'  [predicted:  ok ; correct:  add ]
b'como sou notificado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Boa tarde ent\xc3\xa3o'  [predicted:  ok ; correct:  greeting ]
b'Muito obrigada'  [predicted:  ok ; correct:  thanks ]
b'Meus objetos'  [predicted:  ok ; correct:  get ]
b'palavr\xc3\xa3o voc\xc3\xaa entende n\xc3\xa9 filho da puta'  [predicted:  ok ; correct:  bad ]
b'boa tarde'  [predicted:  ok ; correct:  greeting ]
b'Legal! Mas onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'Listar'  [predicted:  ok ; correct:  get ]
b'qual a situa\xc3\xa7\xc3\xa3o da minha encomenda?'  [predicted:  get ; correct:  get ]
b'como sou avisado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Como sei onde est\xc3\xa1 a minha encomenda?'  [predicted:  get ; correct:  help ]
b'oi'  [predicted:  ok ; correct:  welcome ]
b'Consultar'  [predicted:  ok ; correct:  get ]
b'boa noite'  [predicted:  ok ; correct:  greeting ]
b'Quero cadastrar uma encomenda, pode ser?'  [predicted:  add ; correct:  add ]
b'Lista'  [predicted:  ok ; correct:  get ]
b'\xc3\x93timo!'  [predicted:  ok ; correct:  ok ]
b'Obrigada'  [predicted:  ok ; correct:  thanks ]
b'parar'  [predicted:  ok ; correct:  cancel ]
TIME:  0.03221297264099121
SCORE:  10 / 30  ( 0.3333333333333333 )
b'Registrar'  [predicted:  cancel ; correct:  add ]
b'Cadastrar'  [predicted:  cancel ; correct:  add ]
b'Encomenda'  [predicted:  cancel ; correct:  get ]
b'Rastrear encomenda'  [predicted:  cancel ; correct:  get ]
b'Rastrear'  [predicted:  cancel ; correct:  get ]
b'rastrear um objeto'  [predicted:  add ; correct:  get ]
b'Vai tomar no cu'  [predicted:  cancel ; correct:  bad ]
b'Tudo bem, tchau'  [predicted:  ok ; correct:  bye ]
b'como pode me ajudar'  [predicted:  help ; correct:  help ]
b'palavr\xc3\xa3o voc\xc3\xaa entende n\xc3\xa9 filho da puta'  [predicted:  cancel ; correct:  bad ]
b'Eu quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Burro'  [predicted:  cancel ; correct:  bad ]
b'Muito obrigado'  [predicted:  cancel ; correct:  thanks ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  help ; correct:  help ]
b'Gostaria de rastrear um objeto agora'  [predicted:  add ; correct:  add ]
b'Como funciona'  [predicted:  help ; correct:  help ]
b'Gostaria de fazer um rastreamento'  [predicted:  get ; correct:  add ]
b'Entrega'  [predicted:  cancel ; correct:  get ]
b'N\xc3\xa3o'  [predicted:  cancel ; correct:  cancel ]
b'Registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Gostaria de fazer um cadastro'  [predicted:  get ; correct:  add ]
b'Como eu fa\xc3\xa7o?'  [predicted:  cancel ; correct:  help ]
b'bom dia'  [predicted:  greeting ; correct:  greeting ]
b'Quero ver meus produtos'  [predicted:  cancel ; correct:  get ]
b'Como fa\xc3\xa7o pra cadastrar alguma encomenda?'  [predicted:  help ; correct:  help ]
b'parar'  [predicted:  cancel ; correct:  cancel ]
b'Visualizar rastreamento'  [predicted:  cancel ; correct:  get ]
b'N\xc3\xa3o possuo encomenda em tr\xc3\xa2nsito'  [predicted:  cancel ; correct:  cancel ]
b'para'  [predicted:  cancel ; correct:  cancel ]
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  help ; correct:  help ]
TIME:  0.031722068786621094
SCORE:  13 / 30  ( 0.43333333333333335 )
b'Tudo bem, tchau'  [predicted:  ok ; correct:  bye ]
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  help ; correct:  help ]
b'Como cadastrar uma encomenda?'  [predicted:  add ; correct:  help ]
b'Todas'  [predicted:  ok ; correct:  get ]
b'como pode me ajudar'  [predicted:  help ; correct:  help ]
b'C\xc3\xb3digo'  [predicted:  ok ; correct:  get ]
b'Como cadastrar um c\xc3\xb3digo'  [predicted:  add ; correct:  help ]
b'Como eu fa\xc3\xa7o?'  [predicted:  ok ; correct:  help ]
b'Rastrear'  [predicted:  ok ; correct:  get ]
b'Checar minhas encomendas'  [predicted:  get ; correct:  get ]
b'Como funciona'  [predicted:  ok ; correct:  help ]
b'Quero ver meus produtos'  [predicted:  ok ; correct:  get ]
b'Todos'  [predicted:  ok ; correct:  get ]
b'Visualizar rastreamento'  [predicted:  ok ; correct:  get ]
b'Vai tomar no cu'  [predicted:  ok ; correct:  bad ]
b'Como cadastrar um objeto?'  [predicted:  add ; correct:  help ]
b'Gostaria de fazer um cadastro'  [predicted:  get ; correct:  add ]
b'onde eu insiro o c\xc3\xb3digo de rastreio?'  [predicted:  help ; correct:  help ]
b'Gostaria de rastrear um objeto agora'  [predicted:  add ; correct:  add ]
b'Gostaria de fazer um rastreamento'  [predicted:  get ; correct:  add ]
b'Tudo bem'  [predicted:  ok ; correct:  ok ]
b'onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'Onde esta a minha encomenda'  [predicted:  get ; correct:  get ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  add ; correct:  help ]
b'Como fa\xc3\xa7o pra cadastrar alguma encomenda?'  [predicted:  ok ; correct:  help ]
b'Chega q dia?'  [predicted:  ok ; correct:  get ]
b'Quando ao certo chega minha encomenda?'  [predicted:  get ; correct:  get ]
b'Quais encomenda voc\xc3\xaa rastreia'  [predicted:  ok ; correct:  help ]
b'Posso cadastrar encomendas de outros pa\xc3\xadses?'  [predicted:  ok ; correct:  help ]
b'Rastrear encomenda'  [predicted:  ok ; correct:  get ]
TIME:  0.034158945083618164
SCORE:  9 / 30  ( 0.3 )
b'gostaria de procurar um objeto'  [predicted:  add ; correct:  get ]
b'Qual seu nome ?'  [predicted:  ok ; correct:  saymyname ]
b'como voce me atualiza sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Beleza'  [predicted:  ok ; correct:  ok ]
b'Como eu fa\xc3\xa7o?'  [predicted:  ok ; correct:  help ]
b'Ajuda'  [predicted:  ok ; correct:  help ]
b'Todas'  [predicted:  ok ; correct:  get ]
b'Gostaria de registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Como cadastro?'  [predicted:  ok ; correct:  help ]
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  help ; correct:  help ]
b'Quero rastrear uma encomenda'  [predicted:  delete ; correct:  get ]
b'Quero rastrear um pacote'  [predicted:  add ; correct:  get ]
b'Como cadastro uma encomenda?'  [predicted:  delete ; correct:  help ]
b'Minhas encomendas'  [predicted:  get ; correct:  get ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  help ; correct:  help ]
b'Apagar'  [predicted:  ok ; correct:  delete ]
b'Qual o seu nome ?'  [predicted:  ok ; correct:  saymyname ]
b'Muito obrigada'  [predicted:  ok ; correct:  thanks ]
b'Todos'  [predicted:  ok ; correct:  get ]
b'Quero ver meus produtos'  [predicted:  ok ; correct:  get ]
b'Gostaria de registrar'  [predicted:  delete ; correct:  add ]
b'Quero fazer um rastreamento'  [predicted:  add ; correct:  get ]
b'Rastrear'  [predicted:  ok ; correct:  get ]
b'Como cadastro minha encomenda?'  [predicted:  get ; correct:  help ]
b'Meus objetos'  [predicted:  ok ; correct:  get ]
b'Como voc\xc3\xaa funciona'  [predicted:  ok ; correct:  help ]
b'Tudo bem'  [predicted:  ok ; correct:  ok ]
b'qual a situa\xc3\xa7\xc3\xa3o da minha encomenda?'  [predicted:  get ; correct:  get ]
b'Rastrear encomenda'  [predicted:  ok ; correct:  get ]
b'Consulta'  [predicted:  ok ; correct:  get ]
TIME:  0.030511140823364258
SCORE:  8 / 30  ( 0.26666666666666666 )
b'Como fa\xc3\xa7o pra cadastrar alguma encomenda?'  [predicted:  help ; correct:  help ]
b'Como?'  [predicted:  ok ; correct:  help ]
b'J\xc3\xa1 cadastrou?'  [predicted:  ok ; correct:  get ]
b'J\xc3\xa1 se moveu?'  [predicted:  ok ; correct:  get ]
b'cancela'  [predicted:  ok ; correct:  cancel ]
b'Beleza'  [predicted:  ok ; correct:  ok ]
b'Retirar'  [predicted:  ok ; correct:  delete ]
b'Voc\xc3\xaa pode rastrear um objeto para mim?'  [predicted:  add ; correct:  get ]
b'Informa\xc3\xa7\xc3\xa3o'  [predicted:  ok ; correct:  help ]
b'Quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'bom dia'  [predicted:  greeting ; correct:  greeting ]
b'Como cadastra?'  [predicted:  ok ; correct:  help ]
b'Remover'  [predicted:  ok ; correct:  delete ]
b'Voc\xc3\xaa n\xc3\xa3o \xc3\xa9 um rob\xc3\xb4, voc\xc3\xaa \xc3\xa9 uma bichona'  [predicted:  ok ; correct:  bad ]
b'descadastrar'  [predicted:  ok ; correct:  delete ]
b'Quero cadastrar uma encomenda, pode ser?'  [predicted:  add ; correct:  add ]
b'deletar'  [predicted:  ok ; correct:  delete ]
b'Ajuda'  [predicted:  ok ; correct:  help ]
b'Quero cadastrar um c\xc3\xb3digo de rastreio'  [predicted:  help ; correct:  add ]
b'Voc\xc3\xaa pode me explicar como cadastrar?'  [predicted:  help ; correct:  help ]
b'E a\xc3\xad, quais s\xc3\xa3o minhas op\xc3\xa7\xc3\xb5es?'  [predicted:  help ; correct:  help ]
b'Cadastrar'  [predicted:  ok ; correct:  add ]
b'sai'  [predicted:  ok ; correct:  cancel ]
b'Como funciona'  [predicted:  help ; correct:  help ]
b'caralho'  [predicted:  ok ; correct:  bad ]
b'cancelar'  [predicted:  ok ; correct:  cancel ]
b'Como cadastra a encomenda'  [predicted:  help ; correct:  help ]
b'como pode me ajudar'  [predicted:  help ; correct:  help ]
b'Burro'  [predicted:  ok ; correct:  bad ]
b'Apagar'  [predicted:  ok ; correct:  delete ]
TIME:  0.034416913986206055
SCORE:  10 / 30  ( 0.3333333333333333 )
b'bom dia'  [predicted:  greeting ; correct:  greeting ]
b'Obrigada'  [predicted:  ok ; correct:  thanks ]
b'oi'  [predicted:  ok ; correct:  welcome ]
b'gostaria de procurar um objeto'  [predicted:  add ; correct:  get ]
b'Quero saber onde minha encomenda est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'Quero registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Eu quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Voc\xc3\xaa n\xc3\xa3o \xc3\xa9 um rob\xc3\xb4, voc\xc3\xaa \xc3\xa9 uma bichona'  [predicted:  ok ; correct:  bad ]
b'Quero saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'Rastrear'  [predicted:  ok ; correct:  get ]
b'Minhas encomendas'  [predicted:  get ; correct:  get ]
b'Obrigado'  [predicted:  ok ; correct:  thanks ]
b'como sou notificado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Quero ver meus produtos'  [predicted:  get ; correct:  get ]
b'como sou avisado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Entrega'  [predicted:  ok ; correct:  get ]
b'Rastrear encomenda'  [predicted:  get ; correct:  get ]
b'Muito obrigada'  [predicted:  ok ; correct:  thanks ]
b'Novo pacote'  [predicted:  add ; correct:  add ]
b'Gostaria de registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Encomenda'  [predicted:  ok ; correct:  get ]
b'Novo'  [predicted:  ok ; correct:  add ]
b'Voc\xc3\xaa pode me explicar como cadastrar?'  [predicted:  help ; correct:  help ]
b'Gostaria de registrar'  [predicted:  delete ; correct:  add ]
