b'Como cadastro uma encomenda?'  [predicted:  ok ; correct:  help ]
b'Onde aparece esse c\xc3\xb3digo de 13 d\xc3\xadgitos?'  [predicted:  help ; correct:  help ]
TIME:  0.02455306053161621
SCORE:  5 / 30  ( 0.16666666666666666 )
b'Como cadastrar um c\xc3\xb3digo'  [predicted:  add ; correct:  help ]
b'Registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Onde est\xc3\xa1'  [predicted:  thanks ; correct:  get ]
b'Voc\xc3\xaa n\xc3\xa3o \xc3\xa9 um rob\xc3\xb4, voc\xc3\xaa \xc3\xa9 uma bichona'  [predicted:  thanks ; correct:  bad ]
b'consultar minha encomenda'  [predicted:  thanks ; correct:  get ]
b'Voc\xc3\xaa pode rastrear um objeto para mim?'  [predicted:  add ; correct:  get ]
b'tenha um bom dia'  [predicted:  thanks ; correct:  greeting ]
b'Registrar'  [predicted:  thanks ; correct:  add ]
b'pacote'  [predicted:  thanks ; correct:  add ]
b'Como cadastro?'  [predicted:  thanks ; correct:  help ]
b'Como cadastrar um objeto?'  [predicted:  thanks ; correct:  help ]
b'Onde aparece esse c\xc3\xb3digo de 13 d\xc3\xadgitos?'  [predicted:  help ; correct:  help ]
b'Como cadastro uma encomenda?'  [predicted:  thanks ; correct:  help ]
b'Voc\xc3\xaa pode me explicar como cadastrar?'  [predicted:  thanks ; correct:  help ]
b'tchau'  [predicted:  thanks ; correct:  bye ]
b'Como cadastro minha encomenda?'  [predicted:  thanks ; correct:  help ]
b'Checar minhas encomendas'  [predicted:  get ; correct:  get ]
b'C\xc3\xb3digo'  [predicted:  thanks ; correct:  get ]
b'O que voc\xc3\xaa sabe fazer ?'  [predicted:  thanks ; correct:  help ]
b'Rastrear encomenda'  [predicted:  thanks ; correct:  get ]
b'Quero ver meus produtos'  [predicted:  thanks ; correct:  get ]
b'Consultar'  [predicted:  thanks ; correct:  get ]
b'Rastrear'  [predicted:  thanks ; correct:  get ]
b'Chega q dia?'  [predicted:  get ; correct:  get ]
b'De que vc precisa?'  [predicted:  thanks ; correct:  help ]
b'rastrear um objeto'  [predicted:  add ; correct:  get ]
b'sair'  [predicted:  thanks ; correct:  cancel ]
b'\xc3\x93timo!'  [predicted:  thanks ; correct:  ok ]
b'Ol\xc3\xa1, gostaria de rastrear um objeto'  [predicted:  get ; correct:  get ]
b'Como cadastrar uma encomenda?'  [predicted:  add ; correct:  help ]
TIME:  0.026134014129638672
SCORE:  5 / 30  ( 0.16666666666666666 )
b'E a\xc3\xad, quais s\xc3\xa3o minhas op\xc3\xa7\xc3\xb5es?'  [predicted:  help ; correct:  help ]
b'Quero saber onde minha encomenda est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'Minhas encomendas'  [predicted:  cancel ; correct:  get ]
b'Gostaria de registrar'  [predicted:  cancel ; correct:  add ]
b'Entrega'  [predicted:  cancel ; correct:  get ]
b'Quero saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'qual a situa\xc3\xa7\xc3\xa3o da minha encomenda?'  [predicted:  cancel ; correct:  get ]
b'Eu quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'descadastrar'  [predicted:  cancel ; correct:  delete ]
b'Encomenda'  [predicted:  cancel ; correct:  get ]
b'Como cadastro minha encomenda?'  [predicted:  cancel ; correct:  help ]
b'Muito obrigado'  [predicted:  cancel ; correct:  thanks ]
b'Qual o seu nome ?'  [predicted:  cancel ; correct:  saymyname ]
b'N\xc3\xa3o possuo encomenda em tr\xc3\xa2nsito'  [predicted:  cancel ; correct:  cancel ]
b'boa tarde'  [predicted:  cancel ; correct:  greeting ]
b'Como cadastro?'  [predicted:  cancel ; correct:  help ]
b'Meus objetos'  [predicted:  cancel ; correct:  get ]
b'boa noite'  [predicted:  cancel ; correct:  greeting ]
b'Como cadastro uma encomenda?'  [predicted:  cancel ; correct:  help ]
b'Qual seu nome ?'  [predicted:  cancel ; correct:  saymyname ]
b'Boa tarde ent\xc3\xa3o'  [predicted:  cancel ; correct:  greeting ]
b'N\xc3\xa3o'  [predicted:  cancel ; correct:  cancel ]
b'gostaria de procurar um objeto'  [predicted:  cancel ; correct:  get ]
b'Consultar'  [predicted:  cancel ; correct:  get ]
b'Quero registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'deletar'  [predicted:  cancel ; correct:  delete ]
b'Gostaria de registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Muito obrigada'  [predicted:  cancel ; correct:  thanks ]
b'consultar minha encomenda'  [predicted:  cancel ; correct:  get ]
b'De que vc precisa?'  [predicted:  cancel ; correct:  help ]
TIME:  0.024580955505371094
SCORE:  8 / 30  ( 0.26666666666666666 )
b'como sou notificado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Como cadastrar um objeto?'  [predicted:  bye ; correct:  help ]
b'Quero cadastrar uma encomenda, pode ser?'  [predicted:  add ; correct:  add ]
b'Muito obrigada'  [predicted:  bye ; correct:  thanks ]
b'Checar minhas encomendas'  [predicted:  get ; correct:  get ]
b'cancelar'  [predicted:  bye ; correct:  cancel ]
b'Gostaria de fazer um rastreamento'  [predicted:  get ; correct:  add ]
b'Quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Vai tomar no cu'  [predicted:  bye ; correct:  bad ]
b'caralho'  [predicted:  bye ; correct:  bad ]
b'Tudo bem, tchau'  [predicted:  bye ; correct:  bye ]
b'Visualizar rastreamento'  [predicted:  bye ; correct:  get ]
b'Cadastrar uma nova encomenda'  [predicted:  add ; correct:  add ]
b'como sou avisado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Gostaria de rastrear um objeto agora'  [predicted:  add ; correct:  add ]
b'cad\xc3\xaa'  [predicted:  bye ; correct:  get ]
b'cancela'  [predicted:  bye ; correct:  cancel ]
b'Meus objetos'  [predicted:  bye ; correct:  get ]
b'Quero cadastrar um c\xc3\xb3digo de rastreio'  [predicted:  add ; correct:  add ]
b'Rastrear encomenda'  [predicted:  bye ; correct:  get ]
b'Como sei onde est\xc3\xa1 a minha encomenda?'  [predicted:  get ; correct:  help ]
b'C\xc3\xb3digo'  [predicted:  bye ; correct:  get ]
b'Minhas encomendas'  [predicted:  bye ; correct:  get ]
b'Quero ver meus produtos'  [predicted:  bye ; correct:  get ]
b'Como cadastrar uma encomenda?'  [predicted:  add ; correct:  help ]
b'Rastrear'  [predicted:  bye ; correct:  get ]
b'cad\xc3\xaa minha encomenda'  [predicted:  get ; correct:  get ]
b'Como cadastrar um c\xc3\xb3digo'  [predicted:  bye ; correct:  help ]
b'Gostaria de fazer um cadastro'  [predicted:  bye ; correct:  add ]
b'Chega q dia?'  [predicted:  get ; correct:  get ]
TIME:  0.026668787002563477
SCORE:  11 / 30  ( 0.36666666666666664 )
b'Voc\xc3\xaa n\xc3\xa3o \xc3\xa9 um rob\xc3\xb4, voc\xc3\xaa \xc3\xa9 uma bichona'  [predicted:  thanks ; correct:  bad ]
b'Ajuda'  [predicted:  thanks ; correct:  help ]
b'Vai tomar no cu'  [predicted:  bad ; correct:  bad ]
b'Como funciona'  [predicted:  thanks ; correct:  help ]
b'Visualizar rastreamento'  [predicted:  thanks ; correct:  get ]
b'Como cadastro minha encomenda?'  [predicted:  thanks ; correct:  help ]
b'Tudo bem, tchau'  [predicted:  bye ; correct:  bye ]
b'gostaria de cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Boa tarde ent\xc3\xa3o'  [predicted:  thanks ; correct:  greeting ]
b'Apagar'  [predicted:  thanks ; correct:  delete ]
b'boa tarde'  [predicted:  thanks ; correct:  greeting ]
b'Cadastrar uma nova encomenda'  [predicted:  thanks ; correct:  add ]
b'Beleza'  [predicted:  thanks ; correct:  ok ]
b'Gostaria de Rastrear um objeto'  [predicted:  add ; correct:  add ]
b'Novo pacote'  [predicted:  thanks ; correct:  add ]
b'como pode me ajudar'  [predicted:  help ; correct:  help ]
b'o que eu devo fazer?'  [predicted:  thanks ; correct:  help ]
b'Novo'  [predicted:  thanks ; correct:  add ]
b'Voc\xc3\xaa pode me explicar como cadastrar?'  [predicted:  thanks ; correct:  help ]
b'Como cadastro uma encomenda?'  [predicted:  thanks ; correct:  help ]
b'favor cadastrar o codigo de rastreio'  [predicted:  help ; correct:  add ]
b'cad\xc3\xaa'  [predicted:  thanks ; correct:  get ]
b'Chega q dia?'  [predicted:  thanks ; correct:  get ]
b'Como fa\xc3\xa7o pra cadastrar alguma encomenda?'  [predicted:  help ; correct:  help ]
b'boa noite'  [predicted:  thanks ; correct:  greeting ]
b'Como cadastro?'  [predicted:  thanks ; correct:  help ]
b'Checar minhas encomendas'  [predicted:  thanks ; correct:  get ]
b'Voc\xc3\xaa pode rastrear um objeto para mim?'  [predicted:  add ; correct:  get ]
b'C\xc3\xb3digo'  [predicted:  thanks ; correct:  get ]
b'cad\xc3\xaa minha encomenda'  [predicted:  thanks ; correct:  get ]
TIME:  0.023916959762573242
SCORE:  6 / 30  ( 0.2 )
b'ok'  [predicted:  ok ; correct:  ok ]
b'Quero saber onde minha encomenda est\xc3\xa1'  [predicted:  ok ; correct:  get ]
b'J\xc3\xa1 cadastrou?'  [predicted:  ok ; correct:  get ]
b'Como eu fa\xc3\xa7o?'  [predicted:  help ; correct:  help ]
b'Ol\xc3\xa1 rob\xc3\xb4'  [predicted:  ok ; correct:  welcome ]
b'oi'  [predicted:  ok ; correct:  welcome ]
b'adeus'  [predicted:  ok ; correct:  bye ]
b'J\xc3\xa1 se moveu?'  [predicted:  ok ; correct:  get ]
b'Apagar'  [predicted:  ok ; correct:  delete ]
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  help ; correct:  help ]
b'Ajuda'  [predicted:  ok ; correct:  help ]
b'Obrigado'  [predicted:  ok ; correct:  thanks ]
b'Remover'  [predicted:  ok ; correct:  delete ]
b'qual a situa\xc3\xa7\xc3\xa3o da minha encomenda?'  [predicted:  ok ; correct:  get ]
b'Informa\xc3\xa7\xc3\xa3o'  [predicted:  ok ; correct:  help ]
b'Quero registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'adicionar'  [predicted:  ok ; correct:  add ]
b'Obrigada'  [predicted:  ok ; correct:  thanks ]
b'Quero saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'adicionar objeto'  [predicted:  ok ; correct:  add ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  help ; correct:  help ]
b'Ol\xc3\xa1'  [predicted:  ok ; correct:  welcome ]
b'sai'  [predicted:  ok ; correct:  cancel ]
b'Beleza'  [predicted:  ok ; correct:  ok ]
b'Retirar'  [predicted:  ok ; correct:  delete ]
b'Cadastrar uma nova encomenda'  [predicted:  add ; correct:  add ]
b'cad\xc3\xaa'  [predicted:  ok ; correct:  get ]
b'cad\xc3\xaa minha encomenda'  [predicted:  get ; correct:  get ]
b'Qual seu nome ?'  [predicted:  ok ; correct:  saymyname ]
b'Qual o seu nome ?'  [predicted:  ok ; correct:  saymyname ]
TIME:  0.026504993438720703
SCORE:  9 / 30  ( 0.3 )
b'Gostaria de rastrear um objeto agora'  [predicted:  add ; correct:  add ]
b'Lista'  [predicted:  ok ; correct:  get ]
b'Listar'  [predicted:  ok ; correct:  get ]
b'Burro'  [predicted:  ok ; correct:  bad ]
b'boa tarde'  [predicted:  ok ; correct:  greeting ]
b'Quero fazer um rastreamento'  [predicted:  get ; correct:  get ]
b'boa noite'  [predicted:  ok ; correct:  greeting ]
b'Quero registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  add ; correct:  help ]
b'Como fa\xc3\xa7o pra cadastrar alguma encomenda?'  [predicted:  ok ; correct:  help ]
b'Gostaria de fazer um rastreamento'  [predicted:  get ; correct:  add ]
b'como pode me ajudar'  [predicted:  ok ; correct:  help ]
b'bom dia'  [predicted:  ok ; correct:  greeting ]
b'Como cadastro uma encomenda?'  [predicted:  ok ; correct:  help ]
b'Quero saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'Gostaria de fazer um cadastro'  [predicted:  ok ; correct:  add ]
b'Como cadastro minha encomenda?'  [predicted:  ok ; correct:  help ]
b'Quero saber onde minha encomenda est\xc3\xa1'  [predicted:  ok ; correct:  get ]
b'Quero rastrear uma encomenda'  [predicted:  get ; correct:  get ]
b'para'  [predicted:  ok ; correct:  cancel ]
b'Como funciona'  [predicted:  ok ; correct:  help ]
b'Como eu fa\xc3\xa7o?'  [predicted:  ok ; correct:  help ]
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  ok ; correct:  help ]
b'Legal! Mas onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'palavr\xc3\xa3o voc\xc3\xaa entende n\xc3\xa9 filho da puta'  [predicted:  ok ; correct:  bad ]
b'Cadastrar'  [predicted:  ok ; correct:  add ]
b'Quero rastrear um pacote'  [predicted:  get ; correct:  get ]
b'parar'  [predicted:  ok ; correct:  cancel ]
b'Boa tarde ent\xc3\xa3o'  [predicted:  ok ; correct:  greeting ]
b'Como cadastro?'  [predicted:  ok ; correct:  help ]
TIME:  0.025172948837280273
SCORE:  7 / 30  ( 0.23333333333333334 )
b'Como eu fa\xc3\xa7o?'  [predicted:  help ; correct:  help ]
b'Quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Obrigado'  [predicted:  ok ; correct:  thanks ]
b'Listar'  [predicted:  ok ; correct:  get ]
b'Cadastrar'  [predicted:  ok ; correct:  add ]
b'Legal! Mas onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'deletar'  [predicted:  ok ; correct:  delete ]
b'bom dia'  [predicted:  ok ; correct:  greeting ]
b'onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'Burro'  [predicted:  ok ; correct:  bad ]
b'Onde est\xc3\xa1'  [predicted:  ok ; correct:  get ]
b'Ol\xc3\xa1, gostaria de rastrear um objeto'  [predicted:  add ; correct:  get ]
b'descadastrar'  [predicted:  ok ; correct:  delete ]
b'como voce me atualiza sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Obrigada'  [predicted:  ok ; correct:  thanks ]
b'Lista'  [predicted:  ok ; correct:  get ]
b'Quero cadastrar um c\xc3\xb3digo de rastreio'  [predicted:  add ; correct:  add ]
b'E a\xc3\xad, quais s\xc3\xa3o minhas op\xc3\xa7\xc3\xb5es?'  [predicted:  ok ; correct:  help ]
b'onde eu insiro o c\xc3\xb3digo de rastreio?'  [predicted:  add ; correct:  help ]
b'qual a situa\xc3\xa7\xc3\xa3o da minha encomenda?'  [predicted:  ok ; correct:  get ]
b'Qual o seu nome ?'  [predicted:  ok ; correct:  saymyname ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  help ; correct:  help ]
b'Como voc\xc3\xaa funciona'  [predicted:  ok ; correct:  help ]
b'Consulta'  [predicted:  ok ; correct:  get ]
b'Qual seu nome ?'  [predicted:  ok ; correct:  saymyname ]
b'Onde esta a minha encomenda'  [predicted:  help ; correct:  get ]
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  help ; correct:  help ]
b'Onde aparece esse c\xc3\xb3digo de 13 d\xc3\xadgitos?'  [predicted:  ok ; correct:  help ]
b'Quero cadastrar uma encomenda, pode ser?'  [predicted:  add ; correct:  add ]
b'oi'  [predicted:  ok ; correct:  welcome ]
TIME:  0.026035785675048828
SCORE:  9 / 30  ( 0.3 )
b'Como cadastrar um c\xc3\xb3digo'  [predicted:  ok ; correct:  help ]
b'Burro'  [predicted:  ok ; correct:  bad ]
b'Ol\xc3\xa1, gostaria de rastrear um objeto'  [predicted:  get ; correct:  get ]
b'Quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Quero cadastrar uma encomenda, pode ser?'  [predicted:  add ; correct:  add ]
b'palavr\xc3\xa3o voc\xc3\xaa entende n\xc3\xa9 filho da puta'  [predicted:  bad ; correct:  bad ]
b'Gostaria de Rastrear um objeto'  [predicted:  add ; correct:  add ]
b'Listar'  [predicted:  ok ; correct:  get ]
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  ok ; correct:  help ]
b'Legal! Mas onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'Quero cadastrar um c\xc3\xb3digo de rastreio'  [predicted:  help ; correct:  add ]
b'Onde est\xc3\xa1'  [predicted:  ok ; correct:  get ]
b'Muito obrigada'  [predicted:  ok ; correct:  thanks ]
b'Como fa\xc3\xa7o pra cadastrar alguma encomenda?'  [predicted:  ok ; correct:  help ]
b'Como cadastrar uma encomenda?'  [predicted:  add ; correct:  help ]
b'Lista'  [predicted:  ok ; correct:  get ]
b'Minhas encomendas'  [predicted:  ok ; correct:  get ]
b'como pode me ajudar'  [predicted:  ok ; correct:  help ]
b'bom dia'  [predicted:  ok ; correct:  greeting ]
b'gostaria de cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Meus objetos'  [predicted:  ok ; correct:  get ]
b'Onde aparece esse c\xc3\xb3digo de 13 d\xc3\xadgitos?'  [predicted:  help ; correct:  help ]
b'Cadastrar'  [predicted:  ok ; correct:  add ]
b'Como funciona'  [predicted:  ok ; correct:  help ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  add ; correct:  help ]
b'para'  [predicted:  ok ; correct:  cancel ]
b'favor cadastrar o codigo de rastreio'  [predicted:  help ; correct:  add ]
b'Como eu fa\xc3\xa7o?'  [predicted:  ok ; correct:  help ]
b'Como cadastrar um objeto?'  [predicted:  ok ; correct:  help ]
b'parar'  [predicted:  ok ; correct:  cancel ]
TIME:  0.0281064510345459
SCORE:  8 / 30  ( 0.26666666666666666 )
b'Quero saber onde minha encomenda est\xc3\xa1'  [predicted:  ok ; correct:  get ]
b'Onde aparece esse c\xc3\xb3digo de 13 d\xc3\xadgitos?'  [predicted:  ok ; correct:  help ]
b'Quero saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'At\xc3\xa9 mais'  [predicted:  ok ; correct:  bye ]
b'Quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Gostaria de fazer um rastreamento'  [predicted:  ok ; correct:  add ]
b'At\xc3\xa9 logo'  [predicted:  ok ; correct:  bye ]
b'Chega q dia?'  [predicted:  ok ; correct:  get ]
b'Quero cadastrar'  [predicted:  ok ; correct:  add ]
b'Quero cadastrar um c\xc3\xb3digo de rastreio'  [predicted:  help ; correct:  add ]
b'Quero rastrear um pacote'  [predicted:  ok ; correct:  get ]
b'Ol\xc3\xa1, gostaria de rastrear um objeto'  [predicted:  add ; correct:  get ]
b'adicionar um novo pacote'  [predicted:  ok ; correct:  add ]
b'Muito obrigada'  [predicted:  ok ; correct:  thanks ]
b'Queria saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'Minhas encomendas'  [predicted:  ok ; correct:  get ]
b'Quero cadastrar uma encomenda, pode ser?'  [predicted:  add ; correct:  add ]
b'Cadastro'  [predicted:  ok ; correct:  add ]
b'Meus objetos'  [predicted:  ok ; correct:  get ]
b'Gostaria de fazer um cadastro'  [predicted:  ok ; correct:  add ]
b'Cadastro de c\xc3\xb3digo'  [predicted:  add ; correct:  add ]
b'Quero fazer um rastreamento'  [predicted:  ok ; correct:  get ]
b'Gostaria de rastrear um objeto agora'  [predicted:  add ; correct:  add ]
b'Quero rastrear uma encomenda'  [predicted:  ok ; correct:  get ]
b'Onde est\xc3\xa1'  [predicted:  ok ; correct:  get ]
b'quem \xc3\xa9 voc\xc3\xaa?'  [predicted:  saymyname ; correct:  saymyname ]
b'C\xc3\xb3digo'  [predicted:  ok ; correct:  get ]
b'Checar minhas encomendas'  [predicted:  ok ; correct:  get ]
b'Cadastrar encomenda'  [predicted:  ok ; correct:  add ]
b'Quero registrar uma encomenda'  [predicted:  add ; correct:  add ]
TIME:  0.025069713592529297
SCORE:  8 / 30  ( 0.26666666666666666 )
b'Muito obrigado'  [predicted:  cancel ; correct:  thanks ]
b'At\xc3\xa9 mais'  [predicted:  cancel ; correct:  bye ]
b'consultar minha encomenda'  [predicted:  get ; correct:  get ]
b'Gostaria de registrar'  [predicted:  cancel ; correct:  add ]
b'Qual seu nome ?'  [predicted:  cancel ; correct:  saymyname ]
b'\xc3\x93timo!'  [predicted:  cancel ; correct:  ok ]
b'caralho'  [predicted:  cancel ; correct:  bad ]
b'Apagar'  [predicted:  cancel ; correct:  delete ]
b'Gostaria de registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'At\xc3\xa9 logo'  [predicted:  cancel ; correct:  bye ]
b'Ajuda'  [predicted:  cancel ; correct:  help ]
b'De que vc precisa?'  [predicted:  help ; correct:  help ]
b'Beleza'  [predicted:  cancel ; correct:  ok ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  add ; correct:  help ]
b'O que voc\xc3\xaa sabe fazer ?'  [predicted:  help ; correct:  help ]
b'Registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Registrar'  [predicted:  cancel ; correct:  add ]
b'gostaria de procurar um objeto'  [predicted:  cancel ; correct:  get ]
b'rastrear um objeto'  [predicted:  add ; correct:  get ]
b'pacote'  [predicted:  cancel ; correct:  add ]
b'Qual o seu nome ?'  [predicted:  cancel ; correct:  saymyname ]
b'N\xc3\xa3o possuo encomenda em tr\xc3\xa2nsito'  [predicted:  cancel ; correct:  cancel ]
b'Consultar'  [predicted:  cancel ; correct:  get ]
b'qual a situa\xc3\xa7\xc3\xa3o da minha encomenda?'  [predicted:  cancel ; correct:  get ]
b'Como eu fa\xc3\xa7o?'  [predicted:  cancel ; correct:  help ]
b'N\xc3\xa3o'  [predicted:  cancel ; correct:  cancel ]
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  cancel ; correct:  help ]
b'cancelar'  [predicted:  cancel ; correct:  cancel ]
b'adicionar um novo pacote'  [predicted:  cancel ; correct:  add ]
b'cancela'  [predicted:  cancel ; correct:  cancel ]
TIME:  0.024529218673706055
SCORE:  9 / 30  ( 0.3 )
b'Cadastrar'  [predicted:  cancel ; correct:  add ]
b'para'  [predicted:  cancel ; correct:  cancel ]
b'Retirar'  [predicted:  cancel ; correct:  delete ]
b'adicionar um novo pacote'  [predicted:  cancel ; correct:  add ]
b'tchau'  [predicted:  cancel ; correct:  bye ]
b'Queria saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'Burro'  [predicted:  cancel ; correct:  bad ]
b'Tudo bem, tchau'  [predicted:  cancel ; correct:  bye ]
b'sair'  [predicted:  cancel ; correct:  cancel ]
b'parar'  [predicted:  cancel ; correct:  cancel ]
b'Beleza'  [predicted:  cancel ; correct:  ok ]
b'At\xc3\xa9 logo'  [predicted:  cancel ; correct:  bye ]
b'At\xc3\xa9 mais'  [predicted:  cancel ; correct:  bye ]
b'Visualizar rastreamento'  [predicted:  cancel ; correct:  get ]
b'tenha um bom dia'  [predicted:  greeting ; correct:  greeting ]
b'sai'  [predicted:  cancel ; correct:  cancel ]
b'Muito obrigado'  [predicted:  cancel ; correct:  thanks ]
b'bom dia'  [predicted:  cancel ; correct:  greeting ]
b'Remover'  [predicted:  cancel ; correct:  delete ]
b'Vai tomar no cu'  [predicted:  cancel ; correct:  bad ]
b'N\xc3\xa3o'  [predicted:  cancel ; correct:  cancel ]
b'Como cadastrar uma encomenda?'  [predicted:  add ; correct:  help ]
b'Como cadastrar um objeto?'  [predicted:  cancel ; correct:  help ]
b'palavr\xc3\xa3o voc\xc3\xaa entende n\xc3\xa9 filho da puta'  [predicted:  cancel ; correct:  bad ]
b'Quero cadastrar'  [predicted:  cancel ; correct:  add ]
b'quem \xc3\xa9 voc\xc3\xaa?'  [predicted:  cancel ; correct:  saymyname ]
b'Apagar'  [predicted:  cancel ; correct:  delete ]
b'N\xc3\xa3o possuo encomenda em tr\xc3\xa2nsito'  [predicted:  cancel ; correct:  cancel ]
b'Ajuda'  [predicted:  cancel ; correct:  help ]
b'Como cadastrar um c\xc3\xb3digo'  [predicted:  add ; correct:  help ]
TIME:  0.024564027786254883
SCORE:  8 / 30  ( 0.26666666666666666 )
b'Qual seu nome ?'  [predicted:  saymyname ; correct:  saymyname ]
b'como sou notificado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Quando ao certo chega minha encomenda?'  [predicted:  bye ; correct:  get ]
b'pacote'  [predicted:  bye ; correct:  add ]
b'Como cadastro?'  [predicted:  bye ; correct:  help ]
b'Como?'  [predicted:  bye ; correct:  help ]
b'\xc3\x93timo!'  [predicted:  bye ; correct:  ok ]
b'Todos'  [predicted:  bye ; correct:  get ]
b'Tudo bem'  [predicted:  bye ; correct:  ok ]
b'como sou avisado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Todas'  [predicted:  bye ; correct:  get ]
b'Quais encomenda voc\xc3\xaa rastreia'  [predicted:  bye ; correct:  help ]
b'Gostaria de rastrear um objeto agora'  [predicted:  add ; correct:  add ]
b'Como cadastro minha encomenda?'  [predicted:  bye ; correct:  help ]
b'O que voc\xc3\xaa sabe fazer ?'  [predicted:  bye ; correct:  help ]
b'Gostaria de fazer um cadastro'  [predicted:  bye ; correct:  add ]
b'Como sei onde est\xc3\xa1 a minha encomenda?'  [predicted:  help ; correct:  help ]
b'bom dia'  [predicted:  bye ; correct:  greeting ]
b'Visualizar rastreamento'  [predicted:  bye ; correct:  get ]
b'qual a situa\xc3\xa7\xc3\xa3o da minha encomenda?'  [predicted:  get ; correct:  get ]
b'Posso cadastrar encomendas de outros pa\xc3\xadses?'  [predicted:  bye ; correct:  help ]
b'Vai tomar no cu'  [predicted:  bye ; correct:  bad ]
b'Tudo bem, tchau'  [predicted:  bye ; correct:  bye ]
b'Burro'  [predicted:  bye ; correct:  bad ]
b'Gostaria de fazer um rastreamento'  [predicted:  get ; correct:  add ]
b'Como cadastro uma encomenda?'  [predicted:  bye ; correct:  help ]
b'Cadastrar'  [predicted:  bye ; correct:  add ]
b'Como cadastra a encomenda'  [predicted:  bye ; correct:  help ]
b'Qual o seu nome ?'  [predicted:  saymyname ; correct:  saymyname ]
b'Como cadastra?'  [predicted:  bye ; correct:  help ]
TIME:  0.024868011474609375
SCORE:  8 / 30  ( 0.26666666666666666 )
b'Cadastro de c\xc3\xb3digo'  [predicted:  thanks ; correct:  add ]
b'Como cadastra a encomenda'  [predicted:  thanks ; correct:  help ]
b'Visualizar rastreamento'  [predicted:  thanks ; correct:  get ]
b'Tudo bem, tchau'  [predicted:  bye ; correct:  bye ]
b'Meus itens'  [predicted:  thanks ; correct:  get ]
b'J\xc3\xa1 cadastrou?'  [predicted:  thanks ; correct:  get ]
b'J\xc3\xa1 se moveu?'  [predicted:  thanks ; correct:  get ]
b'Gostaria de registrar'  [predicted:  thanks ; correct:  add ]
b'Informa\xc3\xa7\xc3\xa3o'  [predicted:  thanks ; correct:  help ]
b'pacote'  [predicted:  thanks ; correct:  add ]
b'Vai tomar no cu'  [predicted:  bad ; correct:  bad ]
b'Quero cadastrar'  [predicted:  thanks ; correct:  add ]
b'Voc\xc3\xaa pode me explicar como cadastrar?'  [predicted:  thanks ; correct:  help ]
b'Me ajuda'  [predicted:  thanks ; correct:  help ]
b'Listar'  [predicted:  thanks ; correct:  get ]
b'Cadastro'  [predicted:  thanks ; correct:  add ]
b'Cadastrar encomenda'  [predicted:  thanks ; correct:  add ]
b'Voc\xc3\xaa pode rastrear um objeto para mim?'  [predicted:  add ; correct:  get ]
b'Legal! Mas onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'\xc3\x93timo!'  [predicted:  thanks ; correct:  ok ]
