b'At\xc3\xa9 logo'  [predicted:  get ; correct:  bye ]
b'Legal! Mas onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'Ol\xc3\xa1'  [predicted:  get ; correct:  welcome ]
b'Listar'  [predicted:  help ; correct:  get ]
b'boa noite'  [predicted:  greeting ; correct:  greeting ]
b'Burro'  [predicted:  help ; correct:  bad ]
b'Rastrear encomenda'  [predicted:  get ; correct:  get ]
b'Checar minhas encomendas'  [predicted:  get ; correct:  get ]
b'Quero rastrear uma encomenda'  [predicted:  add ; correct:  get ]
b'Rastrear'  [predicted:  get ; correct:  get ]
b'como voce me atualiza sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Consulta'  [predicted:  help ; correct:  get ]
b'bom dia'  [predicted:  greeting ; correct:  greeting ]
b'Como cadastro uma encomenda?'  [predicted:  add ; correct:  help ]
b'Como voc\xc3\xaa funciona'  [predicted:  help ; correct:  help ]
b'ok'  [predicted:  help ; correct:  ok ]
b'Cadastro'  [predicted:  add ; correct:  add ]
b'Lista'  [predicted:  help ; correct:  get ]
b'Quero rastrear um pacote'  [predicted:  add ; correct:  get ]
b'Chega q dia?'  [predicted:  get ; correct:  get ]
b'Cadastro de c\xc3\xb3digo'  [predicted:  add ; correct:  add ]
TIME:  0.004541158676147461
SCORE:  15 / 30  ( 0.5 )
b'Novo pacote'  [predicted:  add ; correct:  add ]
b'Todos'  [predicted:  get ; correct:  get ]
b'Quero registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Quero saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'quem \xc3\xa9 voc\xc3\xaa?'  [predicted:  help ; correct:  saymyname ]
b'Quero cadastrar'  [predicted:  add ; correct:  add ]
b'adicionar um novo pacote'  [predicted:  add ; correct:  add ]
b'At\xc3\xa9 mais'  [predicted:  get ; correct:  bye ]
b'Queria saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'Como eu fa\xc3\xa7o?'  [predicted:  help ; correct:  help ]
b'o que eu devo fazer?'  [predicted:  add ; correct:  help ]
b'Ol\xc3\xa1 rob\xc3\xb4'  [predicted:  get ; correct:  welcome ]
b'deletar'  [predicted:  get ; correct:  delete ]
b'Como cadastra a encomenda'  [predicted:  get ; correct:  help ]
b'C\xc3\xb3digo'  [predicted:  help ; correct:  get ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  help ; correct:  help ]
b'Todas'  [predicted:  get ; correct:  get ]
b'Chega q dia?'  [predicted:  get ; correct:  get ]
b'Como?'  [predicted:  get ; correct:  help ]
b'descadastrar'  [predicted:  get ; correct:  delete ]
b'At\xc3\xa9 logo'  [predicted:  bye ; correct:  bye ]
b'Checar minhas encomendas'  [predicted:  get ; correct:  get ]
b'Ol\xc3\xa1'  [predicted:  get ; correct:  welcome ]
b'Quero saber onde minha encomenda est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'E a\xc3\xad, quais s\xc3\xa3o minhas op\xc3\xa7\xc3\xb5es?'  [predicted:  help ; correct:  help ]
b'ok'  [predicted:  get ; correct:  ok ]
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  get ; correct:  help ]
b'Tudo bem'  [predicted:  bye ; correct:  ok ]
b'Como cadastra?'  [predicted:  get ; correct:  help ]
b'Novo'  [predicted:  add ; correct:  add ]
TIME:  0.005074977874755859
SCORE:  16 / 30  ( 0.5333333333333333 )
b'onde eu insiro o c\xc3\xb3digo de rastreio?'  [predicted:  help ; correct:  help ]
b'Lista'  [predicted:  get ; correct:  get ]
b'At\xc3\xa9 logo'  [predicted:  get ; correct:  bye ]
b'adicionar um novo pacote'  [predicted:  add ; correct:  add ]
b'cancela'  [predicted:  get ; correct:  cancel ]
b'Quero registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Ajuda'  [predicted:  help ; correct:  help ]
b'Queria saber onde est\xc3\xa1 minha encomenda'  [predicted:  help ; correct:  get ]
b'Voc\xc3\xaa n\xc3\xa3o \xc3\xa9 um rob\xc3\xb4, voc\xc3\xaa \xc3\xa9 uma bichona'  [predicted:  bad ; correct:  bad ]
b'Apagar'  [predicted:  get ; correct:  delete ]
b'como pode me ajudar'  [predicted:  help ; correct:  help ]
b'cancelar'  [predicted:  get ; correct:  cancel ]
b'Gostaria de Rastrear um objeto'  [predicted:  get ; correct:  add ]
b'gostaria de cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'quem \xc3\xa9 voc\xc3\xaa?'  [predicted:  help ; correct:  saymyname ]
b'favor cadastrar o codigo de rastreio'  [predicted:  add ; correct:  add ]
b'onde est\xc3\xa1 minha encomenda?'  [predicted:  help ; correct:  get ]
b'Quero saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'Como funciona'  [predicted:  help ; correct:  help ]
b'At\xc3\xa9 mais'  [predicted:  get ; correct:  bye ]
b'Legal! Mas onde est\xc3\xa1 minha encomenda?'  [predicted:  help ; correct:  get ]
b'Como fa\xc3\xa7o pra cadastrar alguma encomenda?'  [predicted:  help ; correct:  help ]
b'Onde esta a minha encomenda'  [predicted:  help ; correct:  get ]
b'Voc\xc3\xaa pode me explicar como cadastrar?'  [predicted:  help ; correct:  help ]
b'Beleza'  [predicted:  get ; correct:  ok ]
b'caralho'  [predicted:  get ; correct:  bad ]
b'Listar'  [predicted:  help ; correct:  get ]
b'Quero cadastrar'  [predicted:  add ; correct:  add ]
b'Quero saber onde minha encomenda est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'Voc\xc3\xaa pode rastrear um objeto para mim?'  [predicted:  get ; correct:  get ]
TIME:  0.005660057067871094
SCORE:  16 / 30  ( 0.5333333333333333 )
b'Quais encomenda voc\xc3\xaa rastreia'  [predicted:  help ; correct:  help ]
b'Gostaria de retirar uma encomenda'  [predicted:  get ; correct:  delete ]
b'Quando ao certo chega minha encomenda?'  [predicted:  get ; correct:  get ]
b'Cadastrar encomenda'  [predicted:  help ; correct:  add ]
b'Como cadastrar uma encomenda?'  [predicted:  help ; correct:  help ]
b'Gostaria de uma informa\xc3\xa7\xc3\xa3o'  [predicted:  add ; correct:  help ]
b'Como funciona'  [predicted:  help ; correct:  help ]
b'como pode me ajudar'  [predicted:  get ; correct:  help ]
b'caralho'  [predicted:  get ; correct:  bad ]
b'Quero cadastrar um c\xc3\xb3digo de rastreio'  [predicted:  add ; correct:  add ]
b'Como cadastrar um c\xc3\xb3digo'  [predicted:  help ; correct:  help ]
b'Posso cadastrar encomendas de outros pa\xc3\xadses?'  [predicted:  add ; correct:  help ]
b'Quero cadastrar uma encomenda, pode ser?'  [predicted:  add ; correct:  add ]
b'Gostaria de fazer um rastreamento'  [predicted:  get ; correct:  add ]
b'Como fa\xc3\xa7o pra cadastrar alguma encomenda?'  [predicted:  help ; correct:  help ]
b'Gostaria de retirar'  [predicted:  add ; correct:  delete ]
b'Quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Ol\xc3\xa1, gostaria de rastrear um objeto'  [predicted:  get ; correct:  get ]
b'Meus objetos'  [predicted:  get ; correct:  get ]
b'Minhas encomendas'  [predicted:  get ; correct:  get ]
b'Como cadastrar um objeto?'  [predicted:  add ; correct:  help ]
b'Gostaria de rastrear um objeto agora'  [predicted:  get ; correct:  add ]
b'Onde aparece esse c\xc3\xb3digo de 13 d\xc3\xadgitos?'  [predicted:  help ; correct:  help ]
b'Onde est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'cancela'  [predicted:  get ; correct:  cancel ]
b'Cadastro'  [predicted:  help ; correct:  add ]
b'Muito obrigada'  [predicted:  get ; correct:  thanks ]
b'Gostaria de fazer um cadastro'  [predicted:  help ; correct:  add ]
b'Cadastro de c\xc3\xb3digo'  [predicted:  help ; correct:  add ]
b'cancelar'  [predicted:  get ; correct:  cancel ]
TIME:  0.004611968994140625
SCORE:  14 / 30  ( 0.4666666666666667 )
b'Boa tarde ent\xc3\xa3o'  [predicted:  get ; correct:  greeting ]
b'Beleza'  [predicted:  get ; correct:  ok ]
b'Cadastrar encomenda'  [predicted:  help ; correct:  add ]
b'Eu quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Encomenda'  [predicted:  help ; correct:  get ]
b'Como funciona'  [predicted:  help ; correct:  help ]
b'Entrega'  [predicted:  get ; correct:  get ]
b'Quero ver meus produtos'  [predicted:  get ; correct:  get ]
b'Listar comandos'  [predicted:  help ; correct:  help ]
b'Rastrear encomenda'  [predicted:  get ; correct:  get ]
b'rastrear um objeto'  [predicted:  get ; correct:  get ]
b'Ajuda'  [predicted:  help ; correct:  help ]
b'como pode me ajudar'  [predicted:  help ; correct:  help ]
b'cad\xc3\xaa'  [predicted:  get ; correct:  get ]
b'Cadastro'  [predicted:  help ; correct:  add ]
b'Registrar'  [predicted:  add ; correct:  add ]
b'boa noite'  [predicted:  get ; correct:  greeting ]
b'Cadastrar uma nova encomenda'  [predicted:  help ; correct:  add ]
b'Meus itens'  [predicted:  get ; correct:  get ]
b'Rastrear'  [predicted:  get ; correct:  get ]
b'Gostaria de fazer um rastreamento'  [predicted:  get ; correct:  add ]
b'Cadastro de c\xc3\xb3digo'  [predicted:  help ; correct:  add ]
b'boa tarde'  [predicted:  get ; correct:  greeting ]
b'Apagar'  [predicted:  get ; correct:  delete ]
b'Registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'cad\xc3\xaa minha encomenda'  [predicted:  help ; correct:  get ]
b'Gostaria de rastrear um objeto agora'  [predicted:  get ; correct:  add ]
b'Gostaria de fazer um cadastro'  [predicted:  help ; correct:  add ]
b'Me ajuda'  [predicted:  help ; correct:  help ]
b'Como fa\xc3\xa7o pra cadastrar alguma encomenda?'  [predicted:  help ; correct:  help ]
TIME:  0.004392862319946289
SCORE:  16 / 30  ( 0.5333333333333333 )
b'Gostaria de registrar'  [predicted:  add ; correct:  add ]
b'Quero fazer um rastreamento'  [predicted:  add ; correct:  get ]
b'Novo pacote'  [predicted:  add ; correct:  add ]
b'adicionar um novo pacote'  [predicted:  add ; correct:  add ]
b'Listar comandos'  [predicted:  help ; correct:  help ]
b'Meus itens'  [predicted:  get ; correct:  get ]
b'At\xc3\xa9 mais'  [predicted:  get ; correct:  bye ]
b'Quero rastrear uma encomenda'  [predicted:  get ; correct:  get ]
b'boa tarde'  [predicted:  get ; correct:  greeting ]
b'Boa tarde ent\xc3\xa3o'  [predicted:  get ; correct:  greeting ]
b'Posso cadastrar encomendas de outros pa\xc3\xadses?'  [predicted:  help ; correct:  help ]
b'Quando ao certo chega minha encomenda?'  [predicted:  get ; correct:  get ]
b'como pode me ajudar'  [predicted:  get ; correct:  help ]
b'Onde est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'Me ajuda'  [predicted:  help ; correct:  help ]
b'Quais encomenda voc\xc3\xaa rastreia'  [predicted:  help ; correct:  help ]
b'Novo'  [predicted:  get ; correct:  add ]
b'o que eu devo fazer?'  [predicted:  add ; correct:  help ]
b'boa noite'  [predicted:  get ; correct:  greeting ]
b'Como funciona'  [predicted:  help ; correct:  help ]
b'cancelar'  [predicted:  get ; correct:  cancel ]
b'Onde aparece esse c\xc3\xb3digo de 13 d\xc3\xadgitos?'  [predicted:  get ; correct:  help ]
b'At\xc3\xa9 logo'  [predicted:  get ; correct:  bye ]
b'gostaria de procurar um objeto'  [predicted:  add ; correct:  get ]
b'cancela'  [predicted:  get ; correct:  cancel ]
b'Gostaria de registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Quero rastrear um pacote'  [predicted:  add ; correct:  get ]
b'caralho'  [predicted:  get ; correct:  bad ]
b'Como fa\xc3\xa7o pra cadastrar alguma encomenda?'  [predicted:  help ; correct:  help ]
b'Ol\xc3\xa1, gostaria de rastrear um objeto'  [predicted:  add ; correct:  get ]
TIME:  0.004559040069580078
SCORE:  14 / 30  ( 0.4666666666666667 )
b'Gostaria de registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Como sei onde est\xc3\xa1 a minha encomenda?'  [predicted:  help ; correct:  help ]
b'Tudo bem, tchau'  [predicted:  ok ; correct:  bye ]
b'Gostaria de registrar'  [predicted:  add ; correct:  add ]
b'Ajuda'  [predicted:  help ; correct:  help ]
b'Apagar'  [predicted:  get ; correct:  delete ]
b'o que eu devo fazer?'  [predicted:  add ; correct:  help ]
b'gostaria de procurar um objeto'  [predicted:  get ; correct:  get ]
b'Novo pacote'  [predicted:  add ; correct:  add ]
b'Beleza'  [predicted:  get ; correct:  ok ]
b'como sou avisado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Quero registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'boa tarde'  [predicted:  get ; correct:  greeting ]
b'Consultar'  [predicted:  get ; correct:  get ]
b'Novo'  [predicted:  add ; correct:  add ]
b'Cadastrar encomenda'  [predicted:  help ; correct:  add ]
b'Quero cadastrar'  [predicted:  add ; correct:  add ]
b'como sou notificado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Visualizar rastreamento'  [predicted:  get ; correct:  get ]
b'Vai tomar no cu'  [predicted:  get ; correct:  bad ]
b'Quero saber onde minha encomenda est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'quem \xc3\xa9 voc\xc3\xaa?'  [predicted:  help ; correct:  saymyname ]
b'Boa tarde ent\xc3\xa3o'  [predicted:  get ; correct:  greeting ]
b'Cadastro de c\xc3\xb3digo'  [predicted:  help ; correct:  add ]
b'consultar minha encomenda'  [predicted:  help ; correct:  get ]
b'Quero saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'boa noite'  [predicted:  get ; correct:  greeting ]
b'Queria saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'Cadastro'  [predicted:  help ; correct:  add ]
b'De que vc precisa?'  [predicted:  get ; correct:  help ]
TIME:  0.004587888717651367
SCORE:  16 / 30  ( 0.5333333333333333 )
b'descadastrar'  [predicted:  get ; correct:  delete ]
b'Listar comandos'  [predicted:  get ; correct:  help ]
b'Onde esta a minha encomenda'  [predicted:  get ; correct:  get ]
b'Consulta'  [predicted:  get ; correct:  get ]
b'Como cadastra?'  [predicted:  get ; correct:  help ]
b'Como eu fa\xc3\xa7o?'  [predicted:  help ; correct:  help ]
b'Me ajuda'  [predicted:  help ; correct:  help ]
b'Como cadastra a encomenda'  [predicted:  get ; correct:  help ]
b'onde eu insiro o c\xc3\xb3digo de rastreio?'  [predicted:  get ; correct:  help ]
b'J\xc3\xa1 cadastrou?'  [predicted:  get ; correct:  get ]
b'Como cadastro minha encomenda?'  [predicted:  add ; correct:  help ]
b'Qual seu nome ?'  [predicted:  get ; correct:  saymyname ]
b'qual a situa\xc3\xa7\xc3\xa3o da minha encomenda?'  [predicted:  get ; correct:  get ]
b'Como voc\xc3\xaa funciona'  [predicted:  help ; correct:  help ]
b'Quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Como cadastro uma encomenda?'  [predicted:  add ; correct:  help ]
b'E a\xc3\xad, quais s\xc3\xa3o minhas op\xc3\xa7\xc3\xb5es?'  [predicted:  help ; correct:  help ]
b'Quero cadastrar uma encomenda, pode ser?'  [predicted:  add ; correct:  add ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  help ; correct:  help ]
b'como voce me atualiza sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'J\xc3\xa1 se moveu?'  [predicted:  get ; correct:  get ]
b'Como?'  [predicted:  get ; correct:  help ]
b'Informa\xc3\xa7\xc3\xa3o'  [predicted:  help ; correct:  help ]
b'onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'Como cadastro?'  [predicted:  add ; correct:  help ]
b'deletar'  [predicted:  get ; correct:  delete ]
b'Quero cadastrar um c\xc3\xb3digo de rastreio'  [predicted:  add ; correct:  add ]
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  get ; correct:  help ]
b'Meus itens'  [predicted:  get ; correct:  get ]
b'Qual o seu nome ?'  [predicted:  get ; correct:  saymyname ]
TIME:  0.004540205001831055
SCORE:  17 / 30  ( 0.5666666666666667 )
b'Beleza'  [predicted:  get ; correct:  ok ]
b'tenha um bom dia'  [predicted:  greeting ; correct:  greeting ]
b'Voc\xc3\xaa pode rastrear um objeto para mim?'  [predicted:  get ; correct:  get ]
b'Quero rastrear um pacote'  [predicted:  add ; correct:  get ]
b'At\xc3\xa9 logo'  [predicted:  get ; correct:  bye ]
b'Checar minhas encomendas'  [predicted:  get ; correct:  get ]
b'Voc\xc3\xaa pode me explicar como cadastrar?'  [predicted:  help ; correct:  help ]
b'Visualizar rastreamento'  [predicted:  add ; correct:  get ]
b'Ajuda'  [predicted:  help ; correct:  help ]
b'Cadastrar encomenda'  [predicted:  help ; correct:  add ]
b'boa tarde'  [predicted:  greeting ; correct:  greeting ]
b'consultar minha encomenda'  [predicted:  get ; correct:  get ]
b'Chega q dia?'  [predicted:  get ; correct:  get ]
b'Apagar'  [predicted:  get ; correct:  delete ]
b'At\xc3\xa9 mais'  [predicted:  get ; correct:  bye ]
b'De que vc precisa?'  [predicted:  get ; correct:  help ]
b'Consultar'  [predicted:  get ; correct:  get ]
b'tchau'  [predicted:  get ; correct:  bye ]
b'Vai tomar no cu'  [predicted:  get ; correct:  bad ]
b'Boa tarde ent\xc3\xa3o'  [predicted:  greeting ; correct:  greeting ]
b'sair'  [predicted:  get ; correct:  cancel ]
b'Voc\xc3\xaa n\xc3\xa3o \xc3\xa9 um rob\xc3\xb4, voc\xc3\xaa \xc3\xa9 uma bichona'  [predicted:  bad ; correct:  bad ]
b'Tudo bem, tchau'  [predicted:  ok ; correct:  bye ]
b'Quero fazer um rastreamento'  [predicted:  add ; correct:  get ]
b'C\xc3\xb3digo'  [predicted:  help ; correct:  get ]
b'Cadastro de c\xc3\xb3digo'  [predicted:  help ; correct:  add ]
b'boa noite'  [predicted:  greeting ; correct:  greeting ]
b'Cadastro'  [predicted:  help ; correct:  add ]
b'Quero rastrear uma encomenda'  [predicted:  get ; correct:  get ]
b'adicionar um novo pacote'  [predicted:  add ; correct:  add ]
TIME:  0.004943132400512695
SCORE:  14 / 30  ( 0.4666666666666667 )
b'Quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'parar'  [predicted:  get ; correct:  cancel ]
b'onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'Gostaria de fazer um cadastro'  [predicted:  help ; correct:  add ]
b'Ol\xc3\xa1 rob\xc3\xb4'  [predicted:  get ; correct:  welcome ]
b'Como cadastra?'  [predicted:  get ; correct:  help ]
b'onde eu insiro o c\xc3\xb3digo de rastreio?'  [predicted:  add ; correct:  help ]
b'Quero cadastrar um c\xc3\xb3digo de rastreio'  [predicted:  add ; correct:  add ]
b'ok'  [predicted:  get ; correct:  ok ]
b'Gostaria de fazer um rastreamento'  [predicted:  get ; correct:  add ]
b'Como?'  [predicted:  get ; correct:  help ]
b'Cadastrar encomenda'  [predicted:  help ; correct:  add ]
b'consultar minha encomenda'  [predicted:  get ; correct:  get ]
b'Como voc\xc3\xaa funciona'  [predicted:  help ; correct:  help ]
b'Ol\xc3\xa1'  [predicted:  get ; correct:  welcome ]
b'Como cadastra a encomenda'  [predicted:  get ; correct:  help ]
b'Quero registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'como voce me atualiza sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Cadastro'  [predicted:  help ; correct:  add ]
b'Cadastro de c\xc3\xb3digo'  [predicted:  help ; correct:  add ]
b'palavr\xc3\xa3o voc\xc3\xaa entende n\xc3\xa9 filho da puta'  [predicted:  help ; correct:  bad ]
b'para'  [predicted:  get ; correct:  cancel ]
b'Gostaria de rastrear um objeto agora'  [predicted:  get ; correct:  add ]
b'De que vc precisa?'  [predicted:  help ; correct:  help ]
b'Quero cadastrar uma encomenda, pode ser?'  [predicted:  add ; correct:  add ]
b'Quero saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'Consultar'  [predicted:  get ; correct:  get ]
b'Quero saber onde minha encomenda est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'Onde esta a minha encomenda'  [predicted:  get ; correct:  get ]
b'Consulta'  [predicted:  get ; correct:  get ]
TIME:  0.004452228546142578
SCORE:  14 / 30  ( 0.4666666666666667 )
b'O que voc\xc3\xaa sabe fazer ?'  [predicted:  get ; correct:  help ]
b'parar'  [predicted:  get ; correct:  cancel ]
b'Registrar'  [predicted:  add ; correct:  add ]
b'pacote'  [predicted:  get ; correct:  add ]
b'Listar comandos'  [predicted:  get ; correct:  help ]
b'Como cadastra a encomenda'  [predicted:  get ; correct:  help ]
b'cancelar'  [predicted:  get ; correct:  cancel ]
b'o que eu devo fazer?'  [predicted:  add ; correct:  help ]
b'Como cadastrar uma encomenda?'  [predicted:  add ; correct:  help ]
b'Registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Qual o seu nome ?'  [predicted:  get ; correct:  saymyname ]
b'Novo pacote'  [predicted:  add ; correct:  add ]
b'Como cadastra?'  [predicted:  get ; correct:  help ]
b'Como?'  [predicted:  get ; correct:  help ]
b'qual a situa\xc3\xa7\xc3\xa3o da minha encomenda?'  [predicted:  get ; correct:  get ]
b'Encomenda'  [predicted:  get ; correct:  get ]
b'Me ajuda'  [predicted:  help ; correct:  help ]
b'\xc3\x93timo!'  [predicted:  get ; correct:  ok ]
b'Meus itens'  [predicted:  get ; correct:  get ]
b'Eu quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'rastrear um objeto'  [predicted:  get ; correct:  get ]
b'caralho'  [predicted:  get ; correct:  bad ]
b'para'  [predicted:  get ; correct:  cancel ]
b'Entrega'  [predicted:  get ; correct:  get ]
b'palavr\xc3\xa3o voc\xc3\xaa entende n\xc3\xa9 filho da puta'  [predicted:  bad ; correct:  bad ]
b'Qual seu nome ?'  [predicted:  get ; correct:  saymyname ]
b'Como cadastrar um c\xc3\xb3digo'  [predicted:  add ; correct:  help ]
b'cancela'  [predicted:  get ; correct:  cancel ]
b'Novo'  [predicted:  add ; correct:  add ]
b'Como cadastrar um objeto?'  [predicted:  add ; correct:  help ]
TIME:  0.0047228336334228516
SCORE:  12 / 30  ( 0.4 )
b'Tudo bem'  [predicted:  ok ; correct:  ok ]
b'Queria saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  help ; correct:  help ]
b'tenha um bom dia'  [predicted:  get ; correct:  greeting ]
b'Gostaria de uma informa\xc3\xa7\xc3\xa3o'  [predicted:  add ; correct:  help ]
b'boa noite'  [predicted:  get ; correct:  greeting ]
b'parar'  [predicted:  get ; correct:  cancel ]
b'Gostaria de retirar uma encomenda'  [predicted:  add ; correct:  delete ]
b'Quero cadastrar'  [predicted:  add ; correct:  add ]
b'Gostaria de retirar'  [predicted:  add ; correct:  delete ]
b'Visualizar rastreamento'  [predicted:  get ; correct:  get ]
b'adicionar um novo pacote'  [predicted:  add ; correct:  add ]
b'tchau'  [predicted:  get ; correct:  bye ]
b'boa tarde'  [predicted:  get ; correct:  greeting ]
b'palavr\xc3\xa3o voc\xc3\xaa entende n\xc3\xa9 filho da puta'  [predicted:  help ; correct:  bad ]
b'Quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Todas'  [predicted:  get ; correct:  get ]
b'At\xc3\xa9 logo'  [predicted:  get ; correct:  bye ]
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  get ; correct:  help ]
b'quem \xc3\xa9 voc\xc3\xaa?'  [predicted:  help ; correct:  saymyname ]
b'sair'  [predicted:  get ; correct:  cancel ]
b'para'  [predicted:  get ; correct:  cancel ]
b'Boa tarde ent\xc3\xa3o'  [predicted:  get ; correct:  greeting ]
b'Quero cadastrar uma encomenda, pode ser?'  [predicted:  add ; correct:  add ]
b'At\xc3\xa9 mais'  [predicted:  get ; correct:  bye ]
b'Todos'  [predicted:  get ; correct:  get ]
b'Quero cadastrar um c\xc3\xb3digo de rastreio'  [predicted:  add ; correct:  add ]
b'Tudo bem, tchau'  [predicted:  bye ; correct:  bye ]
b'Vai tomar no cu'  [predicted:  bad ; correct:  bad ]
b'Como eu fa\xc3\xa7o?'  [predicted:  help ; correct:  help ]
TIME:  0.004488945007324219
SCORE:  14 / 30  ( 0.4666666666666667 )
b'Como sei onde est\xc3\xa1 a minha encomenda?'  [predicted:  get ; correct:  help ]
b'Boa tarde ent\xc3\xa3o'  [predicted:  get ; correct:  greeting ]
b'Como?'  [predicted:  get ; correct:  help ]
b'Me ajuda'  [predicted:  help ; correct:  help ]
b'Listar comandos'  [predicted:  get ; correct:  help ]
b'Gostaria de registrar'  [predicted:  add ; correct:  add ]
b'Gostaria de registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'J\xc3\xa1 cadastrou?'  [predicted:  get ; correct:  get ]
b'como sou notificado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Como cadastra a encomenda'  [predicted:  help ; correct:  help ]
b'Chega q dia?'  [predicted:  get ; correct:  get ]
b'boa tarde'  [predicted:  get ; correct:  greeting ]
b'boa noite'  [predicted:  get ; correct:  greeting ]
b'Meus itens'  [predicted:  get ; correct:  get ]
b'o que eu devo fazer?'  [predicted:  add ; correct:  help ]
b'Checar minhas encomendas'  [predicted:  get ; correct:  get ]
b'Registrar uma encomenda'  [predicted:  get ; correct:  add ]
b'J\xc3\xa1 se moveu?'  [predicted:  get ; correct:  get ]
b'Novo'  [predicted:  add ; correct:  add ]
b'Como cadastra?'  [predicted:  help ; correct:  help ]
b'Legal! Mas onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'C\xc3\xb3digo'  [predicted:  help ; correct:  get ]
b'Listar'  [predicted:  get ; correct:  get ]
b'gostaria de procurar um objeto'  [predicted:  add ; correct:  get ]
b'rastrear um objeto'  [predicted:  get ; correct:  get ]
b'Informa\xc3\xa7\xc3\xa3o'  [predicted:  help ; correct:  help ]
b'Novo pacote'  [predicted:  add ; correct:  add ]
b'Lista'  [predicted:  get ; correct:  get ]
b'Registrar'  [predicted:  add ; correct:  add ]
b'como sou avisado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
TIME:  0.004430055618286133
SCORE:  20 / 30  ( 0.6666666666666666 )
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  help ; correct:  help ]
b'cancelar'  [predicted:  get ; correct:  cancel ]
b'cad\xc3\xaa minha encomenda'  [predicted:  help ; correct:  get ]
b'Retirar'  [predicted:  get ; correct:  delete ]
b'Quero cadastrar'  [predicted:  add ; correct:  add ]
b'At\xc3\xa9 mais'  [predicted:  get ; correct:  bye ]
b'cad\xc3\xaa'  [predicted:  get ; correct:  get ]
b'De que vc precisa?'  [predicted:  get ; correct:  help ]
b'parar'  [predicted:  get ; correct:  cancel ]
b'cancela'  [predicted:  get ; correct:  cancel ]
b'Boa tarde ent\xc3\xa3o'  [predicted:  get ; correct:  greeting ]
b'Queria saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'quem \xc3\xa9 voc\xc3\xaa?'  [predicted:  help ; correct:  saymyname ]
b'Remover'  [predicted:  get ; correct:  delete ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  help ; correct:  help ]
b'At\xc3\xa9 logo'  [predicted:  get ; correct:  bye ]
b'para'  [predicted:  get ; correct:  cancel ]
b'palavr\xc3\xa3o voc\xc3\xaa entende n\xc3\xa9 filho da puta'  [predicted:  help ; correct:  bad ]
